"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","DoRothEA","ChEA3","VIPER"
"1","GRHL2","DoRothEA;ChEA3;VIPER","5","DoRothEA;ChEA3;VIPER;ENRICHR;CollecTRI","5.00000000000000","1","5","ARCHS4--Coexpression(rank=1); Enrichr--Queries(rank=3); GTEx--Coexpression(rank=3); ReMap--ChIP-seq(rank=14); Literature--ChIP-seq(rank=129)","1","rank=10; score=4.9682; p=1.0759e-05","rank=1; score=0.0006143","rank=4; score=5.533; direction=Repressed"
"2","KLF5","DoRothEA;ChEA3;VIPER","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","5.00000000000000","4","5","ARCHS4--Coexpression(rank=2); GTEx--Coexpression(rank=4); Enrichr--Queries(rank=10); ReMap--ChIP-seq(rank=17); Literature--ChIP-seq(rank=80)","4","rank=6; score=6.4884; p=3.2478e-07","rank=4; score=0.001229","rank=5; score=5.0167; direction=Repressed"
"3","E2F1","DoRothEA;ChEA3;VIPER","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","14.66666666666667","12","6","ARCHS4--Coexpression(rank=9); ENCODE--ChIP-seq(rank=14); GTEx--Coexpression(rank=30); Literature--ChIP-seq(rank=82); ReMap--ChIP-seq(rank=95); Enrichr--Queries(rank=122)","18","rank=12; score=4.6943; p=2.0215e-05","rank=18; score=0.005528","rank=14; score=4.2041; direction=Activated"
"4","ELF3","DoRothEA;ChEA3;VIPER","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","19.66666666666667","5","4","GTEx--Coexpression(rank=2); ARCHS4--Coexpression(rank=4); Enrichr--Queries(rank=31); ReMap--ChIP-seq(rank=39)","5","rank=13; score=4.4614; p=3.4562e-05","rank=5; score=0.001245","rank=41; score=3.0945; direction=Repressed"
"5","E2F4","DoRothEA;ChEA3;VIPER","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","24.33333333333334","1","6","ENCODE--ChIP-seq(rank=2); ReMap--ChIP-seq(rank=32); Literature--ChIP-seq(rank=90); ARCHS4--Coexpression(rank=250); GTEx--Coexpression(rank=573); Enrichr--Queries(rank=779)","69","rank=3; score=7.4523; p=3.5293e-08","rank=69; score=0.01695","rank=1; score=9.3811; direction=Activated"
"6","E2F2","DoRothEA;ChEA3;VIPER","5","DoRothEA;ChEA3;VIPER;ENRICHR;CollecTRI","32.00000000000000","2","3","ARCHS4--Coexpression(rank=32); Enrichr--Queries(rank=97); GTEx--Coexpression(rank=787)","80","rank=14; score=4.2868; p=5.1662e-05","rank=80; score=0.01966","rank=2; score=6.6254; direction=Activated"
"7","HNF1B","DoRothEA;ChEA3;VIPER","5","DoRothEA;ChEA3;VIPER;ENRICHR;CollecTRI","50.33333333333334","19","3","ARCHS4--Coexpression(rank=23); Enrichr--Queries(rank=70); ReMap--ChIP-seq(rank=196)","55","rank=77; score=2.0499; p=0.0089153","rank=55; score=0.01413","rank=19; score=4.0025; direction=Repressed"
"8","MYCN","DoRothEA;ChEA3;VIPER","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","51.33333333333333","6","5","ReMap--ChIP-seq(rank=9); Literature--ChIP-seq(rank=108); Enrichr--Queries(rank=253); GTEx--Coexpression(rank=287); ARCHS4--Coexpression(rank=476)","123","rank=25; score=3.735; p=0.00018408","rank=123; score=0.0303","rank=6; score=4.957; direction=Activated"
"9","EHF","DoRothEA;ChEA3;VIPER","4","DoRothEA;ChEA3;VIPER;CollecTRI","52.33333333333334","7","4","ARCHS4--Coexpression(rank=3); Enrichr--Queries(rank=9); GTEx--Coexpression(rank=21); ReMap--ChIP-seq(rank=188)","7","rank=102; score=1.4618; p=0.034528","rank=7; score=0.001843","rank=48; score=2.8866; direction=Repressed"
"10","KLF3","DoRothEA;ChEA3;VIPER","5","DoRothEA;ChEA3;VIPER;ENRICHR;CollecTRI","52.33333333333334","29","4","GTEx--Coexpression(rank=23); Enrichr--Queries(rank=140); ARCHS4--Coexpression(rank=228); ReMap--ChIP-seq(rank=242)","56","rank=72; score=2.1223; p=0.0075454","rank=56; score=0.01431","rank=29; score=3.5222; direction=Repressed"
