"TF","LD_HCT116"
"AHR","-0.56188020566919450"
"AR","-0.31084015299523410"
"ARID2","-1.07572455989091686"
"ARID3A","2.79654214742657725"
"ARNT","-0.82973440550882382"
"ARNTL","2.90210883635461014"
"ASCL1","4.53978795395157597"
"ATF1","-0.09570753811000904"
"ATF2","1.26453747134391370"
"ATF3","-1.28632841610778637"
"ATF4","1.26798059688015030"
"ATF6","0.51707019947600596"
"ATF7","1.27603117076458705"
"BACH1","1.38564549301714823"
"BACH2","0.80248297647492817"
"BATF","2.65478529498139304"
"BCL11A","1.75708152458319788"
"BCL6","-1.26978331137289335"
"BHLHE22","-0.76561969194797186"
"BHLHE40","-3.46006767779869318"
"CDX2","0.40299016930016091"
"CEBPA","-0.50016162355906812"
"CEBPB","1.71174076557504673"
"CEBPD","0.50400001622858415"
"CEBPG","0.80864414000160501"
"CLOCK","4.69457001458620304"
"CREB1","1.32957661416729955"
"CREB3","0.48033624714924134"
"CREB3L1","2.10456962135127368"
"CREM","2.59343134685772236"
"CTCF","2.20691124824919926"
"CTCFL","5.85554333992514664"
"CUX1","2.01880581938743964"
"DUX4","0.02285609494021954"
"E2F1","-5.18230512968938672"
"E2F2","-4.00516851940497354"
"E2F3","-1.70025257255130469"
"E2F4","-8.67164528192880191"
"E2F5","-2.25525710506447741"
"E2F6","-3.20118936605167992"
"E2F7","-0.93086887256937179"
"EBF1","4.46563074161038820"
"EGR1","2.46321322361167505"
"EHF","2.30787705694350276"
"ELF1","2.38671536493059921"
"ELF3","0.19925186826072486"
"ELF5","-1.13085283129197189"
"ELK1","2.52152912875645363"
"ELK4","0.93748145444118625"
"EOMES","1.80065510425325792"
"EPAS1","2.04139100797877049"
"ERG","-0.33931150777853730"
"ESR1","2.23504438965993080"
"ESR2","2.49182846113254497"
"ESRRA","4.77269486338231808"
"ETS1","2.58931253350426704"
"ETS2","0.88641955054058630"
"ETV1","2.08507774454859263"
"ETV4","-0.25881391529234299"
"FLI1","0.05639832782916744"
"FOS","1.31384779538645247"
"FOSL1","0.63077526568672038"
"FOSL2","0.58977341936422489"
"FOXA1","0.70107851547109479"
"FOXA2","-0.77869582930544101"
"FOXJ2","0.04886564354805144"
"FOXK2","1.05721095851643376"
"FOXL2","0.99160226855123279"
"FOXM1","-2.47567310043441102"
"FOXO1","0.17925766407352409"
"FOXO3","1.00173576664392638"
"FOXO4","0.45566899262702071"
"FOXP1","0.47770358609272268"
"FOXP2","-1.35915772474455787"
"GABPA","-0.49074627626967787"
"GATA1","-0.30862221864862471"
"GATA2","0.63653870480006003"
"GATA3","1.71878387969272839"
"GATA4","0.41034070280310181"
"GATA6","0.46809705954823405"
"GFI1B","1.91885809551799991"
"GLI2","0.51512717368112393"
"GRHL2","1.05626035477253488"
"HBP1","0.71902688456401731"
"HHEX","-0.95071139978025088"
"HIF1A","-1.87374643406311159"
"HINFP","-0.73247054838002001"
"HMBOX1","0.15486493561443473"
"HNF1B","-1.09740834470117998"
"HNF4A","1.01436050513090792"
"HNF4G","1.97441694255733458"
"HOXA9","-0.09861842358161010"
"HOXB13","-1.08941915682062751"
"HSF1","-0.12704156065891270"
"IKZF1","2.23996761889466667"
"IRF1","2.31473172545681605"
"IRF2","1.32033151150267636"
"IRF3","3.46117256669550022"
"IRF4","1.68105345147481144"
"IRF9","1.89265072627584963"
"JUN","1.43290126546959340"
"JUNB","2.25553828916486632"
"JUND","2.07991747936804705"
"KDM5B","2.56560916472236977"
"KLF1","3.84194266732334011"
"KLF13","-2.28864774783642311"
"KLF3","-1.39975402043674979"
"KLF4","-0.16785744396012839"
"KLF5","5.45284285221960641"
"KLF6","2.53520117020904356"
"KLF9","5.53919946275136343"
"KMT2A","1.17892462177737611"
"LEF1","-1.22857398329439604"
"LHX2","-1.41823074725584952"
"LYL1","5.89815573351864231"
"MAF","1.90951044779877721"
"MAFB","1.39038845907902364"
"MAFF","1.72752926046348221"
"MAFG","1.08847045507322893"
"MAFK","2.43102431107895933"
"MAX","4.42093325908009938"
"MAZ","4.50879466125050055"
"MBD1","-3.09568455585007385"
"MBD2","3.68882493678537982"
"MEF2A","1.85022128051703372"
"MEF2B","2.33075251901047098"
"MEF2C","1.41010634368397003"
"MEIS1","-0.04280936587674169"
"MEIS2","-0.40874192823399941"
"MITF","-1.33776958564635340"
"MNT","-4.75418039924880009"
"MXI1","-2.87631894094792884"
"MYB","-0.18381695777128809"
"MYBL2","-2.27509758383564087"
"MYC","-4.66271385018204487"
"MYCN","-3.95614104653960474"
"MYOD1","3.63960394329119108"
"NANOG","0.43759245472452385"
"NCOA1","-0.10607849856655285"
"NCOA2","-0.57272907492340885"
"NCOA3","-0.68330045337389811"
"NEUROD1","3.34375091970653138"
"NFATC1","1.29831409641964024"
"NFE2","3.81627986788173468"
"NFE2L1","1.18119033588839706"
"NFE2L2","-0.24534993709180358"
"NFIC","0.10233984101023079"
"NFKB1","1.60623429067142420"
"NFKB2","-2.48548691911098230"
"NFYA","-1.97512076801500069"
"NFYB","-2.95620973241900264"
"NR1H2","1.95881540091465922"
"NR1H3","1.78892520383674758"
"NR2C2","-3.25518405499175323"
"NR2F1","6.47460975951191298"
"NR2F6","-0.87004576805210354"
"NR3C1","0.63167240472000385"
"NR4A1","2.84655815378786636"
"NR5A2","-0.23605906523013409"
"NRF1","1.19637490926884182"
"ONECUT1","-1.81011106369029040"
"OTX2","0.50884728265936119"
"PAX5","2.13467486206036083"
"PAX8","-1.12777307209095401"
"PBX2","2.93529421649547473"
"PBX3","1.23694123094759467"
"PDX1","0.57322192065307920"
"PGR","0.74096483089038656"
"PKNOX1","0.74037798124082554"
"POU2F1","1.66687453820582676"
"POU2F2","0.56874614442640858"
"POU4F2","1.24121418661911398"
"POU5F1","1.35378184991061956"
"PPARA","1.24191728411870517"
"PPARG","-0.07944217677044585"
"PRDM1","-0.17126914886022018"
"PRDM14","7.21541970494167728"
"PROX1","2.15076205827845479"
"RARA","1.13374277843441051"
"RBPJ","2.36339001507424795"
"REL","1.34722544709138847"
"RELA","2.26868633173135503"
"RELB","1.53687307167627285"
"REST","-2.83969078417908838"
"RFX1","1.41802589842610871"
"RFX2","0.92188526743729426"
"RFX5","2.61800814225129841"
"RUNX1","2.83687349156362201"
"RUNX2","0.73576824560047760"
"RUNX3","0.50696188604484593"
"RXRA","0.09463567237289208"
