"TF","HD_HCT116"
"AHR","-3.57215083475015094"
"AR","-0.81418245388149801"
"ARID2","-1.25973601651272427"
"ARID3A","-2.48363419946414554"
"ARNT","-1.90267000616025261"
"ARNTL","-1.78616516657409363"
"ASCL1","-0.95021686383772619"
"ATF1","0.60804637419356344"
"ATF2","-1.23146731954481026"
"ATF3","0.92032622870117642"
"ATF4","-4.82871856574346925"
"ATF6","0.30108496766702397"
"ATF7","-0.32992083425229779"
"BACH1","0.44258879359591230"
"BACH2","-0.90530484947927070"
"BATF","-0.81555140241494806"
"BCL11A","-1.59649401328047369"
"BCL6","2.00556116978890842"
"BHLHE22","2.06171340676350789"
"BHLHE40","1.67794182007868975"
"CDX2","-1.51708016942010815"
"CEBPA","-1.61996035987296860"
"CEBPB","-1.52604275510794163"
"CEBPD","-0.42566111741936552"
"CEBPG","-4.06462248812277238"
"CLOCK","-3.15967133349342477"
"CREB1","0.55782075840056966"
"CREB3","1.25089887821395096"
"CREB3L1","1.04087491420127942"
"CREM","-0.84507605892679949"
"CTCF","0.64537783733182441"
"CTCFL","0.74571841055794685"
"CUX1","-0.01429022437443934"
"DUX4","-0.53905193073906355"
"E2F1","4.20414625327214164"
"E2F2","6.62541464808892044"
"E2F3","4.48804741185848144"
"E2F4","9.38107360396986323"
"E2F5","1.51480745041288922"
"E2F6","-1.36794620375359499"
"E2F7","0.92732616708388260"
"EBF1","-3.72049975971447200"
"EGR1","-1.95944774222811624"
"EHF","-2.88660523665610036"
"ELF1","-0.99936936101582685"
"ELF3","-3.09445303264590299"
"ELF5","-0.47407743554014131"
"ELK1","-2.02318248209545448"
"ELK4","-1.05564942953911567"
"EOMES","-2.77361590576695205"
"EPAS1","-0.94031793598274938"
"ERG","0.72816261418805373"
"ESR1","-2.41827093015240946"
"ESR2","-1.25800863086373527"
"ESRRA","-2.81320529413302056"
"ETS1","1.54177716505266704"
"ETS2","-0.97501521802954261"
"ETV1","-0.43585022283203834"
"ETV4","-1.79799918184254848"
"FLI1","-2.08452304329901983"
"FOS","-3.17562728996918686"
"FOSL1","0.08896972081338013"
"FOSL2","0.86651953019194528"
"FOXA1","-2.07198496026125634"
"FOXA2","-1.77510013194679406"
"FOXJ2","-1.74597765415804562"
"FOXK2","0.78211226052116400"
"FOXL2","-1.31566233144556621"
"FOXM1","1.73330278951239825"
"FOXO1","-3.61855562005575315"
"FOXO3","-3.19369624435763910"
"FOXO4","-1.09571203300453490"
"FOXP1","2.74516611666005561"
"FOXP2","1.27842373764872463"
"GABPA","0.74009196744869798"
"GATA1","0.42988893933215938"
"GATA2","-1.85770061585894197"
"GATA3","-2.87282739869391568"
"GATA4","-0.78528107554060300"
"GATA6","-3.88431453481923006"
"GFI1B","-1.96662955106211390"
"GLI2","1.30890423776768339"
"GRHL2","-5.53301126223144735"
"HBP1","0.66227910859555528"
"HHEX","0.42044369095598716"
"HIF1A","-2.04429452287137270"
"HINFP","0.91249031116293966"
"HMBOX1","3.22229792118889957"
"HNF1B","-4.00253573487724257"
"HNF4A","-4.39021280020963367"
"HNF4G","-3.94562786113218777"
"HOXA9","-0.80069268446247122"
"HOXB13","-2.74932674053541160"
"HSF1","1.29270675616904174"
"IKZF1","-1.37152952019865926"
"IRF1","1.16467833122561260"
"IRF2","2.90897959812939000"
"IRF3","1.51179862605973825"
"IRF4","-1.97729435525136510"
"IRF9","-0.12984242404695406"
"JUN","-1.23875649993170378"
"JUNB","-1.83918899628751631"
"JUND","0.74384071401824869"
"KDM5B","-2.78513536629563285"
"KLF1","0.02013997235745517"
"KLF13","-2.05607625906063163"
"KLF3","-3.52223002288777165"
"KLF4","-2.88316212157459395"
"KLF5","-5.01665030196830575"
"KLF6","-2.75712897032516890"
"KLF9","-0.24609735932624521"
"KMT2A","-0.34679883095342651"
"LEF1","0.09136086576737752"
"LHX2","0.29641209926647205"
"LYL1","-2.09824609952654573"
"MAF","-2.30278635928063036"
"MAFB","-4.81835502638103996"
"MAFF","-1.78888469624431767"
"MAFG","-3.85311582124515661"
"MAFK","-3.45291285812434268"
"MAX","-1.10288309551238006"
"MAZ","3.42192342037065567"
"MBD1","-3.31524432374288125"
"MBD2","-0.58238302269892495"
"MEF2A","-3.25300214146298172"
"MEF2B","-2.10757237182674251"
"MEF2C","-2.63175506197851572"
"MEIS1","-2.01621074849584625"
"MEIS2","-2.40406852610247190"
