"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","ChEA3","ENRICHR"
"1","E2F1","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","10.0","2","6","ARCHS4--Coexpression(rank=9); ENCODE--ChIP-seq(rank=14); GTEx--Coexpression(rank=30); Literature--ChIP-seq(rank=82); ReMap--ChIP-seq(rank=95); Enrichr--Queries(rank=122)","18","rank=18; score=0.005528","rank=2; score=36.028; p=1.0814e-07; adjP=4.6249e-07"
"2","SOX2","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","11.5","3","5","Literature--ChIP-seq(rank=1); ReMap--ChIP-seq(rank=255); Enrichr--Queries(rank=380); ARCHS4--Coexpression(rank=447); GTEx--Coexpression(rank=613)","20","rank=20; score=0.006098","rank=3; score=337.4; p=1.7124e-61; adjP=1.2963e-58"
"3","CTCF","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","23.5","18","6","ENCODE--ChIP-seq(rank=1); ReMap--ChIP-seq(rank=58); Literature--ChIP-seq(rank=83); ARCHS4--Coexpression(rank=534); GTEx--Coexpression(rank=1016); Enrichr--Queries(rank=1333)","29","rank=29; score=0.008475","rank=18; score=110.15; p=4.8757e-30; adjP=7.3818e-28"
"4","ZNF217","ChEA3;ENRICHR","4","DoRothEA;ChEA3;VIPER;ENRICHR","30.5","14","6","Literature--ChIP-seq(rank=2); ENCODE--ChIP-seq(rank=26); ReMap--ChIP-seq(rank=277); Enrichr--Queries(rank=408); GTEx--Coexpression(rank=596); ARCHS4--Coexpression(rank=880)","47","rank=47; score=0.0122","rank=14; score=148.03; p=3.1821e-31; adjP=6.0221e-29"
"5","E2F4","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","40.5","12","6","ENCODE--ChIP-seq(rank=2); ReMap--ChIP-seq(rank=32); Literature--ChIP-seq(rank=90); ARCHS4--Coexpression(rank=250); GTEx--Coexpression(rank=573); Enrichr--Queries(rank=779)","69","rank=69; score=0.01695","rank=12; score=28.173; p=2.7069e-08; adjP=5.6304e-07"
"6","EGR1","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","42.0","10","6","Literature--ChIP-seq(rank=3); ENCODE--ChIP-seq(rank=8); ReMap--ChIP-seq(rank=28); GTEx--Coexpression(rank=140); Enrichr--Queries(rank=294); ARCHS4--Coexpression(rank=378)","74","rank=74; score=0.01829","rank=10; score=114.9; p=3.5707e-32; adjP=9.01e-30"
"7","MYBL2","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","42.0","24","6","ARCHS4--Coexpression(rank=25); GTEx--Coexpression(rank=44); ENCODE--ChIP-seq(rank=113); Literature--ChIP-seq(rank=134); Enrichr--Queries(rank=158); ReMap--ChIP-seq(rank=200)","60","rank=60; score=0.01536","rank=24; score=12.85; p=0.0043784; adjP=0.039792"
"8","FOXA1","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","42.0","25","6","ARCHS4--Coexpression(rank=12); Enrichr--Queries(rank=30); ENCODE--ChIP-seq(rank=37); Literature--ChIP-seq(rank=41); ReMap--ChIP-seq(rank=209); GTEx--Coexpression(rank=288)","25","rank=25; score=0.007371","rank=59; score=76.273; p=3.2288e-22; adjP=1.6295e-20"
"9","DNMT1","ChEA3;ENRICHR","4","ChEA3;ENRICHR;TRRUST;CollecTRI","55.0","36","2","GTEx--Coexpression(rank=16); ARCHS4--Coexpression(rank=531)","36","rank=36; score=0.009956","rank=74; score=28.743; p=0.00042072; adjP=0.0098074"
"10","FOSL1","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","57.5","52","5","ENCODE--ChIP-seq(rank=21); ARCHS4--Coexpression(rank=22); ReMap--ChIP-seq(rank=55); Enrichr--Queries(rank=116); GTEx--Coexpression(rank=488)","52","rank=52; score=0.01351","rank=63; score=51.094; p=4.1598e-14; adjP=5.8314e-13"
