"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","ENRICHR","TRRUST","CollecTRI"
"1","E2F1","ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","4.00000000000000","1","6","ARCHS4--Coexpression(rank=9); ENCODE--ChIP-seq(rank=14); GTEx--Coexpression(rank=30); Literature--ChIP-seq(rank=82); ReMap--ChIP-seq(rank=95); Enrichr--Queries(rank=122)","18","rank=2; score=36.028; p=1.0814e-07; adjP=4.6249e-07","rank=1; score=6.2243; p=5.9663e-07","rank=9; score=4.2253; p=2.3865e-05; direction=Activated"
"2","E2F4","ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","14.33333333333333","1","6","ENCODE--ChIP-seq(rank=2); ReMap--ChIP-seq(rank=32); Literature--ChIP-seq(rank=90); ARCHS4--Coexpression(rank=250); GTEx--Coexpression(rank=573); Enrichr--Queries(rank=779)","69","rank=12; score=28.173; p=2.7069e-08; adjP=5.6304e-07","rank=30; score=2.5559; p=0.0027806","rank=1; score=8.1892; p=2.6302e-16; direction=Activated"
"3","RFXANK","ENRICHR;TRRUST;CollecTRI","3","ENRICHR;TRRUST;CollecTRI","19.00000000000000","5","0","",NA,"rank=44; score=70.747; p=0.0001267; adjP=0.005638","rank=8; score=3.8972; p=0.0001267","rank=5; score=4.873; p=1.099e-06; direction=Repressed"
"4","TCF4","ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","19.66666666666667","6","5","Literature--ChIP-seq(rank=36); ReMap--ChIP-seq(rank=72); GTEx--Coexpression(rank=382); Enrichr--Queries(rank=438); ARCHS4--Coexpression(rank=982)","737","rank=39; score=46.879; p=8.856e-12; adjP=8.38e-11","rank=6; score=4.0556; p=8.7987e-05","rank=14; score=3.5407; p=0.00039912; direction=Repressed"
"5","SMAD4","ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","20.00000000000000","3","5","Literature--ChIP-seq(rank=73); ReMap--ChIP-seq(rank=152); GTEx--Coexpression(rank=1015); Enrichr--Queries(rank=1161); ARCHS4--Coexpression(rank=1536)","1203","rank=8; score=52.394; p=1.8961e-08; adjP=9.3205e-08","rank=49; score=2.0589; p=0.0087316","rank=3; score=5.2877; p=1.2389e-07; direction=Repressed"
"6","ZEB1","ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","31.33333333333333","23","5","ENCODE--ChIP-seq(rank=27); ReMap--ChIP-seq(rank=65); GTEx--Coexpression(rank=104); ARCHS4--Coexpression(rank=330); Enrichr--Queries(rank=343)","274","rank=46; score=41.601; p=0.00067375; adjP=0.0046714","rank=25; score=2.866; p=0.0013615","rank=23; score=3.0502; p=0.002287; direction=Repressed"
"7","HDAC1","ENRICHR;TRRUST;CollecTRI","3","ENRICHR;TRRUST;CollecTRI","32.00000000000000","2","0","",NA,"rank=16; score=31.232; p=2.042e-05; adjP=0.0023541","rank=2; score=4.6899; p=2.0422e-05","rank=78; score=2.0744; p=0.038039; direction=Repressed"
"8","RARA","ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","37.33333333333334","6","5","ReMap--ChIP-seq(rank=63); Literature--ChIP-seq(rank=151); GTEx--Coexpression(rank=391); Enrichr--Queries(rank=475); ARCHS4--Coexpression(rank=529)","717","rank=77; score=20.081; p=0.0026224; adjP=0.032566","rank=29; score=2.5813; p=0.0026224","rank=6; score=4.4836; p=7.3397e-06; direction=Repressed"
"9","EGR1","ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","44.00000000000000","10","6","Literature--ChIP-seq(rank=3); ENCODE--ChIP-seq(rank=8); ReMap--ChIP-seq(rank=28); GTEx--Coexpression(rank=140); Enrichr--Queries(rank=294); ARCHS4--Coexpression(rank=378)","74","rank=10; score=114.9; p=3.5707e-32; adjP=9.01e-30","rank=10; score=3.4719; p=0.0003374","rank=112; score=1.8319; p=0.066968; direction=Repressed"
"10","SNAI2","ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","44.00000000000000","17","4","ReMap--ChIP-seq(rank=21); ARCHS4--Coexpression(rank=80); Enrichr--Queries(rank=559); GTEx--Coexpression(rank=658)","209","rank=82; score=55.114; p=0.00042242; adjP=0.0098074","rank=17; score=3.3742; p=0.00042243","rank=33; score=2.8124; p=0.0049179; direction=Repressed"
