"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","ChEA3","ENRICHR","TRRUST"
"1","REST","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","30.33333333333334","6","6","ENCODE--ChIP-seq(rank=2); Literature--ChIP-seq(rank=9); GTEx--Coexpression(rank=27); ReMap--ChIP-seq(rank=49); ARCHS4--Coexpression(rank=770); Enrichr--Queries(rank=1076)","75","rank=75; score=0.0168","rank=10; score=47.586; p=3.5132e-10; adjP=6.9431e-09","rank=6; score=3.5832; p=0.00026109"
"2","SOX10","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","35.33333333333334","19","4","GTEx--Coexpression(rank=8); ReMap--ChIP-seq(rank=47); ARCHS4--Coexpression(rank=299); Enrichr--Queries(rank=395)","22","rank=22; score=0.004978","rank=65; score=60.374; p=0.0021915; adjP=0.04037","rank=19; score=2.6593; p=0.0021915"
"3","WT1","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","39.33333333333333","4","4","Literature--ChIP-seq(rank=4); Enrichr--Queries(rank=157); GTEx--Coexpression(rank=329); ARCHS4--Coexpression(rank=384)","105","rank=105; score=0.02439","rank=9; score=74.951; p=1.436e-17; adjP=5.6758e-16","rank=4; score=4.2952; p=5.0673e-05"
"4","ATF4","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","42.00000000000000","2","4","ReMap--ChIP-seq(rank=8); GTEx--Coexpression(rank=105); Enrichr--Queries(rank=1175); ARCHS4--Coexpression(rank=1559)","118","rank=118; score=0.02694","rank=6; score=78.259; p=1.253e-05; adjP=0.0024872","rank=2; score=4.902; p=1.2531e-05"
"5","AR","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","57.33333333333333","10","5","Literature--ChIP-seq(rank=26); ReMap--ChIP-seq(rank=39); Enrichr--Queries(rank=45); ARCHS4--Coexpression(rank=549); GTEx--Coexpression(rank=636)","141","rank=141; score=0.03205","rank=21; score=26.572; p=1.568e-07; adjP=1.9626e-06","rank=10; score=3.2706; p=0.00053626"
"6","NANOG","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","57.33333333333334","39","6","ReMap--ChIP-seq(rank=4); Literature--ChIP-seq(rank=14); ENCODE--ChIP-seq(rank=68); ARCHS4--Coexpression(rank=511); Enrichr--Queries(rank=562); GTEx--Coexpression(rank=939)","60","rank=60; score=0.01347","rank=39; score=25.208; p=2.4958e-07; adjP=3.0727e-06","rank=73; score=0.88706; p=0.1297"
"7","IRF9","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","67.33333333333333","28","4","GTEx--Coexpression(rank=31); ARCHS4--Coexpression(rank=84); ReMap--ChIP-seq(rank=147); Enrichr--Queries(rank=170)","83","rank=83; score=0.01929","rank=91; score=50.584; p=0.0075222; adjP=0.090495","rank=28; score=2.1236; p=0.0075223"
"8","SOX2","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","69.66666666666667","8","5","Literature--ChIP-seq(rank=2); ReMap--ChIP-seq(rank=48); GTEx--Coexpression(rank=167); Enrichr--Queries(rank=269); ARCHS4--Coexpression(rank=326)","55","rank=55; score=0.0122","rank=8; score=175.83; p=8.6046e-30; adjP=9.2315e-28","rank=146; score=0.46509; p=0.3427"
"9","RUNX2","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","70.33333333333333","58","5","ReMap--ChIP-seq(rank=5); Literature--ChIP-seq(rank=12); GTEx--Coexpression(rank=26); Enrichr--Queries(rank=65); ARCHS4--Coexpression(rank=208)","72","rank=72; score=0.01618","rank=81; score=46.855; p=2.4728e-12; adjP=6.8779e-11","rank=58; score=1.08; p=0.083178"
"10","SMAD4","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","71.00000000000000","17","5","ReMap--ChIP-seq(rank=12); Literature--ChIP-seq(rank=17); GTEx--Coexpression(rank=1211); Enrichr--Queries(rank=1256); ARCHS4--Coexpression(rank=1350)","176","rank=176; score=0.0404","rank=17; score=37.996; p=5.1761e-10; adjP=9.9674e-09","rank=20; score=2.6163; p=0.0024195"
