"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","DoRothEA","ChEA3","ENRICHR","TRRUST"
"1","ATF4","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","4.00","1","4","ReMap--ChIP-seq(rank=1); GTEx--Coexpression(rank=166); Enrichr--Queries(rank=447); ARCHS4--Coexpression(rank=898)","13","rank=1; score=6.5407; p=2.8795e-07","rank=13; score=0.003367","rank=1; score=96.682; p=4.4787e-06; adjP=0.001693","rank=1; score=5.3488; p=4.4791e-06"
"2","E2F1","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","20.25","8","6","Enrichr--Queries(rank=3); GTEx--Coexpression(rank=5); ARCHS4--Coexpression(rank=45); ENCODE--ChIP-seq(rank=57); Literature--ChIP-seq(rank=83); ReMap--ChIP-seq(rank=267)","8","rank=9; score=3.1996; p=0.00063161","rank=8; score=0.002137","rank=53; score=14.987; p=0.0023407; adjP=0.057386","rank=11; score=2.6306; p=0.0023408"
"3","ESR1","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","33.25","5","6","ReMap--ChIP-seq(rank=3); ENCODE--ChIP-seq(rank=14); ARCHS4--Coexpression(rank=29); Literature--ChIP-seq(rank=35); GTEx--Coexpression(rank=458); Enrichr--Queries(rank=589)","44","rank=5; score=3.6448; p=0.00022658","rank=44; score=0.0101","rank=41; score=31.632; p=2.2881e-09; adjP=1.7138e-07","rank=43; score=1.4961; p=0.031905"
"4","EGR1","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","33.75","2","6","Literature--ChIP-seq(rank=3); ENCODE--ChIP-seq(rank=18); ReMap--ChIP-seq(rank=254); GTEx--Coexpression(rank=380); Enrichr--Queries(rank=595); ARCHS4--Coexpression(rank=611)","75","rank=22; score=2.1142; p=0.0076869","rank=75; score=0.01829","rank=2; score=41.213; p=8.8835e-12; adjP=1.3308e-09","rank=36; score=1.5537; p=0.027943"
"5","SOX2","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","42.00","3","5","Literature--ChIP-seq(rank=1); Enrichr--Queries(rank=190); ReMap--ChIP-seq(rank=284); GTEx--Coexpression(rank=453); ARCHS4--Coexpression(rank=678)","24","rank=66; score=1.0818; p=0.082834","rank=24; score=0.006098","rank=3; score=169.24; p=3.3878e-28; adjP=2.5375e-25","rank=75; score=1.0459; p=0.089978"
"6","FOXM1","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","44.25","9","6","GTEx--Coexpression(rank=4); Enrichr--Queries(rank=15); ENCODE--ChIP-seq(rank=39); Literature--ChIP-seq(rank=54); ARCHS4--Coexpression(rank=99); ReMap--ChIP-seq(rank=191)","10","rank=112; score=0.63726; p=0.23054","rank=10; score=0.002489","rank=46; score=55.867; p=6.3885e-05; adjP=0.00071418","rank=9; score=2.9804; p=0.0010461"
"7","GATA3","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","45.50","37","6","ENCODE--ChIP-seq(rank=4); ARCHS4--Coexpression(rank=14); Literature--ChIP-seq(rank=31); ReMap--ChIP-seq(rank=42); Enrichr--Queries(rank=127); GTEx--Coexpression(rank=204)","37","rank=57; score=1.1837; p=0.065511","rank=37; score=0.0086","rank=44; score=18.49; p=8.9133e-06; adjP=0.00013841","rank=44; score=1.4379; p=0.03648"
"8","MYCN","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","46.75","3","5","GTEx--Coexpression(rank=63); Literature--ChIP-seq(rank=119); Enrichr--Queries(rank=124); ReMap--ChIP-seq(rank=222); ARCHS4--Coexpression(rank=689)","160","rank=6; score=3.5913; p=0.00025626","rank=160; score=0.0392","rank=18; score=40.104; p=0.00027817; adjP=0.026287","rank=3; score=3.5557; p=0.00027818"
"9","MYB","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","48.00","10","6","Enrichr--Queries(rank=17); Literature--ChIP-seq(rank=19); ENCODE--ChIP-seq(rank=97); GTEx--Coexpression(rank=139); ARCHS4--Coexpression(rank=140); ReMap--ChIP-seq(rank=240)","51","rank=81; score=0.91753; p=0.12091","rank=51; score=0.01211","rank=50; score=28.698; p=3.9483e-05; adjP=0.00046207","rank=10; score=2.7309; p=0.0018583"
"10","CDX2","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","50.00","23","5","ARCHS4--Coexpression(rank=15); ReMap--ChIP-seq(rank=35); Literature--ChIP-seq(rank=64); GTEx--Coexpression(rank=198); Enrichr--Queries(rank=558)","39","rank=23; score=2.0908; p=0.0081135","rank=39; score=0.009214","rank=114; score=14.41; p=0.010741; adjP=0.035132","rank=24; score=1.731; p=0.018577"
