"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","DoRothEA","VIPER","CollecTRI"
"1","SP3","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","19.33333333333333","3","3","GTEx--Coexpression(rank=1013); Enrichr--Queries(rank=1266); ARCHS4--Coexpression(rank=1537)","1392","rank=8; score=4.1628; p=6.8734e-05","rank=47; score=2.9532; direction=Activated","rank=3; score=4.7532; p=2.0021e-06; direction=Activated"
"2","STAT1","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","21.33333333333333","11","6","ENCODE--ChIP-seq(rank=7); ReMap--ChIP-seq(rank=16); ARCHS4--Coexpression(rank=95); Literature--ChIP-seq(rank=136); Enrichr--Queries(rank=270); GTEx--Coexpression(rank=1038)","224","rank=13; score=3.5026; p=0.00031432","rank=40; score=3.1473; direction=Activated","rank=11; score=4.2557; p=2.0838e-05; direction=Activated"
"3","IRF2","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","24.66666666666667","12","4","ARCHS4--Coexpression(rank=73); ReMap--ChIP-seq(rank=225); GTEx--Coexpression(rank=417); Enrichr--Queries(rank=564)","194","rank=43; score=2.0706; p=0.0084995","rank=12; score=4.3246; direction=Activated","rank=19; score=3.6774; p=0.00023562; direction=Activated"
"4","CEBPA","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","30.33333333333334","8","5","Literature--ChIP-seq(rank=94); ReMap--ChIP-seq(rank=120); ARCHS4--Coexpression(rank=382); Enrichr--Queries(rank=637); GTEx--Coexpression(rank=858)","711","rank=63; score=1.4977; p=0.031789","rank=20; score=3.9273; direction=Activated","rank=8; score=4.4042; p=1.0618e-05; direction=Activated"
"5","MAFG","DoRothEA;VIPER;CollecTRI","4","DoRothEA;ChEA3;VIPER;CollecTRI","36.66666666666666","5","4","ReMap--ChIP-seq(rank=148); Enrichr--Queries(rank=857); GTEx--Coexpression(rank=898); ARCHS4--Coexpression(rank=1373)","1194","rank=27; score=2.4457; p=0.0035835","rank=5; score=5.1474; direction=Activated","rank=78; score=2.781; p=0.005419; direction=Activated"
"6","ATF4","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","37.00000000000000","4","4","ReMap--ChIP-seq(rank=8); GTEx--Coexpression(rank=105); Enrichr--Queries(rank=1175); ARCHS4--Coexpression(rank=1559)","118","rank=4; score=4.9605; p=1.0953e-05","rank=30; score=3.4013; direction=Repressed","rank=77; score=2.8173; p=0.0048432; direction=Repressed"
"7","SP1","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","38.66666666666666","5","5","ENCODE--ChIP-seq(rank=87); ReMap--ChIP-seq(rank=198); GTEx--Coexpression(rank=807); Enrichr--Queries(rank=1206); ARCHS4--Coexpression(rank=1417)","1201","rank=10; score=4.0461; p=8.9927e-05","rank=101; score=1.8444; direction=Activated","rank=5; score=4.4993; p=6.8167e-06; direction=Activated"
"8","ELF3","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","39.00000000000000","15","4","ReMap--ChIP-seq(rank=40); ARCHS4--Coexpression(rank=200); GTEx--Coexpression(rank=344); Enrichr--Queries(rank=411)","445","rank=85; score=1.1582; p=0.069463","rank=17; score=4.1693; direction=Activated","rank=15; score=3.9477; p=7.8914e-05; direction=Activated"
"9","RUNX2","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","42.33333333333333","2","5","ReMap--ChIP-seq(rank=5); Literature--ChIP-seq(rank=12); GTEx--Coexpression(rank=26); Enrichr--Queries(rank=65); ARCHS4--Coexpression(rank=208)","72","rank=2; score=5.0346; p=9.2347e-06","rank=8; score=4.6107; direction=Activated","rank=117; score=2.2343; p=0.025465; direction=Activated"
"10","TCF4","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","43.66666666666666","6","5","ReMap--ChIP-seq(rank=20); Literature--ChIP-seq(rank=29); Enrichr--Queries(rank=99); ARCHS4--Coexpression(rank=171); GTEx--Coexpression(rank=792)","275","rank=37; score=2.1876; p=0.0064917","rank=6; score=4.8711; direction=Activated","rank=88; score=2.6569; p=0.0078859; direction=Activated"
