"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","DoRothEA","TRRUST","CollecTRI"
"1","STAT1","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","7.333333333333334","1","6","ENCODE--ChIP-seq(rank=18); ReMap--ChIP-seq(rank=52); Literature--ChIP-seq(rank=137); Enrichr--Queries(rank=166); ARCHS4--Coexpression(rank=179); GTEx--Coexpression(rank=1258)","490","rank=1; score=4.0443; p=9.0312e-05","rank=18; score=1.1941; p=0.063953","rank=3; score=3.9944; p=6.4865e-05; direction=Activated"
"2","MYC","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","13.666666666666666","9","6","Literature--ChIP-seq(rank=14); ReMap--ChIP-seq(rank=29); ENCODE--ChIP-seq(rank=34); Enrichr--Queries(rank=48); GTEx--Coexpression(rank=521); ARCHS4--Coexpression(rank=1283)","159","rank=9; score=1.9271; p=0.011828","rank=20; score=1.0634; p=0.086421","rank=12; score=3.0716; p=0.0021294; direction=Repressed"
"3","PPARA","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","18.000000000000000","7","3","GTEx--Coexpression(rank=873); Enrichr--Queries(rank=1021); ARCHS4--Coexpression(rank=1024)","1432","rank=7; score=1.9701; p=0.010713","rank=33; score=0.75823; p=0.17449","rank=14; score=2.868; p=0.0041307; direction=Activated"
"4","RXRA","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","30.000000000000000","21","6","ENCODE--ChIP-seq(rank=93); Literature--ChIP-seq(rank=125); ReMap--ChIP-seq(rank=127); Enrichr--Queries(rank=284); GTEx--Coexpression(rank=393); ARCHS4--Coexpression(rank=661)","792","rank=21; score=1.2422; p=0.057256","rank=22; score=1.0287; p=0.093612","rank=47; score=2.0197; p=0.043417; direction=Activated"
"5","RELA","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","41.666666666666664","16","6","Literature--ChIP-seq(rank=24); ENCODE--ChIP-seq(rank=28); ReMap--ChIP-seq(rank=190); GTEx--Coexpression(rank=629); Enrichr--Queries(rank=803); ARCHS4--Coexpression(rank=1453)","622","rank=42; score=0.80377; p=0.15712","rank=16; score=1.2171; p=0.060656","rank=67; score=1.8326; p=0.066869; direction=Activated"
"6","RARA","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","46.000000000000000","27","5","ReMap--ChIP-seq(rank=7); Literature--ChIP-seq(rank=73); GTEx--Coexpression(rank=243); Enrichr--Queries(rank=690); ARCHS4--Coexpression(rank=719)","109","rank=47; score=0.76849; p=0.17042","rank=27; score=0.92095; p=0.11996","rank=64; score=1.8546; p=0.063652; direction=Activated"
"7","USF1","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","48.333333333333336","38","5","ENCODE--ChIP-seq(rank=60); ReMap--ChIP-seq(rank=129); GTEx--Coexpression(rank=574); ARCHS4--Coexpression(rank=1129); Enrichr--Queries(rank=1370)","1176","rank=68; score=0.59875; p=0.25191","rank=39; score=0.56272; p=0.2737","rank=38; score=2.128; p=0.033339; direction=Activated"
"8","E2F1","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","49.000000000000000","13","6","Literature--ChIP-seq(rank=40); ReMap--ChIP-seq(rank=53); ENCODE--ChIP-seq(rank=103); ARCHS4--Coexpression(rank=761); Enrichr--Queries(rank=854); GTEx--Coexpression(rank=1062)","716","rank=89; score=0.097445; p=0.79902","rank=45; score=0.31573; p=0.48336","rank=13; score=2.8939; p=0.0038054; direction=Repressed"
"9","E2F4","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","55.000000000000000","1","6","ENCODE--ChIP-seq(rank=19); Literature--ChIP-seq(rank=44); Enrichr--Queries(rank=84); ReMap--ChIP-seq(rank=231); GTEx--Coexpression(rank=752); ARCHS4--Coexpression(rank=1303)","278","rank=77; score=0.48969; p=0.32382","rank=87; score=0; p=1","rank=1; score=7.5096; p=5.9322e-14; direction=Repressed"
"10","GATA1","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","58.000000000000000","8","6","Literature--ChIP-seq(rank=3); ENCODE--ChIP-seq(rank=37); ReMap--ChIP-seq(rank=188); GTEx--Coexpression(rank=580); ARCHS4--Coexpression(rank=701); Enrichr--Queries(rank=1188)","86","rank=26; score=1.1484; p=0.071056","rank=8; score=1.4968; p=0.031856","rank=140; score=1.476; p=0.13995; direction=Activated"
