"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","DoRothEA","VIPER","ENRICHR","TRRUST","CollecTRI"
"1","CEBPB","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","41.0","1","6","ENCODE--ChIP-seq(rank=8); Literature--ChIP-seq(rank=69); ReMap--ChIP-seq(rank=150); ARCHS4--Coexpression(rank=401); GTEx--Coexpression(rank=493); Enrichr--Queries(rank=645)","296","rank=11; score=2.5918; p=0.0025599","rank=115; score=2.0023; direction=Activated","rank=2; score=34.119; p=0.00032982; adjP=0.022025","rank=1; score=3.4817; p=0.00032984","rank=76; score=2.213; p=0.0269; direction=Activated"
"2","SP1","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","45.4","5","5","ENCODE--ChIP-seq(rank=86); ReMap--ChIP-seq(rank=207); GTEx--Coexpression(rank=622); Enrichr--Queries(rank=1331); ARCHS4--Coexpression(rank=1582)","1048","rank=36; score=1.4506; p=0.035433","rank=96; score=2.3053; direction=Activated","rank=18; score=11.374; p=0.0016359; adjP=0.1049","rank=5; score=2.7862; p=0.0016359","rank=72; score=2.2405; p=0.025056; direction=Activated"
"3","SREBF1","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","48.0","2","6","ENCODE--ChIP-seq(rank=62); Literature--ChIP-seq(rank=134); ReMap--ChIP-seq(rank=271); GTEx--Coexpression(rank=657); Enrichr--Queries(rank=901); ARCHS4--Coexpression(rank=1229)","1076","rank=98; score=0.5536; p=0.27951","rank=19; score=4.0931; direction=Activated","rank=95; score=12.682; p=0.031906; adjP=0.33865","rank=26; score=1.4961; p=0.031907","rank=2; score=3.9666; p=7.2906e-05; direction=Activated"
"4","HIF1A","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","48.8","2","5","ReMap--ChIP-seq(rank=69); Literature--ChIP-seq(rank=76); GTEx--Coexpression(rank=110); ARCHS4--Coexpression(rank=319); Enrichr--Queries(rank=937)","300","rank=2; score=3.8884; p=0.0001293","rank=118; score=1.8986; direction=Activated","rank=68; score=11.296; p=0.012588; adjP=0.20706","rank=17; score=1.9001; p=0.012588","rank=39; score=2.5757; p=0.010003; direction=Activated"
"5","SP3","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","54.8","4","3","GTEx--Coexpression(rank=840); Enrichr--Queries(rank=1328); ARCHS4--Coexpression(rank=1599)","1266","rank=4; score=3.1768; p=0.00066558","rank=80; score=2.646; direction=Activated","rank=30; score=13.334; p=0.0051119; adjP=0.16701","rank=10; score=2.2914; p=0.005112","rank=150; score=1.6872; p=0.091562; direction=Activated"
"6","TP63","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","55.4","7","5","Literature--ChIP-seq(rank=17); Enrichr--Queries(rank=21); GTEx--Coexpression(rank=55); ReMap--ChIP-seq(rank=70); ARCHS4--Coexpression(rank=307)","68","rank=7; score=2.8917; p=0.0012831","rank=131; score=1.6625; direction=Activated","rank=15; score=21.905; p=6.4606e-07; adjP=1.7328e-05","rank=56; score=0.83647; p=0.14572","rank=68; score=2.2896; p=0.022042; direction=Activated"
"7","FOXA1","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","56.2","10","6","ENCODE--ChIP-seq(rank=22); Literature--ChIP-seq(rank=28); ReMap--ChIP-seq(rank=95); ARCHS4--Coexpression(rank=260); Enrichr--Queries(rank=505); GTEx--Coexpression(rank=605)","581","rank=10; score=2.6285; p=0.0023526","rank=38; score=3.5641; direction=Activated","rank=19; score=19.577; p=6.9968e-05; adjP=0.00086142","rank=97; score=0.61007; p=0.24543","rank=117; score=1.8818; p=0.059864; direction=Activated"
"8","SOX10","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","60.0","2","4","ReMap--ChIP-seq(rank=49); ARCHS4--Coexpression(rank=143); GTEx--Coexpression(rank=192); Enrichr--Queries(rank=287)","371","rank=35; score=1.4778; p=0.033279","rank=160; score=1.1931; direction=Repressed","rank=7; score=82.868; p=0.0010645; adjP=0.1049","rank=2; score=2.9728; p=0.0010645","rank=96; score=2.0042; p=0.045052; direction=Activated"
"9","JUN","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","62.4","17","6","ENCODE--ChIP-seq(rank=13); Literature--ChIP-seq(rank=60); ReMap--ChIP-seq(rank=80); GTEx--Coexpression(rank=438); ARCHS4--Coexpression(rank=468); Enrichr--Queries(rank=654)","442","rank=17; score=2.0586; p=0.0087384","rank=161; score=1.1908; direction=Activated","rank=80; score=8.1782; p=0.002933; adjP=0.016196","rank=21; score=1.7482; p=0.017858","rank=33; score=2.7392; p=0.0061597; direction=Activated"
"10","CEBPA","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","66.8","14","5","Literature--ChIP-seq(rank=113); ReMap--ChIP-seq(rank=173); ARCHS4--Coexpression(rank=367); GTEx--Coexpression(rank=417); Enrichr--Queries(rank=774)","733","rank=14; score=2.1605; p=0.00691","rank=45; score=3.3381; direction=Activated","rank=92; score=3.0118; p=0.080587; adjP=0.19523","rank=64; score=0.70183; p=0.19869","rank=119; score=1.8722; p=0.061183; direction=Activated"
