"TF","Best_Rank","Mean_Rank","Library_Count","Best_P_Value","Best_Adjusted_P_Value","Best_Combined_Score","Library","Top_Terms","Rank","Score","Method","Method_Rank","Method_Score","Method_P_Value","Method_Adjusted_P_Value","Method_Direction","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"PPARA","108","354.50000000000000","2","0.1065842869628554206995474373798060696572065353393554687500000000000000000","0.391795943743088903588045468495693057775497436523437500000000000000000","4.706841054769971499638","TRRUST_Transcription_Factors_2019(rank=108, adjP=0.392); ChEA_2022(rank=601, adjP=0.831)","PPARA mouse; PPARA 22158963 ChIP-Seq LIVER Mouse","264","4.706841054769971499638","enrichr","264","4.706841054769971499638","0.1065842869628554206995474373798060696572065353393554687500000000000000000","0.391795943743088903588045468495693057775497436523437500000000000000000","","3","Enrichr--Queries(rank=468); ARCHS4--Coexpression(rank=507); GTEx--Coexpression(rank=839)","871","0.31140000000000001","ARCHS4 Coexpression,0.3114"
"RBM15","109","109.00000000000000","1","0.6175625223227012572380090205115266144275665283203125000000000000000000000","0.997973466142412224400004561175592243671417236328125000000000000000000","0.518106626352918597789","Transcription_Factor_PPIs(rank=109, adjP=0.998)","RBM15","265","0.518106626352918597789","enrichr","265","0.518106626352918597789","0.6175625223227012572380090205115266144275665283203125000000000000000000000","0.997973466142412224400004561175592243671417236328125000000000000000000","","0","",NA,NA,NA
"PBX","110","110.00000000000000","1","0.0000126586724620547224360103677476274697255576029419898986816406250000000","0.000086424209263664500163711068569938333894242532551288604736328125000","17.688244283882614382719","ChEA_2022(rank=110, adjP=8.64e-05)","PBX 27287812 Chip-Seq EMBYONIC-LIMB Mouse","266","17.688244283882614382719","enrichr","266","17.688244283882614382719","0.0000126586724620547224360103677476274697255576029419898986816406250000000","0.000086424209263664500163711068569938333894242532551288604736328125000","","0","",NA,NA,NA
"ETV4","110","110.00000000000000","1","0.1173257746925577965635412169831397477537393569946289062500000000000000000","0.395141243137295539167297420135582797229290008544921875000000000000000","5.828903905604067681168","TRRUST_Transcription_Factors_2019(rank=110, adjP=0.395)","ETV4 human","267","5.828903905604067681168","enrichr","267","5.828903905604067681168","0.1173257746925577965635412169831397477537393569946289062500000000000000000","0.395141243137295539167297420135582797229290008544921875000000000000000","","4","ReMap--ChIP-seq(rank=241); Enrichr--Queries(rank=444); ARCHS4--Coexpression(rank=1124); GTEx--Coexpression(rank=1259)","877","0.31619999999999998","Enrichr Queries,0.3162"
"REL","111","111.00000000000000","1","0.1173257746925577965635412169831397477537393569946289062500000000000000000","0.395141243137295539167297420135582797229290008544921875000000000000000","5.828903905604067681168","TRRUST_Transcription_Factors_2019(rank=111, adjP=0.395)","REL human","268","5.828903905604067681168","enrichr","268","5.828903905604067681168","0.1173257746925577965635412169831397477537393569946289062500000000000000000","0.395141243137295539167297420135582797229290008544921875000000000000000","","3","GTEx--Coexpression(rank=657); Enrichr--Queries(rank=817); ARCHS4--Coexpression(rank=870)","1050","0.40880000000000000","GTEx Coexpression,0.4088"
"ZBTB7B","112","112.00000000000000","1","0.6385952702635045996615303920407313853502273559570312500000000000000000000","0.997973466142412224400004561175592243671417236328125000000000000000000","0.453722249369625574289","Transcription_Factor_PPIs(rank=112, adjP=0.998)","ZBTB7B","269","0.453722249369625574289","enrichr","269","0.453722249369625574289","0.6385952702635045996615303920407313853502273559570312500000000000000000000","0.997973466142412224400004561175592243671417236328125000000000000000000","","3","GTEx--Coexpression(rank=625); ARCHS4--Coexpression(rank=639); Enrichr--Queries(rank=992)","1013","0.38890000000000002","GTEx Coexpression,0.3889"
"BCL11A","113","142.00000000000000","2","0.6584722788812685800863278018368873745203018188476562500000000000000000000","0.997973466142412224400004561175592243671417236328125000000000000000000","0.399207540017298190271","Transcription_Factor_PPIs(rank=113, adjP=0.998); ENCODE_TF_ChIP-seq_2015(rank=171, adjP=1)","BCL11A; BCL11A H1-hESC hg19","270","0.399207540017298190271","enrichr","270","0.399207540017298190271","0.6584722788812685800863278018368873745203018188476562500000000000000000000","0.997973466142412224400004561175592243671417236328125000000000000000000","","5","ENCODE--ChIP-seq(rank=50); Enrichr--Queries(rank=178); ReMap--ChIP-seq(rank=224); ARCHS4--Coexpression(rank=508); GTEx--Coexpression(rank=567)","459","0.12680000000000000","Enrichr Queries,0.1268"
"LDB1","114","281.50000000000000","2","0.1194381591346989207602646843042748514562845230102539062500000000000000000","0.249958451645678814134754475162480957806110382080078125000000000000000","8.132214913866203431780","TRRUST_Transcription_Factors_2019(rank=114, adjP=0.395); ChEA_2022(rank=449, adjP=0.25)","LDB1 mouse; LDB1 21186366 ChIP-Seq BM-HSCs Mouse","271","8.132214913866203431780","enrichr","271","8.132214913866203431780","0.1194381591346989207602646843042748514562845230102539062500000000000000000","0.249958451645678814134754475162480957806110382080078125000000000000000","","0","",NA,NA,NA
"SREBF2","117","248.66666666666666","3","0.4925717681605546460765765459655085578560829162597656250000000000000000000","0.599849668588160134241604737326269969344139099121093750000000000000000","1.107492496114906188609","Transcription_Factor_PPIs(rank=117, adjP=0.998); ENCODE_TF_ChIP-seq_2015(rank=304, adjP=1); TRRUST_Transcription_Factors_2019(rank=325, adjP=0.6)","SREBF2; SREBF2 GM12878 hg19; SREBF2 mouse","272","1.107492496114906188609","enrichr","272","1.107492496114906188609","0.4925717681605546460765765459655085578560829162597656250000000000000000000","0.599849668588160134241604737326269969344139099121093750000000000000000","","6","ENCODE--ChIP-seq(rank=80); Literature--ChIP-seq(rank=103); GTEx--Coexpression(rank=111); ReMap--ChIP-seq(rank=229); Enrichr--Queries(rank=932); ARCHS4--Coexpression(rank=1315)","279","0.06907000000000001","GTEx Coexpression,0.06907"
"RUNX","119","119.00000000000000","1","0.0000208747002006067010034320863276491309079574421048164367675781250000000","0.000131738654207190053046366839950565008621197193861007690429687500000","21.309613312625309333725","ChEA_2022(rank=119, adjP=0.000132)","RUNX 20019798 ChIP-Seq JUKART Human","273","21.309613312625309333725","enrichr","273","21.309613312625309333725","0.0000208747002006067010034320863276491309079574421048164367675781250000000","0.000131738654207190053046366839950565008621197193861007690429687500000","","0","",NA,NA,NA
"ZFP281","120","120.00000000000000","1","0.0000216123707269917305923839778714068415865767747163772583007812500000000","0.000135257420133089975621334954958285834436537697911262512207031250000","16.371073153391982657467","ChEA_2022(rank=120, adjP=0.000135)","ZFP281 27345836 Chip-Seq ESCs Mouse","274","16.371073153391982657467","enrichr","274","16.371073153391982657467","0.0000216123707269917305923839778714068415865767747163772583007812500000000","0.000135257420133089975621334954958285834436537697911262512207031250000","","0","",NA,NA,NA
"PPARGC1A","121","201.00000000000000","2","0.3987597904996321718229523867194075137376785278320312500000000000000000000","0.555235621645095767107136452978011220693588256835937500000000000000000","1.977476092009768926516","Transcription_Factor_PPIs(rank=121, adjP=0.998); TRRUST_Transcription_Factors_2019(rank=281, adjP=0.555)","PPARGC1A; PPARGC1A human","275","1.977476092009768926516","enrichr","275","1.977476092009768926516","0.3987597904996321718229523867194075137376785278320312500000000000000000000","0.555235621645095767107136452978011220693588256835937500000000000000000","","0","",NA,NA,NA
"GF1B","123","123.00000000000000","1","0.0000245653831213830879773470095006615565580432303249835968017578125000000","0.000149988640033810633226882269575241934944642707705497741699218750000","16.853417323754317891371","ChEA_2022(rank=123, adjP=0.00015)","GF1B 26923725 Chip-Seq HPCs Mouse","276","16.853417323754317891371","enrichr","276","16.853417323754317891371","0.0000245653831213830879773470095006615565580432303249835968017578125000000","0.000149988640033810633226882269575241934944642707705497741699218750000","","0","",NA,NA,NA
"TOP2B","124","124.00000000000000","1","0.0000257412857733057859766639952070477193046826869249343872070312500000000","0.000155900851739940589065283593761535030353115871548652648925781250000","16.162696841359274202432","ChEA_2022(rank=124, adjP=0.000156)","TOP2B 26459242 ChIP-Seq MCF-7 Human","277","16.162696841359274202432","enrichr","277","16.162696841359274202432","0.0000257412857733057859766639952070477193046826869249343872070312500000000","0.000155900851739940589065283593761535030353115871548652648925781250000","","0","",NA,NA,NA
"APC","124","124.00000000000000","1","0.1383128189208150671252184338300139643251895904541015625000000000000000000","0.422967169423437761022199765648110769689083099365234375000000000000000","6.813287489586405065722","TRRUST_Transcription_Factors_2019(rank=124, adjP=0.423)","APC human","278","6.813287489586405065722","enrichr","278","6.813287489586405065722","0.1383128189208150671252184338300139643251895904541015625000000000000000000","0.422967169423437761022199765648110769689083099365234375000000000000000","","0","",NA,NA,NA
