"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","DoRothEA","VIPER","CollecTRI"
"1","E2F4","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","13.33333333333333","1","6","ENCODE--ChIP-seq(rank=43); ReMap--ChIP-seq(rank=103); Literature--ChIP-seq(rank=132); ARCHS4--Coexpression(rank=1197); Enrichr--Queries(rank=1221); GTEx--Coexpression(rank=1496)","967","rank=32; score=2.5741; p=0.0026665","rank=7; score=5.0252; direction=Repressed","rank=1; score=5.6558; p=1.5516e-08; direction=Repressed"
"2","SREBF2","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","19.00000000000000","8","6","ENCODE--ChIP-seq(rank=58); Literature--ChIP-seq(rank=71); ReMap--ChIP-seq(rank=116); GTEx--Coexpression(rank=139); Enrichr--Queries(rank=533); ARCHS4--Coexpression(rank=1145)","330","rank=38; score=2.4059; p=0.0039275","rank=8; score=4.9112; direction=Repressed","rank=11; score=3.1408; p=0.001685; direction=Repressed"
"3","TEAD1","DoRothEA;VIPER;CollecTRI","5","DoRothEA;ChEA3;VIPER;TRRUST;CollecTRI","24.66666666666667","2","4","ReMap--ChIP-seq(rank=20); ARCHS4--Coexpression(rank=119); Enrichr--Queries(rank=144); GTEx--Coexpression(rank=540)","262","rank=2; score=5.5498; p=2.8196e-06","rank=18; score=3.7964; direction=Activated","rank=54; score=2.0012; p=0.045371; direction=Activated"
"4","REST","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","26.00000000000000","2","6","ENCODE--ChIP-seq(rank=17); ReMap--ChIP-seq(rank=37); Literature--ChIP-seq(rank=40); GTEx--Coexpression(rank=214); ARCHS4--Coexpression(rank=320); Enrichr--Queries(rank=1158)","443","rank=48; score=2.1126; p=0.0077161","rank=28; score=3.3031; direction=Repressed","rank=2; score=4.5297; p=5.9065e-06; direction=Activated"
"5","ZNF143","DoRothEA;VIPER;CollecTRI","5","DoRothEA;ChEA3;VIPER;ENRICHR;CollecTRI","38.00000000000000","9","5","ReMap--ChIP-seq(rank=49); ENCODE--ChIP-seq(rank=67); ARCHS4--Coexpression(rank=880); Enrichr--Queries(rank=1096); GTEx--Coexpression(rank=1600)","562","rank=51; score=2.0613; p=0.0086837","rank=54; score=2.4985; direction=Activated","rank=9; score=3.2933; p=0.00099032; direction=Repressed"
"6","E2F1","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","42.33333333333334","19","6","ENCODE--ChIP-seq(rank=64); Literature--ChIP-seq(rank=108); ReMap--ChIP-seq(rank=143); GTEx--Coexpression(rank=211); Enrichr--Queries(rank=920); ARCHS4--Coexpression(rank=1212)","469","rank=81; score=1.4685; p=0.034005","rank=19; score=3.6185; direction=Repressed","rank=27; score=2.4778; p=0.013221; direction=Repressed"
"7","MYC","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","47.00000000000000","3","6","Literature--ChIP-seq(rank=68); ENCODE--ChIP-seq(rank=69); ReMap--ChIP-seq(rank=114); Enrichr--Queries(rank=194); GTEx--Coexpression(rank=547); ARCHS4--Coexpression(rank=1428)","490","rank=123; score=0.83682; p=0.14561","rank=15; score=4.0787; direction=Repressed","rank=3; score=4.1422; p=3.4401e-05; direction=Repressed"
"8","MAFK","DoRothEA;VIPER;CollecTRI","5","DoRothEA;ChEA3;VIPER;ENRICHR;CollecTRI","50.66666666666666","10","5","ENCODE--ChIP-seq(rank=20); GTEx--Coexpression(rank=136); ReMap--ChIP-seq(rank=224); Enrichr--Queries(rank=285); ARCHS4--Coexpression(rank=828)","324","rank=10; score=3.8463; p=0.00014246","rank=62; score=2.2488; direction=Activated","rank=80; score=1.8422; p=0.065449; direction=Repressed"
"9","NFE2L2","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","55.33333333333334","39","5","GTEx--Coexpression(rank=16); Literature--ChIP-seq(rank=36); ReMap--ChIP-seq(rank=144); ARCHS4--Coexpression(rank=185); Enrichr--Queries(rank=380)","45","rank=83; score=1.4238; p=0.037685","rank=39; score=2.9419; direction=Repressed","rank=44; score=2.1649; p=0.030396; direction=Repressed"
"10","TFDP1","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","56.00000000000000","7","4","ReMap--ChIP-seq(rank=157); GTEx--Coexpression(rank=286); ARCHS4--Coexpression(rank=787); Enrichr--Queries(rank=800)","597","rank=145; score=0.68665; p=0.20575","rank=16; score=4.0269; direction=Repressed","rank=7; score=3.7466; p=0.00017923; direction=Repressed"
