"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","DoRothEA","ChEA3","VIPER","ENRICHR","TRRUST","CollecTRI"
"1","GATA3","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","65.50000000000000","4","6","Literature--ChIP-seq(rank=5); ENCODE--ChIP-seq(rank=9); ReMap--ChIP-seq(rank=18); Enrichr--Queries(rank=302); GTEx--Coexpression(rank=483); ARCHS4--Coexpression(rank=488)","131","rank=14; score=1.6823; p=0.020781","rank=131; score=0.03049","rank=40; score=2.7434; direction=Activated","rank=22; score=22.948; p=0.00053101; adjP=0.016958","rank=4; score=1.4312; p=0.03705","rank=182; score=1.4053; p=0.15994; direction=Activated"
"2","RARA","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","79.50000000000000","1","5","Literature--ChIP-seq(rank=3); ReMap--ChIP-seq(rank=173); GTEx--Coexpression(rank=771); ARCHS4--Coexpression(rank=806); Enrichr--Queries(rank=1100)","81","rank=1; score=2.4619; p=0.003452","rank=81; score=0.01829","rank=224; score=0.34193; direction=Repressed","rank=45; score=24.119; p=7.3563e-05; adjP=0.0038563","rank=34; score=0.72451; p=0.18858","rank=92; score=1.8047; p=0.071116; direction=Activated"
"3","WT1","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","82.33333333333334","15","4","Literature--ChIP-seq(rank=2); ARCHS4--Coexpression(rank=165); GTEx--Coexpression(rank=211); Enrichr--Queries(rank=645)","55","rank=17; score=1.595; p=0.02541","rank=55; score=0.0122","rank=217; score=0.41275; direction=Activated","rank=15; score=41.139; p=1.5241e-07; adjP=2.7435e-05","rank=51; score=0.43444; p=0.36776","rank=139; score=1.5633; p=0.11799; direction=Activated"
"4","REST","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","87.33333333333333","3","6","ENCODE--ChIP-seq(rank=6); Literature--ChIP-seq(rank=29); ReMap--ChIP-seq(rank=78); ARCHS4--Coexpression(rank=338); GTEx--Coexpression(rank=502); Enrichr--Queries(rank=642)","209","rank=3; score=2.3998; p=0.0039825","rank=209; score=0.05085","rank=260; score=0.051371; direction=Repressed","rank=19; score=30.202; p=0.026964; adjP=0.2265","rank=3; score=1.5692; p=0.026964","rank=30; score=2.3185; p=0.020424; direction=Activated"
"5","ESR1","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","97.66666666666666","2","6","Literature--ChIP-seq(rank=9); ENCODE--ChIP-seq(rank=13); ReMap--ChIP-seq(rank=22); Enrichr--Queries(rank=476); GTEx--Coexpression(rank=560); ARCHS4--Coexpression(rank=652)","228","rank=18; score=1.4342; p=0.036795","rank=228; score=0.05488","rank=92; score=1.8047; direction=Activated","rank=12; score=20.577; p=0.0012442; adjP=0.029861","rank=2; score=1.6366; p=0.023087","rank=234; score=1.1334; p=0.25706; direction=Activated"
"6","MEF2A","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","98.83333333333333","5","6","ENCODE--ChIP-seq(rank=47); Literature--ChIP-seq(rank=49); ARCHS4--Coexpression(rank=79); ReMap--ChIP-seq(rank=122); Enrichr--Queries(rank=519); GTEx--Coexpression(rank=1080)","197","rank=49; score=0.70659; p=0.19652","rank=197; score=0.04853","rank=5; score=4.6704; direction=Activated","rank=17; score=23.955; p=0.035281; adjP=0.32662","rank=192; score=0; p=1","rank=133; score=1.5853; p=0.1129; direction=Activated"
"7","MYC","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","103.66666666666666","1","6","Literature--ChIP-seq(rank=18); ENCODE--ChIP-seq(rank=57); ReMap--ChIP-seq(rank=227); GTEx--Coexpression(rank=739); Enrichr--Queries(rank=1263); ARCHS4--Coexpression(rank=1325)","420","rank=103; score=0.22222; p=0.59948","rank=420; score=0.1098","rank=13; score=4.1583; direction=Repressed","rank=50; score=15.126; p=0.0027718; adjP=0.041653","rank=35; score=0.71959; p=0.19073","rank=1; score=4.1226; p=3.7461e-05; direction=Repressed"
"8","CTCF","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","103.83333333333333","28","6","ENCODE--ChIP-seq(rank=4); Literature--ChIP-seq(rank=117); ReMap--ChIP-seq(rank=143); ARCHS4--Coexpression(rank=524); Enrichr--Queries(rank=895); GTEx--Coexpression(rank=1423)","145","rank=28; score=1.1698; p=0.067639","rank=145; score=0.0339","rank=118; score=1.4841; direction=Activated","rank=49; score=5.9115; p=0.02965; adjP=0.16192","rank=92; score=0; p=1","rank=191; score=1.3287; p=0.18393; direction=Activated"
"9","PPARG","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","108.00000000000000","27","5","GTEx--Coexpression(rank=10); ReMap--ChIP-seq(rank=47); Literature--ChIP-seq(rank=76); ARCHS4--Coexpression(rank=148); Enrichr--Queries(rank=353)","27","rank=222; score=0; p=1","rank=27; score=0.006223","rank=226; score=0.34032; direction=Activated","rank=61; score=20.317; p=0.00023114; adjP=0.0092454","rank=53; score=0.38513; p=0.41198","rank=59; score=1.9049; p=0.056795; direction=Activated"
"10","RUNX2","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","113.83333333333334","24","5","GTEx--Coexpression(rank=9); Literature--ChIP-seq(rank=12); ReMap--ChIP-seq(rank=24); Enrichr--Queries(rank=315); ARCHS4--Coexpression(rank=561)","24","rank=90; score=0.39017; p=0.40722","rank=24; score=0.0056","rank=35; score=2.9449; direction=Activated","rank=91; score=13.883; p=0.00072918; adjP=0.019445","rank=272; score=0; p=1","rank=171; score=1.4664; p=0.14253; direction=Activated"
