"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","VIPER","CollecTRI"
"1","E2F4","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6.0","2","6","ENCODE--ChIP-seq(rank=32); Literature--ChIP-seq(rank=143); ReMap--ChIP-seq(rank=217); Enrichr--Queries(rank=1145); ARCHS4--Coexpression(rank=1344); GTEx--Coexpression(rank=1566)","870","rank=10; score=4.4476; direction=Repressed","rank=2; score=4.1164; p=3.8478e-05; direction=Repressed"
"2","MYC","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","7.0","1","6","Literature--ChIP-seq(rank=18); ENCODE--ChIP-seq(rank=57); ReMap--ChIP-seq(rank=227); GTEx--Coexpression(rank=739); Enrichr--Queries(rank=1263); ARCHS4--Coexpression(rank=1325)","420","rank=13; score=4.1583; direction=Repressed","rank=1; score=4.1226; p=3.7461e-05; direction=Repressed"
"3","ATF4","VIPER;CollecTRI","5","DoRothEA;ChEA3;VIPER;TRRUST;CollecTRI","14.0","3","4","ReMap--ChIP-seq(rank=16); GTEx--Coexpression(rank=366); Enrichr--Queries(rank=875); ARCHS4--Coexpression(rank=1360)","223","rank=25; score=3.3093; direction=Repressed","rank=3; score=3.964; p=7.3707e-05; direction=Repressed"
"4","IRF2","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","16.0","13","4","ReMap--ChIP-seq(rank=257); ARCHS4--Coexpression(rank=320); Enrichr--Queries(rank=538); GTEx--Coexpression(rank=1289)","686","rank=19; score=3.5167; direction=Activated","rank=13; score=2.6322; p=0.0084843; direction=Activated"
"5","STAT1","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","24.0","20","6","ENCODE--ChIP-seq(rank=20); ReMap--ChIP-seq(rank=80); Literature--ChIP-seq(rank=116); Enrichr--Queries(rank=305); ARCHS4--Coexpression(rank=544); GTEx--Coexpression(rank=778)","604","rank=28; score=3.2303; direction=Activated","rank=20; score=2.4918; p=0.012708; direction=Activated"
"6","IRF1","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","30.0","28","6","ENCODE--ChIP-seq(rank=88); Literature--ChIP-seq(rank=103); ReMap--ChIP-seq(rank=130); ARCHS4--Coexpression(rank=293); Enrichr--Queries(rank=408); GTEx--Coexpression(rank=1215)","637","rank=32; score=3.047; direction=Activated","rank=28; score=2.3283; p=0.019895; direction=Activated"
"7","FOXO3","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","33.5","5","4","Literature--ChIP-seq(rank=65); GTEx--Coexpression(rank=805); Enrichr--Queries(rank=903); ARCHS4--Coexpression(rank=1248)","1136","rank=62; score=2.3513; direction=Activated","rank=5; score=3.3606; p=0.00077766; direction=Activated"
"8","IRF3","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","50.5","50","5","ENCODE--ChIP-seq(rank=109); ReMap--ChIP-seq(rank=271); ARCHS4--Coexpression(rank=1130); Enrichr--Queries(rank=1307); GTEx--Coexpression(rank=1585)","1538","rank=50; score=2.5712; direction=Activated","rank=51; score=1.9452; p=0.051748; direction=Activated"
"9","NR2C2","VIPER;CollecTRI","5","DoRothEA;ChEA3;VIPER;ENRICHR;CollecTRI","53.5","8","5","ENCODE--ChIP-seq(rank=111); ReMap--ChIP-seq(rank=255); Enrichr--Queries(rank=930); GTEx--Coexpression(rank=1367); ARCHS4--Coexpression(rank=1385)","1503","rank=8; score=4.4536; direction=Repressed","rank=99; score=1.7687; p=0.076949; direction=Activated"
"10","MYOD1","VIPER;CollecTRI","5","DoRothEA;ChEA3;VIPER;ENRICHR;CollecTRI","55.5","15","5","ENCODE--ChIP-seq(rank=18); ReMap--ChIP-seq(rank=29); ARCHS4--Coexpression(rank=64); Enrichr--Queries(rank=422); GTEx--Coexpression(rank=1039)","164","rank=15; score=3.6466; direction=Activated","rank=96; score=1.7847; p=0.074315; direction=Activated"
