"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","DoRothEA","ChEA3","VIPER","ENRICHR","TRRUST","CollecTRI"
"1","ATF4","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","3.833333333333333","1","4","ReMap--ChIP-seq(rank=1); GTEx--Coexpression(rank=166); Enrichr--Queries(rank=447); ARCHS4--Coexpression(rank=898)","13","rank=1; score=6.5407; p=2.8795e-07","rank=13; score=0.003367","rank=2; score=5.298; direction=Repressed","rank=1; score=96.682; p=4.4787e-06; adjP=0.001693","rank=1; score=5.3488; p=4.4791e-06","rank=5; score=3.7524; p=0.00017518; direction=Repressed"
"2","E2F1","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","14.666666666666666","3","6","Enrichr--Queries(rank=3); GTEx--Coexpression(rank=5); ARCHS4--Coexpression(rank=45); ENCODE--ChIP-seq(rank=57); Literature--ChIP-seq(rank=83); ReMap--ChIP-seq(rank=267)","8","rank=9; score=3.1996; p=0.00063161","rank=8; score=0.002137","rank=4; score=5.1746; direction=Activated","rank=53; score=14.987; p=0.0023407; adjP=0.057386","rank=11; score=2.6306; p=0.0023408","rank=3; score=5.1811; p=2.2062e-07; direction=Activated"
"3","FOXM1","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","45.833333333333329","9","6","GTEx--Coexpression(rank=4); Enrichr--Queries(rank=15); ENCODE--ChIP-seq(rank=39); Literature--ChIP-seq(rank=54); ARCHS4--Coexpression(rank=99); ReMap--ChIP-seq(rank=191)","10","rank=112; score=0.63726; p=0.23054","rank=10; score=0.002489","rank=25; score=2.6239; direction=Activated","rank=46; score=55.867; p=6.3885e-05; adjP=0.00071418","rank=9; score=2.9804; p=0.0010461","rank=73; score=1.7458; p=0.080847; direction=Activated"
"4","MYCN","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","72.833333333333343","3","5","GTEx--Coexpression(rank=63); Literature--ChIP-seq(rank=119); Enrichr--Queries(rank=124); ReMap--ChIP-seq(rank=222); ARCHS4--Coexpression(rank=689)","160","rank=6; score=3.5913; p=0.00025626","rank=160; score=0.0392","rank=5; score=4.5799; direction=Activated","rank=18; score=40.104; p=0.00027817; adjP=0.026287","rank=3; score=3.5557; p=0.00027818","rank=245; score=1.0887; p=0.27629; direction=Activated"
"5","ESR1","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","78.000000000000000","5","6","ReMap--ChIP-seq(rank=3); ENCODE--ChIP-seq(rank=14); ARCHS4--Coexpression(rank=29); Literature--ChIP-seq(rank=35); GTEx--Coexpression(rank=458); Enrichr--Queries(rank=589)","44","rank=5; score=3.6448; p=0.00022658","rank=44; score=0.0101","rank=37; score=2.1367; direction=Repressed","rank=41; score=31.632; p=2.2881e-09; adjP=1.7138e-07","rank=43; score=1.4961; p=0.031905","rank=298; score=0.92761; p=0.35361; direction=Activated"
"6","E2F4","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","83.500000000000000","1","6","ENCODE--ChIP-seq(rank=13); Literature--ChIP-seq(rank=55); ReMap--ChIP-seq(rank=181); Enrichr--Queries(rank=465); GTEx--Coexpression(rank=473); ARCHS4--Coexpression(rank=1018)","441","rank=7; score=3.5888; p=0.00025776","rank=441; score=0.1102","rank=1; score=7.0146; direction=Activated","rank=16; score=15.33; p=0.00029739; adjP=0.0070435","rank=35; score=1.6209; p=0.02394","rank=1; score=8.6938; p=3.5051e-18; direction=Activated"
"7","EGR1","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","84.000000000000000","2","6","Literature--ChIP-seq(rank=3); ENCODE--ChIP-seq(rank=18); ReMap--ChIP-seq(rank=254); GTEx--Coexpression(rank=380); Enrichr--Queries(rank=595); ARCHS4--Coexpression(rank=611)","75","rank=22; score=2.1142; p=0.0076869","rank=75; score=0.01829","rank=130; score=1.0063; direction=Repressed","rank=2; score=41.213; p=8.8835e-12; adjP=1.3308e-09","rank=36; score=1.5537; p=0.027943","rank=239; score=1.1004; p=0.27118; direction=Activated"
"8","MYBL2","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","89.833333333333329","5","6","GTEx--Coexpression(rank=2); Enrichr--Queries(rank=10); ReMap--ChIP-seq(rank=95); ARCHS4--Coexpression(rank=108); ENCODE--ChIP-seq(rank=118); Literature--ChIP-seq(rank=139)","5","rank=88; score=0.84348; p=0.14339","rank=5; score=0.001245","rank=143; score=0.92826; direction=Activated","rank=109; score=5.6162; p=0.084065; adjP=0.46202","rank=154; score=0.48088; p=0.33046","rank=40; score=1.9378; p=0.052648; direction=Activated"
"9","SOX2","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","90.666666666666657","3","5","Literature--ChIP-seq(rank=1); Enrichr--Queries(rank=190); ReMap--ChIP-seq(rank=284); GTEx--Coexpression(rank=453); ARCHS4--Coexpression(rank=678)","24","rank=66; score=1.0818; p=0.082834","rank=24; score=0.006098","rank=118; score=1.1438; direction=Repressed","rank=3; score=169.24; p=3.3878e-28; adjP=2.5375e-25","rank=75; score=1.0459; p=0.089978","rank=258; score=1.07; p=0.28462; direction=Activated"
"10","MYB","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","92.833333333333329","10","6","Enrichr--Queries(rank=17); Literature--ChIP-seq(rank=19); ENCODE--ChIP-seq(rank=97); GTEx--Coexpression(rank=139); ARCHS4--Coexpression(rank=140); ReMap--ChIP-seq(rank=240)","51","rank=81; score=0.91753; p=0.12091","rank=51; score=0.01211","rank=213; score=0.45065; direction=Repressed","rank=50; score=28.698; p=3.9483e-05; adjP=0.00046207","rank=10; score=2.7309; p=0.0018583","rank=152; score=1.3493; p=0.17723; direction=Activated"
