"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","ChEA3","ENRICHR","TRRUST"
"1","E2F1","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","7.00000000000000","1","6","ARCHS4--Coexpression(rank=9); ENCODE--ChIP-seq(rank=14); GTEx--Coexpression(rank=30); Literature--ChIP-seq(rank=82); ReMap--ChIP-seq(rank=95); Enrichr--Queries(rank=122)","18","rank=18; score=0.005528","rank=2; score=36.028; p=1.0814e-07; adjP=4.6249e-07","rank=1; score=6.2243; p=5.9663e-07"
"2","SOX2","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","22.33333333333333","3","5","Literature--ChIP-seq(rank=1); ReMap--ChIP-seq(rank=255); Enrichr--Queries(rank=380); ARCHS4--Coexpression(rank=447); GTEx--Coexpression(rank=613)","20","rank=20; score=0.006098","rank=3; score=337.4; p=1.7124e-61; adjP=1.2963e-58","rank=44; score=2.1706; p=0.006751"
"3","EGR1","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","31.33333333333334","10","6","Literature--ChIP-seq(rank=3); ENCODE--ChIP-seq(rank=8); ReMap--ChIP-seq(rank=28); GTEx--Coexpression(rank=140); Enrichr--Queries(rank=294); ARCHS4--Coexpression(rank=378)","74","rank=74; score=0.01829","rank=10; score=114.9; p=3.5707e-32; adjP=9.01e-30","rank=10; score=3.4719; p=0.0003374"
"4","E2F4","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","37.00000000000000","12","6","ENCODE--ChIP-seq(rank=2); ReMap--ChIP-seq(rank=32); Literature--ChIP-seq(rank=90); ARCHS4--Coexpression(rank=250); GTEx--Coexpression(rank=573); Enrichr--Queries(rank=779)","69","rank=69; score=0.01695","rank=12; score=28.173; p=2.7069e-08; adjP=5.6304e-07","rank=30; score=2.5559; p=0.0027806"
"5","DNMT1","ChEA3;ENRICHR;TRRUST","4","ChEA3;ENRICHR;TRRUST;CollecTRI","41.33333333333334","14","2","GTEx--Coexpression(rank=16); ARCHS4--Coexpression(rank=531)","36","rank=36; score=0.009956","rank=74; score=28.743; p=0.00042072; adjP=0.0098074","rank=14; score=3.376; p=0.00042074"
"6","KLF5","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","46.66666666666667","4","5","ARCHS4--Coexpression(rank=2); GTEx--Coexpression(rank=4); Enrichr--Queries(rank=10); ReMap--ChIP-seq(rank=17); Literature--ChIP-seq(rank=80)","4","rank=4; score=0.001229","rank=112; score=41.601; p=9.4503e-07; adjP=3.4728e-06","rank=24; score=2.866; p=0.0013615"
"7","CTCF","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","48.66666666666666","18","6","ENCODE--ChIP-seq(rank=1); ReMap--ChIP-seq(rank=58); Literature--ChIP-seq(rank=83); ARCHS4--Coexpression(rank=534); GTEx--Coexpression(rank=1016); Enrichr--Queries(rank=1333)","29","rank=29; score=0.008475","rank=18; score=110.15; p=4.8757e-30; adjP=7.3818e-28","rank=99; score=1.1814; p=0.06586"
"8","MYCN","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","52.00000000000000","5","5","ReMap--ChIP-seq(rank=9); Literature--ChIP-seq(rank=108); Enrichr--Queries(rank=253); GTEx--Coexpression(rank=287); ARCHS4--Coexpression(rank=476)","123","rank=123; score=0.0303","rank=28; score=33.513; p=6.1199e-05; adjP=0.0035254","rank=5; score=4.2132; p=6.1202e-05"
"9","FOXM1","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","56.66666666666666","19","6","GTEx--Coexpression(rank=25); ARCHS4--Coexpression(rank=28); Literature--ChIP-seq(rank=47); ENCODE--ChIP-seq(rank=75); Enrichr--Queries(rank=230); ReMap--ChIP-seq(rank=251)","61","rank=61; score=0.01556","rank=90; score=42.269; p=1.9393e-10; adjP=1.4681e-09","rank=19; score=3.2603; p=0.00054916"
"10","MYBL2","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","58.00000000000000","24","6","ARCHS4--Coexpression(rank=25); GTEx--Coexpression(rank=44); ENCODE--ChIP-seq(rank=113); Literature--ChIP-seq(rank=134); Enrichr--Queries(rank=158); ReMap--ChIP-seq(rank=200)","60","rank=60; score=0.01536","rank=24; score=12.85; p=0.0043784; adjP=0.039792","rank=90; score=1.231; p=0.058755"
