"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","ENRICHR","TRRUST","CollecTRI"
"1","CEBPB","ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","26.33333333333334","1","6","ENCODE--ChIP-seq(rank=8); Literature--ChIP-seq(rank=69); ReMap--ChIP-seq(rank=150); ARCHS4--Coexpression(rank=401); GTEx--Coexpression(rank=493); Enrichr--Queries(rank=645)","296","rank=2; score=34.119; p=0.00032982; adjP=0.022025","rank=1; score=3.4817; p=0.00032984","rank=76; score=2.213; p=0.0269; direction=Activated"
"2","SP1","ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","31.66666666666666","5","5","ENCODE--ChIP-seq(rank=86); ReMap--ChIP-seq(rank=207); GTEx--Coexpression(rank=622); Enrichr--Queries(rank=1331); ARCHS4--Coexpression(rank=1582)","1048","rank=18; score=11.374; p=0.0016359; adjP=0.1049","rank=5; score=2.7862; p=0.0016359","rank=72; score=2.2405; p=0.025056; direction=Activated"
"3","AR","ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","34.33333333333334","11","5","Literature--ChIP-seq(rank=9); ReMap--ChIP-seq(rank=85); Enrichr--Queries(rank=108); GTEx--Coexpression(rank=510); ARCHS4--Coexpression(rank=529)","240","rank=11; score=18.012; p=5.66e-06; adjP=0.00010367","rank=51; score=0.89217; p=0.12818","rank=41; score=2.5539; p=0.010654; direction=Activated"
"4","SOX10","ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","35.00000000000000","2","4","ReMap--ChIP-seq(rank=49); ARCHS4--Coexpression(rank=143); GTEx--Coexpression(rank=192); Enrichr--Queries(rank=287)","371","rank=7; score=82.868; p=0.0010645; adjP=0.1049","rank=2; score=2.9728; p=0.0010645","rank=96; score=2.0042; p=0.045052; direction=Activated"
"5","STAT3","ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","35.33333333333334","16","6","Literature--ChIP-seq(rank=12); ENCODE--ChIP-seq(rank=44); ReMap--ChIP-seq(rank=89); GTEx--Coexpression(rank=421); Enrichr--Queries(rank=994); ARCHS4--Coexpression(rank=1128)","317","rank=62; score=15.644; p=2.2883e-05; adjP=0.00033697","rank=16; score=1.9079; p=0.012363","rank=28; score=2.8108; p=0.0049418; direction=Activated"
"6","SREBF1","ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","41.00000000000000","2","6","ENCODE--ChIP-seq(rank=62); Literature--ChIP-seq(rank=134); ReMap--ChIP-seq(rank=271); GTEx--Coexpression(rank=657); Enrichr--Queries(rank=901); ARCHS4--Coexpression(rank=1229)","1076","rank=95; score=12.682; p=0.031906; adjP=0.33865","rank=26; score=1.4961; p=0.031907","rank=2; score=3.9666; p=7.2906e-05; direction=Activated"
"7","HIF1A","ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","41.33333333333334","17","5","ReMap--ChIP-seq(rank=69); Literature--ChIP-seq(rank=76); GTEx--Coexpression(rank=110); ARCHS4--Coexpression(rank=319); Enrichr--Queries(rank=937)","300","rank=68; score=11.296; p=0.012588; adjP=0.20706","rank=17; score=1.9001; p=0.012588","rank=39; score=2.5757; p=0.010003; direction=Activated"
"8","JUN","ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","44.66666666666666","21","6","ENCODE--ChIP-seq(rank=13); Literature--ChIP-seq(rank=60); ReMap--ChIP-seq(rank=80); GTEx--Coexpression(rank=438); ARCHS4--Coexpression(rank=468); Enrichr--Queries(rank=654)","442","rank=80; score=8.1782; p=0.002933; adjP=0.016196","rank=21; score=1.7482; p=0.017858","rank=33; score=2.7392; p=0.0061597; direction=Activated"
"9","FOXD3","ENRICHR;TRRUST;CollecTRI","4","ChEA3;ENRICHR;TRRUST;CollecTRI","45.66666666666666","8","3","GTEx--Coexpression(rank=112); Enrichr--Queries(rank=433); ARCHS4--Coexpression(rank=1206)","304","rank=24; score=69.026; p=0.0043579; adjP=0.15931","rank=8; score=2.3607; p=0.004358","rank=105; score=1.9648; p=0.049442; direction=Activated"
"10","TP63","ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","46.33333333333334","15","5","Literature--ChIP-seq(rank=17); Enrichr--Queries(rank=21); GTEx--Coexpression(rank=55); ReMap--ChIP-seq(rank=70); ARCHS4--Coexpression(rank=307)","68","rank=15; score=21.905; p=6.4606e-07; adjP=1.7328e-05","rank=56; score=0.83647; p=0.14572","rank=68; score=2.2896; p=0.022042; direction=Activated"
