"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","ChEA3","ENRICHR","TRRUST"
"1","KLF5","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","18.33333333333333","7","5","GTEx--Coexpression(rank=7); ARCHS4--Coexpression(rank=9); ReMap--ChIP-seq(rank=18); Enrichr--Queries(rank=29); Literature--ChIP-seq(rank=56)","20","rank=20; score=0.004356","rank=28; score=100.94; p=0.00012732; adjP=0.00065391","rank=7; score=3.8669; p=0.00013587"
"2","SOX2","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","36.66666666666666","9","5","Literature--ChIP-seq(rank=2); ARCHS4--Coexpression(rank=126); ReMap--ChIP-seq(rank=161); GTEx--Coexpression(rank=289); Enrichr--Queries(rank=351)","54","rank=54; score=0.0122","rank=9; score=138.59; p=9.2005e-27; adjP=2.3155e-24","rank=47; score=1.7789; p=0.016639"
"3","JUND","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","37.66666666666666","12","6","ENCODE--ChIP-seq(rank=1); Literature--ChIP-seq(rank=97); ReMap--ChIP-seq(rank=124); ARCHS4--Coexpression(rank=387); Enrichr--Queries(rank=940); GTEx--Coexpression(rank=1248)","37","rank=37; score=0.008475","rank=12; score=17.456; p=0.00012141; adjP=0.033023","rank=64; score=1.5249; p=0.02986"
"4","NFE2L2","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","42.00000000000000","27","5","GTEx--Coexpression(rank=16); Literature--ChIP-seq(rank=36); ReMap--ChIP-seq(rank=144); ARCHS4--Coexpression(rank=185); Enrichr--Queries(rank=380)","45","rank=45; score=0.009956","rank=27; score=17.376; p=0.00015464; adjP=0.0007343","rank=54; score=1.6452; p=0.022634"
"5","ETV4","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","59.66666666666666","21","4","Enrichr--Queries(rank=40); ReMap--ChIP-seq(rank=82); ARCHS4--Coexpression(rank=565); GTEx--Coexpression(rank=879)","123","rank=123; score=0.02849","rank=35; score=70.144; p=0.00035042; adjP=0.014909","rank=21; score=2.4676; p=0.0034072"
"6","TP63","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","65.66666666666667","47","5","ReMap--ChIP-seq(rank=3); Literature--ChIP-seq(rank=16); ARCHS4--Coexpression(rank=98); GTEx--Coexpression(rank=143); Enrichr--Queries(rank=173)","47","rank=47; score=0.0101","rank=50; score=30.924; p=4.1715e-09; adjP=9.8422e-08","rank=100; score=1.074; p=0.084336"
"7","HIF1A","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","75.66666666666667","8","5","ReMap--ChIP-seq(rank=13); Literature--ChIP-seq(rank=69); ARCHS4--Coexpression(rank=99); Enrichr--Queries(rank=364); GTEx--Coexpression(rank=923)","186","rank=186; score=0.04377","rank=33; score=27.058; p=0.00019674; adjP=0.0094944","rank=8; score=3.7061; p=0.00019675"
"8","SOX10","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","77.00000000000000","29","4","ARCHS4--Coexpression(rank=24); GTEx--Coexpression(rank=99); ReMap--ChIP-seq(rank=212); Enrichr--Queries(rank=441)","64","rank=64; score=0.01474","rank=138; score=39.342; p=0.005445; adjP=0.056573","rank=29; score=2.264; p=0.0054451"
"9","EGR1","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","77.00000000000000","36","6","Literature--ChIP-seq(rank=7); Enrichr--Queries(rank=39); ReMap--ChIP-seq(rank=50); ENCODE--ChIP-seq(rank=70); GTEx--Coexpression(rank=517); ARCHS4--Coexpression(rank=775)","121","rank=121; score=0.02778","rank=74; score=37.423; p=1.4783e-11; adjP=5.0732e-10","rank=36; score=2.0667; p=0.008576"
"10","AR","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","84.66666666666667","11","5","Literature--ChIP-seq(rank=6); ReMap--ChIP-seq(rank=73); ARCHS4--Coexpression(rank=109); Enrichr--Queries(rank=287); GTEx--Coexpression(rank=1070)","154","rank=154; score=0.03659","rank=11; score=50.162; p=1.4016e-13; adjP=7.0545e-12","rank=89; score=1.203; p=0.062663"
