"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","ChEA3","ENRICHR","CollecTRI"
"1","ATF4","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6.333333333333333","1","4","ReMap--ChIP-seq(rank=1); GTEx--Coexpression(rank=166); Enrichr--Queries(rank=447); ARCHS4--Coexpression(rank=898)","13","rank=13; score=0.003367","rank=1; score=96.682; p=4.4787e-06; adjP=0.001693","rank=5; score=3.7524; p=0.00017518; direction=Repressed"
"2","E2F1","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","21.333333333333332","3","6","Enrichr--Queries(rank=3); GTEx--Coexpression(rank=5); ARCHS4--Coexpression(rank=45); ENCODE--ChIP-seq(rank=57); Literature--ChIP-seq(rank=83); ReMap--ChIP-seq(rank=267)","8","rank=8; score=0.002137","rank=53; score=14.987; p=0.0023407; adjP=0.057386","rank=3; score=5.1811; p=2.2062e-07; direction=Activated"
"3","FOXM1","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","43.000000000000000","10","6","GTEx--Coexpression(rank=4); Enrichr--Queries(rank=15); ENCODE--ChIP-seq(rank=39); Literature--ChIP-seq(rank=54); ARCHS4--Coexpression(rank=99); ReMap--ChIP-seq(rank=191)","10","rank=10; score=0.002489","rank=46; score=55.867; p=6.3885e-05; adjP=0.00071418","rank=73; score=1.7458; p=0.080847; direction=Activated"
"4","MYBL2","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","51.333333333333336","5","6","GTEx--Coexpression(rank=2); Enrichr--Queries(rank=10); ReMap--ChIP-seq(rank=95); ARCHS4--Coexpression(rank=108); ENCODE--ChIP-seq(rank=118); Literature--ChIP-seq(rank=139)","5","rank=5; score=0.001245","rank=109; score=5.6162; p=0.084065; adjP=0.46202","rank=40; score=1.9378; p=0.052648; direction=Activated"
"5","XBP1","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","62.666666666666664","25","4","ARCHS4--Coexpression(rank=10); ReMap--ChIP-seq(rank=65); GTEx--Coexpression(rank=353); Enrichr--Queries(rank=463)","25","rank=25; score=0.006143","rank=121; score=22.048; p=0.023074; adjP=0.21805","rank=42; score=1.9365; p=0.052811; direction=Repressed"
"6","AR","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","72.666666666666671","32","5","Literature--ChIP-seq(rank=5); ReMap--ChIP-seq(rank=61); ARCHS4--Coexpression(rank=162); Enrichr--Queries(rank=420); GTEx--Coexpression(rank=549)","126","rank=126; score=0.03049","rank=32; score=58.991; p=1.9447e-08; adjP=9.1037e-07","rank=60; score=1.8607; p=0.062785; direction=Activated"
"7","PPARD","ChEA3;ENRICHR;CollecTRI","4","ChEA3;ENRICHR;TRRUST;CollecTRI","73.000000000000000","46","4","GTEx--Coexpression(rank=31); Literature--ChIP-seq(rank=45); Enrichr--Queries(rank=522); ARCHS4--Coexpression(rank=875)","79","rank=79; score=0.01929","rank=94; score=31.053; p=0.0028377; adjP=0.01312","rank=46; score=1.9245; p=0.054296; direction=Repressed"
"8","MYB","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","84.333333333333329","50","6","Enrichr--Queries(rank=17); Literature--ChIP-seq(rank=19); ENCODE--ChIP-seq(rank=97); GTEx--Coexpression(rank=139); ARCHS4--Coexpression(rank=140); ReMap--ChIP-seq(rank=240)","51","rank=51; score=0.01211","rank=50; score=28.698; p=3.9483e-05; adjP=0.00046207","rank=152; score=1.3493; p=0.17723; direction=Activated"
"9","SOX2","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","95.000000000000000","3","5","Literature--ChIP-seq(rank=1); Enrichr--Queries(rank=190); ReMap--ChIP-seq(rank=284); GTEx--Coexpression(rank=453); ARCHS4--Coexpression(rank=678)","24","rank=24; score=0.006098","rank=3; score=169.24; p=3.3878e-28; adjP=2.5375e-25","rank=258; score=1.07; p=0.28462; direction=Activated"
"10","STAT3","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","95.000000000000000","48","6","Literature--ChIP-seq(rank=6); ENCODE--ChIP-seq(rank=31); ReMap--ChIP-seq(rank=193); GTEx--Coexpression(rank=307); Enrichr--Queries(rank=796); ARCHS4--Coexpression(rank=797)","148","rank=148; score=0.03659","rank=48; score=34.154; p=1.0827e-08; adjP=6.2382e-07","rank=89; score=1.6538; p=0.098163; direction=Activated"
