"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","DoRothEA","ChEA3","VIPER","ENRICHR","TRRUST","CollecTRI"
"1","E2F4","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","4.333333333333334","1","6","ENCODE--ChIP-seq(rank=1); Literature--ChIP-seq(rank=1); ReMap--ChIP-seq(rank=28); Enrichr--Queries(rank=432); ARCHS4--Coexpression(rank=896); GTEx--Coexpression(rank=1406)","20","rank=1; score=24.651; p=2.2327e-25","rank=20; score=0.006098","rank=2; score=8.6716; direction=Repressed","rank=1; score=470.57; p=1.7344e-37; adjP=1.8038e-35","rank=1; score=9.7365; p=1.8343e-10","rank=1; score=9.5484; p=1.3172e-21; direction=Repressed"
"2","TFDP1","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","5.666666666666667","2","4","GTEx--Coexpression(rank=3); Enrichr--Queries(rank=15); ARCHS4--Coexpression(rank=21); ReMap--ChIP-seq(rank=73)","5","rank=3; score=6.3165; p=4.8254e-07","rank=5; score=0.001867","rank=11; score=5.4059; direction=Repressed","rank=4; score=730.3; p=7.9871e-08; adjP=1.4976e-05","rank=2; score=7.0976; p=7.9882e-08","rank=9; score=3.5113; p=0.000446; direction=Repressed"
"3","E2F1","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6.833333333333333","2","6","ENCODE--ChIP-seq(rank=3); GTEx--Coexpression(rank=6); Enrichr--Queries(rank=7); Literature--ChIP-seq(rank=7); ReMap--ChIP-seq(rank=59); ARCHS4--Coexpression(rank=65)","14","rank=2; score=11.422; p=3.7811e-12","rank=14; score=0.003734","rank=12; score=5.1823; direction=Repressed","rank=8; score=61.899; p=3.4353e-08; adjP=1.7154e-06","rank=3; score=6.7032; p=1.9807e-07","rank=2; score=4.2288; p=2.3495e-05; direction=Repressed"
"4","MYC","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","55.333333333333329","2","6","Literature--ChIP-seq(rank=35); ENCODE--ChIP-seq(rank=43); ReMap--ChIP-seq(rank=50); Enrichr--Queries(rank=98); ARCHS4--Coexpression(rank=977); GTEx--Coexpression(rank=1364)","279","rank=7; score=4.9671; p=1.0786e-05","rank=279; score=0.0698","rank=16; score=4.6627; direction=Repressed","rank=2; score=22.021; p=1.3461e-05; adjP=0.0030287","rank=14; score=2.383; p=0.0041397","rank=14; score=3.4123; p=0.00064415; direction=Repressed"
"5","STAT1","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","57.500000000000000","40","6","ENCODE--ChIP-seq(rank=14); GTEx--Coexpression(rank=17); Literature--ChIP-seq(rank=129); ReMap--ChIP-seq(rank=160); Enrichr--Queries(rank=614); ARCHS4--Coexpression(rank=656)","40","rank=106; score=0.54859; p=0.28276","rank=40; score=0.01058","rank=44; score=2.9074; direction=Activated","rank=54; score=24.614; p=9.2171e-08; adjP=3.8353e-06","rank=54; score=1.2338; p=0.058367","rank=47; score=2.4863; p=0.012907; direction=Activated"
"6","FOXM1","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","63.833333333333329","10","6","ENCODE--ChIP-seq(rank=2); Literature--ChIP-seq(rank=4); GTEx--Coexpression(rank=5); Enrichr--Queries(rank=6); ARCHS4--Coexpression(rank=30); ReMap--ChIP-seq(rank=46)","10","rank=162; score=0.29076; p=0.51196","rank=10; score=0.003111","rank=65; score=2.4757; direction=Repressed","rank=11; score=48.624; p=9.0052e-10; adjP=8.4311e-08","rank=47; score=1.3006; p=0.050054","rank=88; score=1.9411; p=0.052245; direction=Repressed"
"7","CTCF","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","76.500000000000000","13","6","ARCHS4--Coexpression(rank=6); ENCODE--ChIP-seq(rank=20); Literature--ChIP-seq(rank=59); ReMap--ChIP-seq(rank=66); Enrichr--Queries(rank=421); GTEx--Coexpression(rank=1321)","13","rank=64; score=0.88268; p=0.13101","rank=13; score=0.003686","rank=87; score=2.2069; direction=Activated","rank=38; score=25.067; p=1.5779e-07; adjP=5.9091e-06","rank=161; score=0.35061; p=0.44606","rank=96; score=1.8897; p=0.058799; direction=Activated"
"8","E2F6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","79.000000000000000","6","5","ENCODE--ChIP-seq(rank=11); ReMap--ChIP-seq(rank=13); Enrichr--Queries(rank=166); ARCHS4--Coexpression(rank=419); GTEx--Coexpression(rank=1168)","169","rank=25; score=1.6718; p=0.021289","rank=169; score=0.04377","rank=39; score=3.2012; direction=Repressed","rank=6; score=79.956; p=8.5662e-07; adjP=4.4544e-05","rank=12; score=2.4274; p=0.0037373","rank=223; score=1.3921; p=0.16388; direction=Repressed"
"9","JUN","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","81.000000000000000","21","6","ARCHS4--Coexpression(rank=19); ENCODE--ChIP-seq(rank=25); Literature--ChIP-seq(rank=96); ReMap--ChIP-seq(rank=102); Enrichr--Queries(rank=184); GTEx--Coexpression(rank=383)","44","rank=68; score=0.81992; p=0.15138","rank=44; score=0.01167","rank=130; score=1.4329; direction=Activated","rank=26; score=15.08; p=0.0015986; adjP=0.0089687","rank=21; score=1.764; p=0.017219","rank=197; score=1.5107; p=0.13086; direction=Activated"
"10","EGR1","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","81.500000000000000","18","6","Literature--ChIP-seq(rank=8); ENCODE--ChIP-seq(rank=27); ReMap--ChIP-seq(rank=31); Enrichr--Queries(rank=188); GTEx--Coexpression(rank=217); ARCHS4--Coexpression(rank=953)","187","rank=32; score=1.3362; p=0.046112","rank=187; score=0.04878","rank=66; score=2.4632; direction=Activated","rank=18; score=35.374; p=1.5536e-10; adjP=1.9394e-08","rank=83; score=0.8233; p=0.15021","rank=103; score=1.8537; p=0.063786; direction=Activated"
