"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","DoRothEA","VIPER","CollecTRI"
"1","SREBF1","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","39.66666666666666","2","6","ENCODE--ChIP-seq(rank=62); Literature--ChIP-seq(rank=134); ReMap--ChIP-seq(rank=271); GTEx--Coexpression(rank=657); Enrichr--Queries(rank=901); ARCHS4--Coexpression(rank=1229)","1076","rank=98; score=0.5536; p=0.27951","rank=19; score=4.0931; direction=Activated","rank=2; score=3.9666; p=7.2906e-05; direction=Activated"
"2","HOXB13","DoRothEA;VIPER;CollecTRI","5","DoRothEA;ChEA3;VIPER;ENRICHR;CollecTRI","47.66666666666666","15","4","Enrichr--Queries(rank=229); ReMap--ChIP-seq(rank=237); ARCHS4--Coexpression(rank=635); GTEx--Coexpression(rank=727)","591","rank=108; score=0.46111; p=0.34585","rank=20; score=3.884; direction=Activated","rank=15; score=3.0532; p=0.002264; direction=Activated"
"3","ATF4","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","51.66666666666666","13","4","ReMap--ChIP-seq(rank=65); GTEx--Coexpression(rank=1214); Enrichr--Queries(rank=1272); ARCHS4--Coexpression(rank=1460)","715","rank=77; score=0.79106; p=0.16179","rank=65; score=2.9611; direction=Repressed","rank=13; score=3.1141; p=0.0018448; direction=Repressed"
"4","TFAP2C","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","52.00000000000000","8","6","Literature--ChIP-seq(rank=44); GTEx--Coexpression(rank=71); ReMap--ChIP-seq(rank=71); ENCODE--ChIP-seq(rank=104); Enrichr--Queries(rank=250); ARCHS4--Coexpression(rank=428)","201","rank=74; score=0.83647; p=0.14572","rank=74; score=2.7653; direction=Activated","rank=8; score=3.3411; p=0.00083454; direction=Activated"
"5","HIF1A","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","53.00000000000000","2","5","ReMap--ChIP-seq(rank=69); Literature--ChIP-seq(rank=76); GTEx--Coexpression(rank=110); ARCHS4--Coexpression(rank=319); Enrichr--Queries(rank=937)","300","rank=2; score=3.8884; p=0.0001293","rank=118; score=1.8986; direction=Activated","rank=39; score=2.5757; p=0.010003; direction=Activated"
"6","FOXO3","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","54.66666666666666","9","4","Literature--ChIP-seq(rank=50); GTEx--Coexpression(rank=805); Enrichr--Queries(rank=1099); ARCHS4--Coexpression(rank=1314)","896","rank=91; score=0.60897; p=0.24605","rank=64; score=2.966; direction=Activated","rank=9; score=3.3395; p=0.00083937; direction=Activated"
"7","FOXA1","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","55.00000000000000","10","6","ENCODE--ChIP-seq(rank=22); Literature--ChIP-seq(rank=28); ReMap--ChIP-seq(rank=95); ARCHS4--Coexpression(rank=260); Enrichr--Queries(rank=505); GTEx--Coexpression(rank=605)","581","rank=10; score=2.6285; p=0.0023526","rank=38; score=3.5641; direction=Activated","rank=117; score=1.8818; p=0.059864; direction=Activated"
"8","SMAD1","DoRothEA;VIPER;CollecTRI","5","DoRothEA;ChEA3;VIPER;ENRICHR;CollecTRI","57.00000000000000","42","5","Literature--ChIP-seq(rank=104); ReMap--ChIP-seq(rank=226); ARCHS4--Coexpression(rank=471); Enrichr--Queries(rank=701); GTEx--Coexpression(rank=1567)","867","rank=80; score=0.74922; p=0.17815","rank=42; score=3.4014; direction=Activated","rank=49; score=2.4001; p=0.016391; direction=Activated"
"9","ELF3","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","57.33333333333334","6","4","ReMap--ChIP-seq(rank=13); Enrichr--Queries(rank=373); ARCHS4--Coexpression(rank=440); GTEx--Coexpression(rank=697)","199","rank=59; score=1.0424; p=0.090691","rank=6; score=5.4516; direction=Activated","rank=107; score=1.9533; p=0.050785; direction=Activated"
"10","RUNX2","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","57.66666666666667","16","5","ReMap--ChIP-seq(rank=6); GTEx--Coexpression(rank=24); Literature--ChIP-seq(rank=35); Enrichr--Queries(rank=253); ARCHS4--Coexpression(rank=460)","67","rank=32; score=1.5669; p=0.027106","rank=125; score=1.8374; direction=Activated","rank=16; score=3.0355; p=0.0024014; direction=Activated"
