"Analysis_Name","GeneSet_Name","Source","Ranked_Genes","GSEA_Terms","Positive_NES","Negative_NES","Single_Pathway_Plots","CSV_File","PDF_File","PNG_File"
"HD_ALL","hallmark","computed","13949","16","6","10","10","results/ngs/GSE299428/tables/HD_ALL/GSEA/hallmark/gsea_result.csv","results/ngs/GSE299428/plots/GSEA/HD_ALL/hallmark/pdf/dotplot.pdf","results/ngs/GSE299428/plots/GSEA/HD_ALL/hallmark/png/dotplot.png"
"HD_HCT116","hallmark","computed","13296","28","7","21","10","results/ngs/GSE299428/tables/HD_HCT116/GSEA/hallmark/gsea_result.csv","results/ngs/GSE299428/plots/GSEA/HD_HCT116/hallmark/pdf/dotplot.pdf","results/ngs/GSE299428/plots/GSEA/HD_HCT116/hallmark/png/dotplot.png"
"HD_SW480","hallmark","computed","13915","21","17","4","10","results/ngs/GSE299428/tables/HD_SW480/GSEA/hallmark/gsea_result.csv","results/ngs/GSE299428/plots/GSEA/HD_SW480/hallmark/pdf/dotplot.pdf","results/ngs/GSE299428/plots/GSEA/HD_SW480/hallmark/png/dotplot.png"
"LD_ALL","hallmark","computed","14177","26","16","10","10","results/ngs/GSE299428/tables/LD_ALL/GSEA/hallmark/gsea_result.csv","results/ngs/GSE299428/plots/GSEA/LD_ALL/hallmark/pdf/dotplot.pdf","results/ngs/GSE299428/plots/GSEA/LD_ALL/hallmark/png/dotplot.png"
"LD_HCT116","hallmark","computed","12790","28","13","15","10","results/ngs/GSE299428/tables/LD_HCT116/GSEA/hallmark/gsea_result.csv","results/ngs/GSE299428/plots/GSEA/LD_HCT116/hallmark/pdf/dotplot.pdf","results/ngs/GSE299428/plots/GSEA/LD_HCT116/hallmark/png/dotplot.png"
"LD_SW480","hallmark","computed","13851","23","19","4","10","results/ngs/GSE299428/tables/LD_SW480/GSEA/hallmark/gsea_result.csv","results/ngs/GSE299428/plots/GSEA/LD_SW480/hallmark/pdf/dotplot.pdf","results/ngs/GSE299428/plots/GSEA/LD_SW480/hallmark/png/dotplot.png"
"MD_ALL","hallmark","computed","14231","26","14","12","10","results/ngs/GSE299428/tables/MD_ALL/GSEA/hallmark/gsea_result.csv","results/ngs/GSE299428/plots/GSEA/MD_ALL/hallmark/pdf/dotplot.pdf","results/ngs/GSE299428/plots/GSEA/MD_ALL/hallmark/png/dotplot.png"
"MD_HCT116","hallmark","computed","13431","31","12","19","10","results/ngs/GSE299428/tables/MD_HCT116/GSEA/hallmark/gsea_result.csv","results/ngs/GSE299428/plots/GSEA/MD_HCT116/hallmark/pdf/dotplot.pdf","results/ngs/GSE299428/plots/GSEA/MD_HCT116/hallmark/png/dotplot.png"
"MD_SW480","hallmark","computed","13840","31","25","6","10","results/ngs/GSE299428/tables/MD_SW480/GSEA/hallmark/gsea_result.csv","results/ngs/GSE299428/plots/GSEA/MD_SW480/hallmark/pdf/dotplot.pdf","results/ngs/GSE299428/plots/GSEA/MD_SW480/hallmark/png/dotplot.png"
"HD_ALL","CP_BIOCARTA","computed","13949","40","37","2","10","results/ngs/GSE299428/tables/HD_ALL/GSEA/CP_BIOCARTA/gsea_result.csv","results/ngs/GSE299428/plots/GSEA/HD_ALL/CP_BIOCARTA/pdf/dotplot.pdf","results/ngs/GSE299428/plots/GSEA/HD_ALL/CP_BIOCARTA/png/dotplot.png"
"HD_HCT116","CP_BIOCARTA","computed","13296","44","28","15","10","results/ngs/GSE299428/tables/HD_HCT116/GSEA/CP_BIOCARTA/gsea_result.csv","results/ngs/GSE299428/plots/GSEA/HD_HCT116/CP_BIOCARTA/pdf/dotplot.pdf","results/ngs/GSE299428/plots/GSEA/HD_HCT116/CP_BIOCARTA/png/dotplot.png"
"HD_SW480","CP_BIOCARTA","computed","13915","26","21","4","10","results/ngs/GSE299428/tables/HD_SW480/GSEA/CP_BIOCARTA/gsea_result.csv","results/ngs/GSE299428/plots/GSEA/HD_SW480/CP_BIOCARTA/pdf/dotplot.pdf","results/ngs/GSE299428/plots/GSEA/HD_SW480/CP_BIOCARTA/png/dotplot.png"
"LD_ALL","CP_BIOCARTA","computed","14177","37","21","15","10","results/ngs/GSE299428/tables/LD_ALL/GSEA/CP_BIOCARTA/gsea_result.csv","results/ngs/GSE299428/plots/GSEA/LD_ALL/CP_BIOCARTA/pdf/dotplot.pdf","results/ngs/GSE299428/plots/GSEA/LD_ALL/CP_BIOCARTA/png/dotplot.png"
"LD_HCT116","CP_BIOCARTA","computed","12790","47","29","17","10","results/ngs/GSE299428/tables/LD_HCT116/GSEA/CP_BIOCARTA/gsea_result.csv","results/ngs/GSE299428/plots/GSEA/LD_HCT116/CP_BIOCARTA/pdf/dotplot.pdf","results/ngs/GSE299428/plots/GSEA/LD_HCT116/CP_BIOCARTA/png/dotplot.png"
"LD_SW480","CP_BIOCARTA","computed","13851","15","6","8","10","results/ngs/GSE299428/tables/LD_SW480/GSEA/CP_BIOCARTA/gsea_result.csv","results/ngs/GSE299428/plots/GSEA/LD_SW480/CP_BIOCARTA/pdf/dotplot.pdf","results/ngs/GSE299428/plots/GSEA/LD_SW480/CP_BIOCARTA/png/dotplot.png"
"MD_ALL","CP_BIOCARTA","computed","14231","32","17","14","10","results/ngs/GSE299428/tables/MD_ALL/GSEA/CP_BIOCARTA/gsea_result.csv","results/ngs/GSE299428/plots/GSEA/MD_ALL/CP_BIOCARTA/pdf/dotplot.pdf","results/ngs/GSE299428/plots/GSEA/MD_ALL/CP_BIOCARTA/png/dotplot.png"
"MD_HCT116","CP_BIOCARTA","computed","13431","32","21","10","10","results/ngs/GSE299428/tables/MD_HCT116/GSEA/CP_BIOCARTA/gsea_result.csv","results/ngs/GSE299428/plots/GSEA/MD_HCT116/CP_BIOCARTA/pdf/dotplot.pdf","results/ngs/GSE299428/plots/GSEA/MD_HCT116/CP_BIOCARTA/png/dotplot.png"
