"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","VIPER","CollecTRI"
"1","SREBF1","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","10.5","10","6","ENCODE--ChIP-seq(rank=73); Literature--ChIP-seq(rank=142); ReMap--ChIP-seq(rank=254); GTEx--Coexpression(rank=594); Enrichr--Queries(rank=809); ARCHS4--Coexpression(rank=1424)","976","rank=11; score=4.3722; direction=Activated","rank=10; score=4.2967; p=1.7335e-05; direction=Activated"
"2","CEBPA","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","14.0","8","5","Literature--ChIP-seq(rank=94); ReMap--ChIP-seq(rank=120); ARCHS4--Coexpression(rank=382); Enrichr--Queries(rank=637); GTEx--Coexpression(rank=858)","711","rank=20; score=3.9273; direction=Activated","rank=8; score=4.4042; p=1.0618e-05; direction=Activated"
"3","IRF2","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","15.5","12","4","ARCHS4--Coexpression(rank=73); ReMap--ChIP-seq(rank=225); GTEx--Coexpression(rank=417); Enrichr--Queries(rank=564)","194","rank=12; score=4.3246; direction=Activated","rank=19; score=3.6774; p=0.00023562; direction=Activated"
"4","ELF3","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","16.0","15","4","ReMap--ChIP-seq(rank=40); ARCHS4--Coexpression(rank=200); GTEx--Coexpression(rank=344); Enrichr--Queries(rank=411)","445","rank=17; score=4.1693; direction=Activated","rank=15; score=3.9477; p=7.8914e-05; direction=Activated"
"5","SP3","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","25.0","3","3","GTEx--Coexpression(rank=1013); Enrichr--Queries(rank=1266); ARCHS4--Coexpression(rank=1537)","1392","rank=47; score=2.9532; direction=Activated","rank=3; score=4.7532; p=2.0021e-06; direction=Activated"
"6","STAT1","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","25.5","11","6","ENCODE--ChIP-seq(rank=7); ReMap--ChIP-seq(rank=16); ARCHS4--Coexpression(rank=95); Literature--ChIP-seq(rank=136); Enrichr--Queries(rank=270); GTEx--Coexpression(rank=1038)","224","rank=40; score=3.1473; direction=Activated","rank=11; score=4.2557; p=2.0838e-05; direction=Activated"
"7","FOXO3","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","34.0","4","4","Literature--ChIP-seq(rank=42); GTEx--Coexpression(rank=922); Enrichr--Queries(rank=928); ARCHS4--Coexpression(rank=951)","757","rank=64; score=2.5753; direction=Activated","rank=4; score=4.6809; p=2.8559e-06; direction=Activated"
"8","LEF1","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","41.0","21","4","ReMap--ChIP-seq(rank=71); Enrichr--Queries(rank=206); ARCHS4--Coexpression(rank=237); GTEx--Coexpression(rank=322)","509","rank=61; score=2.6798; direction=Activated","rank=21; score=3.6557; p=0.00025652; direction=Activated"
"9","MAFG","VIPER;CollecTRI","4","DoRothEA;ChEA3;VIPER;CollecTRI","41.5","5","4","ReMap--ChIP-seq(rank=148); Enrichr--Queries(rank=857); GTEx--Coexpression(rank=898); ARCHS4--Coexpression(rank=1373)","1194","rank=5; score=5.1474; direction=Activated","rank=78; score=2.781; p=0.005419; direction=Activated"
"10","TCF4","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","47.0","6","5","ReMap--ChIP-seq(rank=20); Literature--ChIP-seq(rank=29); Enrichr--Queries(rank=99); ARCHS4--Coexpression(rank=171); GTEx--Coexpression(rank=792)","275","rank=6; score=4.8711; direction=Activated","rank=88; score=2.6569; p=0.0078859; direction=Activated"
