"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","DoRothEA","ChEA3","VIPER"
"1","TFDP1","DoRothEA;ChEA3;VIPER","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6.333333333333333","3","4","GTEx--Coexpression(rank=3); Enrichr--Queries(rank=15); ARCHS4--Coexpression(rank=21); ReMap--ChIP-seq(rank=73)","5","rank=3; score=6.3165; p=4.8254e-07","rank=5; score=0.001867","rank=11; score=5.4059; direction=Repressed"
"2","E2F4","DoRothEA;ChEA3;VIPER","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","7.666666666666666","1","6","ENCODE--ChIP-seq(rank=1); Literature--ChIP-seq(rank=1); ReMap--ChIP-seq(rank=28); Enrichr--Queries(rank=432); ARCHS4--Coexpression(rank=896); GTEx--Coexpression(rank=1406)","20","rank=1; score=24.651; p=2.2327e-25","rank=20; score=0.006098","rank=2; score=8.6716; direction=Repressed"
"3","E2F1","DoRothEA;ChEA3;VIPER","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","9.333333333333334","2","6","ENCODE--ChIP-seq(rank=3); GTEx--Coexpression(rank=6); Enrichr--Queries(rank=7); Literature--ChIP-seq(rank=7); ReMap--ChIP-seq(rank=59); ARCHS4--Coexpression(rank=65)","14","rank=2; score=11.422; p=3.7811e-12","rank=14; score=0.003734","rank=12; score=5.1823; direction=Repressed"
"4","ZBTB7A","DoRothEA;ChEA3;VIPER","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","11.000000000000000","3","5","ReMap--ChIP-seq(rank=1); ENCODE--ChIP-seq(rank=5); ARCHS4--Coexpression(rank=121); GTEx--Coexpression(rank=123); Enrichr--Queries(rank=632)","11","rank=19; score=2.2884; p=0.0051474","rank=11; score=0.003367","rank=3; score=7.8985; direction=Repressed"
"5","E2F2","DoRothEA;ChEA3;VIPER","5","DoRothEA;ChEA3;VIPER;ENRICHR;CollecTRI","12.000000000000000","4","3","ARCHS4--Coexpression(rank=5); Enrichr--Queries(rank=12); GTEx--Coexpression(rank=1492)","9","rank=4; score=5.718; p=1.914e-06","rank=9; score=0.003071","rank=23; score=4.0052; direction=Repressed"
"6","ZNF263","DoRothEA;ChEA3;VIPER","5","DoRothEA;ChEA3;VIPER;ENRICHR;CollecTRI","24.333333333333336","1","6","ReMap--ChIP-seq(rank=5); ENCODE--ChIP-seq(rank=34); Literature--ChIP-seq(rank=85); GTEx--Coexpression(rank=346); Enrichr--Queries(rank=641); ARCHS4--Coexpression(rank=1399)","66","rank=6; score=5.0101; p=9.7693e-06","rank=66; score=0.01684","rank=1; score=13.278; direction=Repressed"
"7","THAP1","DoRothEA;ChEA3;VIPER","4","DoRothEA;ChEA3;VIPER;ENRICHR","42.000000000000000","10","5","ReMap--ChIP-seq(rank=4); ENCODE--ChIP-seq(rank=106); ARCHS4--Coexpression(rank=334); Enrichr--Queries(rank=620); GTEx--Coexpression(rank=1452)","51","rank=65; score=0.8571; p=0.13896","rank=51; score=0.01347","rank=10; score=5.4376; direction=Activated"
"8","SNAI2","DoRothEA;ChEA3;VIPER","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","46.333333333333336","23","4","ReMap--ChIP-seq(rank=2); Enrichr--Queries(rank=78); ARCHS4--Coexpression(rank=120); GTEx--Coexpression(rank=649)","23","rank=89; score=0.63226; p=0.23321","rank=23; score=0.006734","rank=27; score=3.7114; direction=Repressed"
"9","NR2F1","DoRothEA;ChEA3;VIPER","5","DoRothEA;ChEA3;VIPER;TRRUST;CollecTRI","46.666666666666664","5","4","ReMap--ChIP-seq(rank=6); ARCHS4--Coexpression(rank=125); Enrichr--Queries(rank=365); GTEx--Coexpression(rank=869)","75","rank=60; score=0.90859; p=0.12343","rank=75; score=0.0202","rank=5; score=6.4746; direction=Activated"
"10","NFYB","DoRothEA;ChEA3;VIPER","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","47.000000000000000","26","5","ARCHS4--Coexpression(rank=12); ENCODE--ChIP-seq(rank=26); Enrichr--Queries(rank=56); ReMap--ChIP-seq(rank=167); GTEx--Coexpression(rank=1258)","26","rank=74; score=0.74741; p=0.17889","rank=26; score=0.007371","rank=41; score=2.9562; direction=Repressed"
