"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","DoRothEA","TRRUST"
"1","ATF4","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","1.0","1","4","ReMap--ChIP-seq(rank=1); GTEx--Coexpression(rank=166); Enrichr--Queries(rank=447); ARCHS4--Coexpression(rank=898)","13","rank=1; score=6.5407; p=2.8795e-07","rank=1; score=5.3488; p=4.4791e-06"
"2","MYCN","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","4.5","3","5","GTEx--Coexpression(rank=63); Literature--ChIP-seq(rank=119); Enrichr--Queries(rank=124); ReMap--ChIP-seq(rank=222); ARCHS4--Coexpression(rank=689)","160","rank=6; score=3.5913; p=0.00025626","rank=3; score=3.5557; p=0.00027818"
"3","E2F1","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","10.0","9","6","Enrichr--Queries(rank=3); GTEx--Coexpression(rank=5); ARCHS4--Coexpression(rank=45); ENCODE--ChIP-seq(rank=57); Literature--ChIP-seq(rank=83); ReMap--ChIP-seq(rank=267)","8","rank=9; score=3.1996; p=0.00063161","rank=11; score=2.6306; p=0.0023408"
"4","HSF1","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","16.5","12","5","Literature--ChIP-seq(rank=50); ENCODE--ChIP-seq(rank=91); ReMap--ChIP-seq(rank=177); ARCHS4--Coexpression(rank=1015); GTEx--Coexpression(rank=1484)","981","rank=12; score=2.688; p=0.0020513","rank=21; score=1.7874; p=0.016314"
"5","ESRRA","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","18.0","16","5","ENCODE--ChIP-seq(rank=78); ReMap--ChIP-seq(rank=115); ARCHS4--Coexpression(rank=409); Enrichr--Queries(rank=991); GTEx--Coexpression(rank=1424)","845","rank=20; score=2.2034; p=0.0062604","rank=16; score=2.1055; p=0.0078431"
"6","SMAD4","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","20.0","15","5","Literature--ChIP-seq(rank=29); ReMap--ChIP-seq(rank=91); Enrichr--Queries(rank=983); GTEx--Coexpression(rank=1115); ARCHS4--Coexpression(rank=1589)","641","rank=25; score=2.0409; p=0.0091005","rank=15; score=2.1124; p=0.0077199"
"7","WT1","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","20.5","14","4","Literature--ChIP-seq(rank=12); ARCHS4--Coexpression(rank=174); Enrichr--Queries(rank=520); GTEx--Coexpression(rank=701)","300","rank=14; score=2.4603; p=0.0034646","rank=27; score=1.6866; p=0.020578"
"8","E2F4","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","21.0","7","6","ENCODE--ChIP-seq(rank=13); Literature--ChIP-seq(rank=55); ReMap--ChIP-seq(rank=181); Enrichr--Queries(rank=465); GTEx--Coexpression(rank=473); ARCHS4--Coexpression(rank=1018)","441","rank=7; score=3.5888; p=0.00025776","rank=35; score=1.6209; p=0.02394"
"9","CDX2","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","23.5","23","5","ARCHS4--Coexpression(rank=15); ReMap--ChIP-seq(rank=35); Literature--ChIP-seq(rank=64); GTEx--Coexpression(rank=198); Enrichr--Queries(rank=558)","39","rank=23; score=2.0908; p=0.0081135","rank=24; score=1.731; p=0.018577"
"10","ESR1","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","24.0","5","6","ReMap--ChIP-seq(rank=3); ENCODE--ChIP-seq(rank=14); ARCHS4--Coexpression(rank=29); Literature--ChIP-seq(rank=35); GTEx--Coexpression(rank=458); Enrichr--Queries(rank=589)","44","rank=5; score=3.6448; p=0.00022658","rank=43; score=1.4961; p=0.031905"
