"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","DoRothEA","TRRUST"
"1","E2F4","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","1.0","1","6","ENCODE--ChIP-seq(rank=1); Literature--ChIP-seq(rank=1); ReMap--ChIP-seq(rank=28); Enrichr--Queries(rank=432); ARCHS4--Coexpression(rank=896); GTEx--Coexpression(rank=1406)","20","rank=1; score=24.651; p=2.2327e-25","rank=1; score=9.7365; p=1.8343e-10"
"2","E2F1","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","2.5","2","6","ENCODE--ChIP-seq(rank=3); GTEx--Coexpression(rank=6); Enrichr--Queries(rank=7); Literature--ChIP-seq(rank=7); ReMap--ChIP-seq(rank=59); ARCHS4--Coexpression(rank=65)","14","rank=2; score=11.422; p=3.7811e-12","rank=3; score=6.7032; p=1.9807e-07"
"3","TFDP1","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","2.5","2","4","GTEx--Coexpression(rank=3); Enrichr--Queries(rank=15); ARCHS4--Coexpression(rank=21); ReMap--ChIP-seq(rank=73)","5","rank=3; score=6.3165; p=4.8254e-07","rank=2; score=7.0976; p=7.9882e-08"
"4","SP1","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","4.5","4","5","ENCODE--ChIP-seq(rank=8); ReMap--ChIP-seq(rank=71); GTEx--Coexpression(rank=315); Enrichr--Queries(rank=995); ARCHS4--Coexpression(rank=1477)","270","rank=5; score=5.2886; p=5.1453e-06","rank=4; score=5.2562; p=5.5436e-06"
"5","MYCN","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","7.0","5","5","ReMap--ChIP-seq(rank=24); Literature--ChIP-seq(rank=46); ARCHS4--Coexpression(rank=91); Enrichr--Queries(rank=136); GTEx--Coexpression(rank=303)","218","rank=9; score=4.7124; p=1.9393e-05","rank=5; score=3.4875; p=0.00032549"
"6","TP53","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","10.0","9","5","ARCHS4--Coexpression(rank=36); Literature--ChIP-seq(rank=39); ReMap--ChIP-seq(rank=96); Enrichr--Queries(rank=156); GTEx--Coexpression(rank=189)","84","rank=11; score=3.9053; p=0.00012435","rank=9; score=2.8411; p=0.0014419"
"7","MYC","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","10.5","7","6","Literature--ChIP-seq(rank=35); ENCODE--ChIP-seq(rank=43); ReMap--ChIP-seq(rank=50); Enrichr--Queries(rank=98); ARCHS4--Coexpression(rank=977); GTEx--Coexpression(rank=1364)","279","rank=7; score=4.9671; p=1.0786e-05","rank=14; score=2.383; p=0.0041397"
"8","E2F3","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","16.5","8","3","ARCHS4--Coexpression(rank=26); Enrichr--Queries(rank=27); GTEx--Coexpression(rank=1365)","62","rank=8; score=4.7124; p=1.9393e-05","rank=25; score=1.6126; p=0.024399"
"9","E2F6","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","18.5","12","5","ENCODE--ChIP-seq(rank=11); ReMap--ChIP-seq(rank=13); Enrichr--Queries(rank=166); ARCHS4--Coexpression(rank=419); GTEx--Coexpression(rank=1168)","169","rank=25; score=1.6718; p=0.021289","rank=12; score=2.4274; p=0.0037373"
"10","ESR1","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","21.5","10","6","ENCODE--ChIP-seq(rank=6); ReMap--ChIP-seq(rank=52); Literature--ChIP-seq(rank=53); GTEx--Coexpression(rank=221); ARCHS4--Coexpression(rank=548); Enrichr--Queries(rank=570)","195","rank=10; score=3.9896; p=0.00010243","rank=33; score=1.4495; p=0.035526"
