"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","VIPER","CollecTRI"
"1","E2F4","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","1.0","1","6","ENCODE--ChIP-seq(rank=13); Literature--ChIP-seq(rank=55); ReMap--ChIP-seq(rank=181); Enrichr--Queries(rank=465); GTEx--Coexpression(rank=473); ARCHS4--Coexpression(rank=1018)","441","rank=1; score=7.0146; direction=Activated","rank=1; score=8.6938; p=3.5051e-18; direction=Activated"
"2","E2F2","VIPER;CollecTRI","5","DoRothEA;ChEA3;VIPER;ENRICHR;CollecTRI","2.5","2","3","Enrichr--Queries(rank=12); ARCHS4--Coexpression(rank=16); GTEx--Coexpression(rank=849)","36","rank=3; score=5.2897; direction=Activated","rank=2; score=5.6492; p=1.6121e-08; direction=Activated"
"3","ATF4","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","3.5","2","4","ReMap--ChIP-seq(rank=1); GTEx--Coexpression(rank=166); Enrichr--Queries(rank=447); ARCHS4--Coexpression(rank=898)","13","rank=2; score=5.298; direction=Repressed","rank=5; score=3.7524; p=0.00017518; direction=Repressed"
"4","E2F1","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","3.5","3","6","Enrichr--Queries(rank=3); GTEx--Coexpression(rank=5); ARCHS4--Coexpression(rank=45); ENCODE--ChIP-seq(rank=57); Literature--ChIP-seq(rank=83); ReMap--ChIP-seq(rank=267)","8","rank=4; score=5.1746; direction=Activated","rank=3; score=5.1811; p=2.2062e-07; direction=Activated"
"5","E2F3","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6.0","4","3","Enrichr--Queries(rank=80); ARCHS4--Coexpression(rank=281); GTEx--Coexpression(rank=1205)","229","rank=8; score=3.711; direction=Activated","rank=4; score=4.4736; p=7.6908e-06; direction=Activated"
"6","TFDP1","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","8.5","6","4","GTEx--Coexpression(rank=17); Enrichr--Queries(rank=74); ARCHS4--Coexpression(rank=124); ReMap--ChIP-seq(rank=231)","46","rank=6; score=3.8604; direction=Activated","rank=11; score=2.9344; p=0.0033424; direction=Activated"
"7","IRF2","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","18.0","12","4","ReMap--ChIP-seq(rank=224); ARCHS4--Coexpression(rank=304); GTEx--Coexpression(rank=376); Enrichr--Queries(rank=624)","674","rank=12; score=3.3587; direction=Activated","rank=24; score=2.3605; p=0.018251; direction=Activated"
"8","GRHL2","VIPER;CollecTRI","5","DoRothEA;ChEA3;VIPER;ENRICHR;CollecTRI","22.0","9","5","ARCHS4--Coexpression(rank=2); GTEx--Coexpression(rank=3); ReMap--ChIP-seq(rank=4); Enrichr--Queries(rank=26); Literature--ChIP-seq(rank=79)","4","rank=9; score=3.6829; direction=Repressed","rank=35; score=1.9735; p=0.048438; direction=Repressed"
"9","ESRRA","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","27.0","27","5","ENCODE--ChIP-seq(rank=78); ReMap--ChIP-seq(rank=115); ARCHS4--Coexpression(rank=409); Enrichr--Queries(rank=991); GTEx--Coexpression(rank=1424)","845","rank=27; score=2.4834; direction=Repressed","rank=27; score=2.1847; p=0.02891; direction=Repressed"
"10","NANOG","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","35.0","7","6","Literature--ChIP-seq(rank=20); ENCODE--ChIP-seq(rank=88); ReMap--ChIP-seq(rank=235); GTEx--Coexpression(rank=563); ARCHS4--Coexpression(rank=613); Enrichr--Queries(rank=618)","477","rank=63; score=1.5808; direction=Repressed","rank=7; score=3.2871; p=0.0010124; direction=Activated"
