"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","ChEA3","ENRICHR","TRRUST"
"1","EPAS1","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","40.33333333333334","13","4","ARCHS4--Coexpression(rank=17); GTEx--Coexpression(rank=19); ReMap--ChIP-seq(rank=140); Enrichr--Queries(rank=150)","50","rank=50; score=0.01044","rank=58; score=69.988; p=0.00072214; adjP=0.023378","rank=13; score=3.1414; p=0.00072216"
"2","WT1","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","44.33333333333333","4","4","Literature--ChIP-seq(rank=4); ARCHS4--Coexpression(rank=260); Enrichr--Queries(rank=284); GTEx--Coexpression(rank=660)","112","rank=112; score=0.02439","rank=17; score=141.64; p=3.9977e-35; adjP=6.0525e-33","rank=4; score=4.1378; p=7.2805e-05"
"3","SOX2","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","49.33333333333333","4","5","Literature--ChIP-seq(rank=1); ARCHS4--Coexpression(rank=165); ReMap--ChIP-seq(rank=217); GTEx--Coexpression(rank=269); Enrichr--Queries(rank=351)","28","rank=28; score=0.006098","rank=4; score=377; p=5.3912e-66; adjP=4.0811e-63","rank=116; score=0.9258; p=0.11863"
"4","EGR1","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","52.00000000000000","3","6","Literature--ChIP-seq(rank=5); ENCODE--ChIP-seq(rank=18); ReMap--ChIP-seq(rank=113); GTEx--Coexpression(rank=244); Enrichr--Queries(rank=265); ARCHS4--Coexpression(rank=501)","140","rank=140; score=0.03049","rank=13; score=134.64; p=2.8542e-36; adjP=5.4015e-34","rank=3; score=4.2133; p=6.1188e-05"
"5","PPARG","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","53.66666666666666","10","5","Literature--ChIP-seq(rank=28); GTEx--Coexpression(rank=37); ReMap--ChIP-seq(rank=104); ARCHS4--Coexpression(rank=381); Enrichr--Queries(rank=403)","107","rank=107; score=0.02302","rank=44; score=47.599; p=1.5941e-13; adjP=2.1548e-12","rank=10; score=3.4163; p=0.00038348"
"6","CTCF","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","60.66666666666666","17","6","ENCODE--ChIP-seq(rank=3); ReMap--ChIP-seq(rank=21); Literature--ChIP-seq(rank=98); GTEx--Coexpression(rank=1209); Enrichr--Queries(rank=1301); ARCHS4--Coexpression(rank=1472)","116","rank=116; score=0.02542","rank=49; score=53.288; p=1.7757e-16; adjP=3.4466e-15","rank=17; score=2.6219; p=0.0023883"
"7","PGR","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","63.66666666666666","24","4","GTEx--Coexpression(rank=26); ReMap--ChIP-seq(rank=64); ARCHS4--Coexpression(rank=278); Enrichr--Queries(rank=568)","72","rank=72; score=0.01618","rank=95; score=17.664; p=0.0018799; adjP=0.0036677","rank=24; score=2.3537; p=0.0044289"
"8","SOX9","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","66.00000000000000","30","5","ARCHS4--Coexpression(rank=21); Literature--ChIP-seq(rank=33); ReMap--ChIP-seq(rank=81); Enrichr--Queries(rank=82); GTEx--Coexpression(rank=408)","59","rank=59; score=0.0129","rank=109; score=28.311; p=6.0352e-09; adjP=3.4875e-08","rank=30; score=2.1375; p=0.0072859"
"9","ATF4","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","67.00000000000000","7","4","ReMap--ChIP-seq(rank=44); GTEx--Coexpression(rank=58); Enrichr--Queries(rank=1249); ARCHS4--Coexpression(rank=1369)","163","rank=163; score=0.03609","rank=31; score=36.238; p=9.7296e-05; adjP=0.0058378","rank=7; score=4.0119; p=9.7301e-05"
"10","ESR1","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","77.00000000000000","21","6","Literature--ChIP-seq(rank=6); ENCODE--ChIP-seq(rank=13); ReMap--ChIP-seq(rank=40); GTEx--Coexpression(rank=77); ARCHS4--Coexpression(rank=279); Enrichr--Queries(rank=330)","165","rank=165; score=0.03659","rank=45; score=81.362; p=1.0289e-19; adjP=2.8292e-18","rank=21; score=2.4164; p=0.0038335"
