"TF","HD_HCT116","Activity_Score_Mean","Score","Method_Direction","Rank","Method","Method_Rank","Method_Score","Method_P_Value","Method_Adjusted_P_Value","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"KLF3","-3.52223002288777165","-3.52223002288777165","3.52223002288777165","Repressed","29","viper","29","3.52223002288777165",NA,NA,"4","GTEx--Coexpression(rank=23); Enrichr--Queries(rank=140); ARCHS4--Coexpression(rank=228); ReMap--ChIP-seq(rank=242)","56","0.014310000000000000","GTEx Coexpression,0.01431"
"MAFK","-3.45291285812434223","-3.45291285812434223","3.45291285812434223","Repressed","30","viper","30","3.45291285812434223",NA,NA,"5","ENCODE--ChIP-seq(rank=53); ReMap--ChIP-seq(rank=165); Enrichr--Queries(rank=248); GTEx--Coexpression(rank=267); ARCHS4--Coexpression(rank=460)","601","0.166099999999999998","GTEx Coexpression,0.1661"
"MAZ","3.42192342037065522","3.42192342037065522","3.42192342037065522","Activated","31","viper","31","3.42192342037065522",NA,NA,"5","ReMap--ChIP-seq(rank=5); ENCODE--ChIP-seq(rank=38); ARCHS4--Coexpression(rank=118); GTEx--Coexpression(rank=244); Enrichr--Queries(rank=1216)","68","0.016840000000000001","ReMap ChIP-seq,0.01684"
"THAP11","-3.38117011539961032","-3.38117011539961032","3.38117011539961032","Repressed","32","viper","32","3.38117011539961032",NA,NA,"5","Literature--ChIP-seq(rank=142); ReMap--ChIP-seq(rank=171); GTEx--Coexpression(rank=481); ARCHS4--Coexpression(rank=655); Enrichr--Queries(rank=1154)","935","0.299300000000000010","GTEx Coexpression,0.2993"
"MBD1","-3.31524432374288125","-3.31524432374288125","3.31524432374288125","Repressed","33","viper","33","3.31524432374288125",NA,NA,"3","Enrichr--Queries(rank=966); ARCHS4--Coexpression(rank=1190); GTEx--Coexpression(rank=1422)","1496","0.687999999999999834","Enrichr Queries,0.688"
"MEF2A","-3.25300214146298172","-3.25300214146298172","3.25300214146298172","Repressed","34","viper","34","3.25300214146298172",NA,NA,"6","Literature--ChIP-seq(rank=63); ENCODE--ChIP-seq(rank=77); ReMap--ChIP-seq(rank=249); GTEx--Coexpression(rank=588); Enrichr--Queries(rank=631); ARCHS4--Coexpression(rank=663)","1069","0.365900000000000003","GTEx Coexpression,0.3659"
"HMBOX1","3.22229792118890002","3.22229792118890002","3.22229792118890002","Activated","35","viper","35","3.22229792118890002",NA,NA,"4","ReMap--ChIP-seq(rank=275); Enrichr--Queries(rank=798); ARCHS4--Coexpression(rank=900); GTEx--Coexpression(rank=1038)","1379","0.552799999999999958","ARCHS4 Coexpression,0.5528"
"FOXO3","-3.19369624435763910","-3.19369624435763910","3.19369624435763910","Repressed","36","viper","36","3.19369624435763910",NA,NA,"4","Literature--ChIP-seq(rank=51); Enrichr--Queries(rank=367); GTEx--Coexpression(rank=429); ARCHS4--Coexpression(rank=734)","838","0.261400000000000021","Enrichr Queries,0.2614"
"FOS","-3.17562728996918642","-3.17562728996918642","3.17562728996918642","Repressed","37","viper","37","3.17562728996918642",NA,NA,"5","ENCODE--ChIP-seq(rank=43); ReMap--ChIP-seq(rank=56); GTEx--Coexpression(rank=58); Enrichr--Queries(rank=348); ARCHS4--Coexpression(rank=393)","152","0.036089999999999997","GTEx Coexpression,0.03609"
"CLOCK","-3.15967133349342477","-3.15967133349342477","3.15967133349342477","Repressed","38","viper","38","3.15967133349342477",NA,NA,"5","Literature--ChIP-seq(rank=107); ReMap--ChIP-seq(rank=210); GTEx--Coexpression(rank=1069); ARCHS4--Coexpression(rank=1146); Enrichr--Queries(rank=1165)","1469","0.652399999999999980","Literature ChIP-seq,0.6524"
