"TF","HD_HCT116","Activity_Score_Mean","Score","Method_Direction","Rank","Method","Method_Rank","Method_Score","Method_P_Value","Method_Adjusted_P_Value","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"MYOD1","-2.42459610071092602","-2.42459610071092602","2.42459610071092602","Repressed","77","viper","77","2.42459610071092602",NA,NA,"5","ENCODE--ChIP-seq(rank=6); ReMap--ChIP-seq(rank=116); ARCHS4--Coexpression(rank=464); GTEx--Coexpression(rank=489); Enrichr--Queries(rank=1039)","217","0.050849999999999999","ENCODE ChIP-seq,0.05085"
"NRF1","2.41958533338992021","2.41958533338992021","2.41958533338992021","Activated","78","viper","78","2.41958533338992021",NA,NA,"5","ReMap--ChIP-seq(rank=12); ENCODE--ChIP-seq(rank=52); ARCHS4--Coexpression(rank=780); Enrichr--Queries(rank=1012); GTEx--Coexpression(rank=1153)","171","0.040399999999999998","ReMap ChIP-seq,0.0404"
"ESR1","-2.41827093015240946","-2.41827093015240946","2.41827093015240946","Repressed","79","viper","79","2.41827093015240946",NA,NA,"6","ENCODE--ChIP-seq(rank=9); Literature--ChIP-seq(rank=17); ReMap--ChIP-seq(rank=41); ARCHS4--Coexpression(rank=73); Enrichr--Queries(rank=363); GTEx--Coexpression(rank=1188)","191","0.044839999999999998","ARCHS4 Coexpression,0.04484"
"MEIS2","-2.40406852610247190","-2.40406852610247190","2.40406852610247190","Repressed","80","viper","80","2.40406852610247190",NA,NA,"4","ReMap--ChIP-seq(rank=123); Enrichr--Queries(rank=421); ARCHS4--Coexpression(rank=491); GTEx--Coexpression(rank=659)","936","0.299900000000000000","Enrichr Queries,0.2999"
"NFKB1","-2.33522349352946401","-2.33522349352946401","2.33522349352946401","Repressed","81","viper","81","2.33522349352946401",NA,NA,"4","ReMap--ChIP-seq(rank=134); ARCHS4--Coexpression(rank=163); GTEx--Coexpression(rank=316); Enrichr--Queries(rank=445)","381","0.100099999999999995","ARCHS4 Coexpression,0.1001"
"MAF","-2.30278635928063036","-2.30278635928063036","2.30278635928063036","Repressed","82","viper","82","2.30278635928063036",NA,NA,"4","GTEx--Coexpression(rank=89); ReMap--ChIP-seq(rank=185); Enrichr--Queries(rank=410); ARCHS4--Coexpression(rank=922)","235","0.055379999999999999","GTEx Coexpression,0.05538"
"TP63","-2.28720196109632301","-2.28720196109632301","2.28720196109632301","Repressed","83","viper","83","2.28720196109632301",NA,NA,"5","Literature--ChIP-seq(rank=29); GTEx--Coexpression(rank=60); ARCHS4--Coexpression(rank=68); ReMap--ChIP-seq(rank=82); Enrichr--Queries(rank=166)","158","0.037339999999999998","GTEx Coexpression,0.03734"
"PRDM1","-2.23551977651546041","-2.23551977651546041","2.23551977651546041","Repressed","84","viper","84","2.23551977651546041",NA,NA,"5","GTEx--Coexpression(rank=45); ENCODE--ChIP-seq(rank=59); Enrichr--Queries(rank=100); ReMap--ChIP-seq(rank=176); ARCHS4--Coexpression(rank=697)","112","0.028000000000000001","GTEx Coexpression,0.028"
"STAT2","2.22079572003961578","2.22079572003961578","2.22079572003961578","Activated","85","viper","85","2.22079572003961578",NA,NA,"5","ENCODE--ChIP-seq(rank=90); ReMap--ChIP-seq(rank=211); ARCHS4--Coexpression(rank=423); Enrichr--Queries(rank=920); GTEx--Coexpression(rank=1301)","834","0.259799999999999975","ARCHS4 Coexpression,0.2598"
"SIX2","-2.20982260073196501","-2.20982260073196501","2.20982260073196501","Repressed","86","viper","86","2.20982260073196501",NA,NA,"4","ReMap--ChIP-seq(rank=288); GTEx--Coexpression(rank=486); Enrichr--Queries(rank=502); ARCHS4--Coexpression(rank=516)","942","0.302400000000000002","GTEx Coexpression,0.3024"
"NR4A1","-2.20432191116598020","-2.20432191116598020","2.20432191116598020","Repressed","87","viper","87","2.20432191116598020",NA,NA,"4","ARCHS4--Coexpression(rank=49); GTEx--Coexpression(rank=170); ReMap--ChIP-seq(rank=236); Enrichr--Queries(rank=385)","122","0.030099999999999998","ARCHS4 Coexpression,0.0301"
"MEF2B","-2.10757237182674251","-2.10757237182674251","2.10757237182674251","Repressed","88","viper","88","2.10757237182674251",NA,NA,"4","ReMap--ChIP-seq(rank=281); ARCHS4--Coexpression(rank=409); GTEx--Coexpression(rank=435); Enrichr--Queries(rank=439)","812","0.251199999999999979","ARCHS4 Coexpression,0.2512"
