"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","DoRothEA","ChEA3","ENRICHR","TRRUST"
"1","WT1","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","35.75","4","4","Literature--ChIP-seq(rank=4); ARCHS4--Coexpression(rank=260); Enrichr--Queries(rank=284); GTEx--Coexpression(rank=660)","112","rank=10; score=5.6375; p=2.3043e-06","rank=112; score=0.02439","rank=17; score=141.64; p=3.9977e-35; adjP=6.0525e-33","rank=4; score=4.1378; p=7.2805e-05"
"2","EGR1","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","41.75","3","6","Literature--ChIP-seq(rank=5); ENCODE--ChIP-seq(rank=18); ReMap--ChIP-seq(rank=113); GTEx--Coexpression(rank=244); Enrichr--Queries(rank=265); ARCHS4--Coexpression(rank=501)","140","rank=11; score=5.4668; p=3.4136e-06","rank=140; score=0.03049","rank=13; score=134.64; p=2.8542e-36; adjP=5.4015e-34","rank=3; score=4.2133; p=6.1188e-05"
"3","EPAS1","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","43.50","13","4","ARCHS4--Coexpression(rank=17); GTEx--Coexpression(rank=19); ReMap--ChIP-seq(rank=140); Enrichr--Queries(rank=150)","50","rank=53; score=2.9898; p=0.0010237","rank=50; score=0.01044","rank=58; score=69.988; p=0.00072214; adjP=0.023378","rank=13; score=3.1414; p=0.00072216"
"4","ESR1","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","62.75","20","6","Literature--ChIP-seq(rank=6); ENCODE--ChIP-seq(rank=13); ReMap--ChIP-seq(rank=40); GTEx--Coexpression(rank=77); ARCHS4--Coexpression(rank=279); Enrichr--Queries(rank=330)","165","rank=20; score=4.5509; p=2.8123e-05","rank=165; score=0.03659","rank=45; score=81.362; p=1.0289e-19; adjP=2.8292e-18","rank=21; score=2.4164; p=0.0038335"
"5","ATF4","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","64.00","7","4","ReMap--ChIP-seq(rank=44); GTEx--Coexpression(rank=58); Enrichr--Queries(rank=1249); ARCHS4--Coexpression(rank=1369)","163","rank=55; score=2.9232; p=0.0011933","rank=163; score=0.03609","rank=31; score=36.238; p=9.7296e-05; adjP=0.0058378","rank=7; score=4.0119; p=9.7301e-05"
"6","PPARG","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","65.75","10","5","Literature--ChIP-seq(rank=28); GTEx--Coexpression(rank=37); ReMap--ChIP-seq(rank=104); ARCHS4--Coexpression(rank=381); Enrichr--Queries(rank=403)","107","rank=102; score=1.7172; p=0.019179","rank=107; score=0.02302","rank=44; score=47.599; p=1.5941e-13; adjP=2.1548e-12","rank=10; score=3.4163; p=0.00038348"
"7","SMAD3","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","67.25","2","5","ReMap--ChIP-seq(rank=15); Literature--ChIP-seq(rank=43); Enrichr--Queries(rank=184); GTEx--Coexpression(rank=203); ARCHS4--Coexpression(rank=362)","219","rank=13; score=5.1105; p=7.7539e-06","rank=219; score=0.05051","rank=2; score=38.906; p=5.2958e-12; adjP=5.2064e-11","rank=35; score=1.993; p=0.010163"
"8","NFKB1","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","68.25","8","4","ARCHS4--Coexpression(rank=80); ReMap--ChIP-seq(rank=151); Enrichr--Queries(rank=452); GTEx--Coexpression(rank=470)","214","rank=16; score=4.861; p=1.3772e-05","rank=214; score=0.04914","rank=35; score=88.866; p=2.2064e-25; adjP=1.1381e-23","rank=8; score=3.5483; p=0.00028293"
"9","TCF4","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","71.00","50","5","ReMap--ChIP-seq(rank=14); Enrichr--Queries(rank=31); Literature--ChIP-seq(rank=45); ARCHS4--Coexpression(rank=320); GTEx--Coexpression(rank=546)","102","rank=50; score=3.0426; p=0.0009066","rank=102; score=0.02208","rank=69; score=30.789; p=4.9654e-10; adjP=3.5129e-09","rank=63; score=1.3997; p=0.039842"
"10","STAT1","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","75.00","22","6","ENCODE--ChIP-seq(rank=15); ReMap--ChIP-seq(rank=16); ARCHS4--Coexpression(rank=79); Literature--ChIP-seq(rank=153); Enrichr--Queries(rank=421); GTEx--Coexpression(rank=925)","211","rank=28; score=4.25; p=5.6228e-05","rank=211; score=0.04853","rank=39; score=14.973; p=5.0242e-06; adjP=1.6528e-05","rank=22; score=2.4071; p=0.0039161"
