"TF","HD_ALL","HD_HCT116","HD_SW480","LD_ALL","LD_HCT116","LD_SW480","MD_ALL","MD_HCT116","MD_SW480"
"AHR","-1.295151587185036091","-3.57215083475015094","1.092768560364981489","0.90449480148575434","-0.56188020566919450","2.212006203358491518","0.7459459624505876407","-0.546441067049745710","2.3245607663985419222"
"AR","-0.692774840823711657","-0.81418245388149801","0.957952065181173373","-0.64650179076105296","-0.31084015299523410","1.435212711815816888","-1.3160657812761793473","-0.121330778100031664","0.5357887812334827249"
"ARID2","-0.124138540829064004","-1.25973601651272427","0.669277827214085019","-1.16048937990050449","-1.07572455989091686","-0.299241456497445935","0.8701384205518613024","-0.076356995779871192","0.1461687278223499364"
"ARID3A","-1.033553487067734755","-2.48363419946414554","1.530128229296698894","3.32487155413217605","2.79654214742657725","2.991430409738580654","0.0873457066083752065","0.074864854415656476","0.2031502149641823962"
"ARNT","0.599376341499984644","-1.90267000616025261","3.808921203714264792","1.06698816949276098","-0.82973440550882382","2.301419921364817878","2.1314288266827339235","0.605808336244114232","3.7932877970282845581"
"ARNTL","-1.227385516950256772","-1.78616516657409363","0.917948630495714180","2.40113782620633831","2.90210883635461014","1.452401988984368231","1.9765577630916719709","1.749820862211114658","1.3236049073470794735"
"ASCL1","0.281755123067884361","-0.95021686383772619","1.281479435525668675","4.91562673040917719","4.53978795395157597","4.634257764899025744","3.2748317468376497708","4.173204052664915231","2.2039644561042477378"
"ATF1","0.212834718875053286","0.60804637419356344","0.610788123963197371","1.37483076849470409","-0.09570753811000904","0.804602010232132292","1.1236623161722758546","0.730251349412141315","0.4431046857496341862"
"ATF2","-0.851770103814070700","-1.23146731954481026","0.729112994416058702","-0.49262129112191311","1.26453747134391370","-0.387004692856358801","-1.3197342529880899953","-2.216594739137448311","-1.1008819288495208522"
"ATF3","-0.467322391521465375","0.92032622870117642","-3.204100148678989513","-1.50054851615573526","-1.28632841610778637","-1.744036035452568800","-1.3365607363056726253","0.175748814618593402","-3.4461367395378141865"
"ATF4","-5.298043104020333516","-4.82871856574346925","-2.314334627872072225","-1.86806776285291853","1.26798059688015030","-2.961122032283673100","-3.3093280628310686176","-2.090866787729977805","-3.4012532415517329198"
"ATF6","-0.428390518362783579","0.30108496766702397","-0.356684479275623467","0.51276941945856258","0.51707019947600596","0.297784919293322736","-1.7230771171285168553","-1.115147013443773760","-0.8659639653464715758"
"ATF7","-0.573605741478101283","-0.32992083425229779","0.788396047786920628","2.35414475640601539","1.27603117076458705","2.019001943463573756","0.6035208123067741237","-0.180840042136752893","1.6101337259158465809"
"BACH1","-0.763738668076168081","0.44258879359591230","-0.570063268415005764","-0.51325948206317562","1.38564549301714823","-0.813257494751567278","-0.9124875842554822647","1.718978443750680762","-0.9657891677799824715"
"BACH2","-0.003145366352020219","-0.90530484947927070","2.351501447524793065","2.24410823800027703","0.80248297647492817","2.219427313462131401","0.3405728337735290934","-0.251822905038771805","2.0141605790929579811"
"BATF","-0.924704915723796761","-0.81555140241494806","0.358931108700185852","2.94555404747599381","2.65478529498139304","1.774281048284218842","3.4173068570226274865","2.037274413016986863","1.8822292722098550311"
"BCL11A","-0.566997281508127449","-1.59649401328047369","0.804940733758389926","2.56087728010341431","1.75708152458319788","2.914110515888749031","2.8724201447498023398","3.457351269372809011","1.6466629535206973589"
"BCL6","0.529780796162804046","2.00556116978890842","-1.765593679879157163","-2.20193987150059600","-1.26978331137289335","-1.655026379177940266","-1.0098618837574950824","-0.731275542710213888","-1.5965113889109556755"
"BHLHE22","0.433076210049787413","2.06171340676350789","-1.684020156661948153","-1.03109951980715331","-0.76561969194797186","-1.927488841722118096","-0.9930107150261764382","-2.014990494306546420","-0.9942880294440532563"
"BHLHE40","1.174040569173159909","1.67794182007868975","-0.473057649562830751","-4.28728539658477281","-3.46006767779869318","-3.712977391542281680","-1.1365420055471726624","-0.631190288187234771","-0.7673389538558538225"
"CDX2","-1.505319166944380394","-1.51708016942010815","-0.359475280840781175","0.74058972044293125","0.40299016930016091","0.763507157143736404","0.5212001390116927091","-0.427135391690095068","0.7808462897335886055"
"CEBPA","0.978310360777448151","-1.61996035987296860","3.896766394937472899","0.80396673568247889","-0.50016162355906812","3.338056302174675416","0.6047275726455155764","-2.139130743995139028","3.9272994252764110712"
