"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","DoRothEA","VIPER","ENRICHR","TRRUST","CollecTRI"
"1","E2F1","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","7.6","1","6","ARCHS4--Coexpression(rank=9); ENCODE--ChIP-seq(rank=14); GTEx--Coexpression(rank=30); Literature--ChIP-seq(rank=82); ReMap--ChIP-seq(rank=95); Enrichr--Queries(rank=122)","18","rank=12; score=4.6943; p=2.0215e-05","rank=14; score=4.2041; direction=Activated","rank=2; score=36.028; p=1.0814e-07; adjP=4.6249e-07","rank=1; score=6.2243; p=5.9663e-07","rank=9; score=4.2253; p=2.3865e-05; direction=Activated"
"2","E2F4","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","9.4","1","6","ENCODE--ChIP-seq(rank=2); ReMap--ChIP-seq(rank=32); Literature--ChIP-seq(rank=90); ARCHS4--Coexpression(rank=250); GTEx--Coexpression(rank=573); Enrichr--Queries(rank=779)","69","rank=3; score=7.4523; p=3.5293e-08","rank=1; score=9.3811; direction=Activated","rank=12; score=28.173; p=2.7069e-08; adjP=5.6304e-07","rank=30; score=2.5559; p=0.0027806","rank=1; score=8.1892; p=2.6302e-16; direction=Activated"
"3","TCF4","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","19.0","6","5","Literature--ChIP-seq(rank=36); ReMap--ChIP-seq(rank=72); GTEx--Coexpression(rank=382); Enrichr--Queries(rank=438); ARCHS4--Coexpression(rank=982)","737","rank=18; score=4.0801; p=8.3162e-05","rank=18; score=4.0098; direction=Repressed","rank=39; score=46.879; p=8.856e-12; adjP=8.38e-11","rank=6; score=4.0556; p=8.7987e-05","rank=14; score=3.5407; p=0.00039912; direction=Repressed"
"4","RARA","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","31.2","6","5","ReMap--ChIP-seq(rank=63); Literature--ChIP-seq(rank=151); GTEx--Coexpression(rank=391); Enrichr--Queries(rank=475); ARCHS4--Coexpression(rank=529)","717","rank=23; score=3.7947; p=0.00016043","rank=21; score=3.9098; direction=Repressed","rank=77; score=20.081; p=0.0026224; adjP=0.032566","rank=29; score=2.5813; p=0.0026224","rank=6; score=4.4836; p=7.3397e-06; direction=Repressed"
"5","EGR1","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","48.0","2","6","Literature--ChIP-seq(rank=3); ENCODE--ChIP-seq(rank=8); ReMap--ChIP-seq(rank=28); GTEx--Coexpression(rank=140); Enrichr--Queries(rank=294); ARCHS4--Coexpression(rank=378)","74","rank=2; score=7.5105; p=3.0864e-08","rank=106; score=1.9594; direction=Repressed","rank=10; score=114.9; p=3.5707e-32; adjP=9.01e-30","rank=10; score=3.4719; p=0.0003374","rank=112; score=1.8319; p=0.066968; direction=Repressed"
"6","ZEB1","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","55.4","23","5","ENCODE--ChIP-seq(rank=27); ReMap--ChIP-seq(rank=65); GTEx--Coexpression(rank=104); ARCHS4--Coexpression(rank=330); Enrichr--Queries(rank=343)","274","rank=60; score=2.3362; p=0.0046109","rank=123; score=1.7119; direction=Activated","rank=46; score=41.601; p=0.00067375; adjP=0.0046714","rank=25; score=2.866; p=0.0013615","rank=23; score=3.0502; p=0.002287; direction=Repressed"
"7","SMAD3","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","57.4","6","5","Literature--ChIP-seq(rank=7); ReMap--ChIP-seq(rank=24); Enrichr--Queries(rank=362); ARCHS4--Coexpression(rank=370); GTEx--Coexpression(rank=544)","182","rank=34; score=3.0169; p=0.00096176","rank=105; score=1.9645; direction=Repressed","rank=6; score=70.442; p=1.3393e-18; adjP=4.0555e-17","rank=36; score=2.3083; p=0.0049171","rank=106; score=1.858; p=0.063165; direction=Repressed"
"8","SNAI2","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","57.4","17","4","ReMap--ChIP-seq(rank=21); ARCHS4--Coexpression(rank=80); Enrichr--Queries(rank=559); GTEx--Coexpression(rank=658)","209","rank=31; score=3.1378; p=0.00072808","rank=124; score=1.6918; direction=Activated","rank=82; score=55.114; p=0.00042242; adjP=0.0098074","rank=17; score=3.3742; p=0.00042243","rank=33; score=2.8124; p=0.0049179; direction=Repressed"
"9","ATF4","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","60.4","7","4","GTEx--Coexpression(rank=227); ReMap--ChIP-seq(rank=246); ARCHS4--Coexpression(rank=993); Enrichr--Queries(rank=1197)","521","rank=27; score=3.5586; p=0.00027634","rank=7; score=4.8287; direction=Repressed","rank=158; score=13.482; p=0.0059143; adjP=0.055128","rank=39; score=2.2281; p=0.0059144","rank=71; score=2.1569; p=0.031012; direction=Repressed"
"10","RFX5","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","61.8","12","5","ENCODE--ChIP-seq(rank=19); ReMap--ChIP-seq(rank=78); Enrichr--Queries(rank=467); GTEx--Coexpression(rank=925); ARCHS4--Coexpression(rank=1086)","581","rank=39; score=2.7894; p=0.0016242","rank=12; score=4.3955; direction=Repressed","rank=57; score=33.974; p=0.0010115; adjP=0.016369","rank=23; score=2.995; p=0.0010116","rank=178; score=1.5268; p=0.12682; direction=Repressed"
