"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","DoRothEA","TRRUST","CollecTRI"
"1","HIF1A","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","19.33333333333333","2","5","ReMap--ChIP-seq(rank=69); Literature--ChIP-seq(rank=76); GTEx--Coexpression(rank=110); ARCHS4--Coexpression(rank=319); Enrichr--Queries(rank=937)","300","rank=2; score=3.8884; p=0.0001293","rank=17; score=1.9001; p=0.012588","rank=39; score=2.5757; p=0.010003; direction=Activated"
"2","JUN","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","23.66666666666667","17","6","ENCODE--ChIP-seq(rank=13); Literature--ChIP-seq(rank=60); ReMap--ChIP-seq(rank=80); GTEx--Coexpression(rank=438); ARCHS4--Coexpression(rank=468); Enrichr--Queries(rank=654)","442","rank=17; score=2.0586; p=0.0087384","rank=21; score=1.7482; p=0.017858","rank=33; score=2.7392; p=0.0061597; direction=Activated"
"3","STAT3","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","24.66666666666667","16","6","Literature--ChIP-seq(rank=12); ENCODE--ChIP-seq(rank=44); ReMap--ChIP-seq(rank=89); GTEx--Coexpression(rank=421); Enrichr--Queries(rank=994); ARCHS4--Coexpression(rank=1128)","317","rank=30; score=1.7027; p=0.01983","rank=16; score=1.9079; p=0.012363","rank=28; score=2.8108; p=0.0049418; direction=Activated"
"4","CEBPB","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","29.33333333333334","1","6","ENCODE--ChIP-seq(rank=8); Literature--ChIP-seq(rank=69); ReMap--ChIP-seq(rank=150); ARCHS4--Coexpression(rank=401); GTEx--Coexpression(rank=493); Enrichr--Queries(rank=645)","296","rank=11; score=2.5918; p=0.0025599","rank=1; score=3.4817; p=0.00032984","rank=76; score=2.213; p=0.0269; direction=Activated"
"5","LEF1","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","33.33333333333334","18","4","ReMap--ChIP-seq(rank=81); Enrichr--Queries(rank=391); ARCHS4--Coexpression(rank=555); GTEx--Coexpression(rank=588)","834","rank=52; score=1.1247; p=0.075033","rank=30; score=1.3953; p=0.040241","rank=18; score=2.9884; p=0.0028043; direction=Activated"
"6","SP1","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","37.66666666666666","5","5","ENCODE--ChIP-seq(rank=86); ReMap--ChIP-seq(rank=207); GTEx--Coexpression(rank=622); Enrichr--Queries(rank=1331); ARCHS4--Coexpression(rank=1582)","1048","rank=36; score=1.4506; p=0.035433","rank=5; score=2.7862; p=0.0016359","rank=72; score=2.2405; p=0.025056; direction=Activated"
"7","SREBF1","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","42.00000000000000","2","6","ENCODE--ChIP-seq(rank=62); Literature--ChIP-seq(rank=134); ReMap--ChIP-seq(rank=271); GTEx--Coexpression(rank=657); Enrichr--Queries(rank=901); ARCHS4--Coexpression(rank=1229)","1076","rank=98; score=0.5536; p=0.27951","rank=26; score=1.4961; p=0.031907","rank=2; score=3.9666; p=7.2906e-05; direction=Activated"
"8","RUNX2","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","43.00000000000000","16","5","ReMap--ChIP-seq(rank=6); GTEx--Coexpression(rank=24); Literature--ChIP-seq(rank=35); Enrichr--Queries(rank=253); ARCHS4--Coexpression(rank=460)","67","rank=32; score=1.5669; p=0.027106","rank=81; score=0.67464; p=0.21152","rank=16; score=3.0355; p=0.0024014; direction=Activated"
"9","TP63","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","43.66666666666666","7","5","Literature--ChIP-seq(rank=17); Enrichr--Queries(rank=21); GTEx--Coexpression(rank=55); ReMap--ChIP-seq(rank=70); ARCHS4--Coexpression(rank=307)","68","rank=7; score=2.8917; p=0.0012831","rank=56; score=0.83647; p=0.14572","rank=68; score=2.2896; p=0.022042; direction=Activated"
"10","SOX10","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","44.33333333333334","2","4","ReMap--ChIP-seq(rank=49); ARCHS4--Coexpression(rank=143); GTEx--Coexpression(rank=192); Enrichr--Queries(rank=287)","371","rank=35; score=1.4778; p=0.033279","rank=2; score=2.9728; p=0.0010645","rank=96; score=2.0042; p=0.045052; direction=Activated"
