"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","DoRothEA","ChEA3","VIPER","ENRICHR","TRRUST","CollecTRI"
"1","MYC","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","56.16666666666666","9","6","Literature--ChIP-seq(rank=14); ReMap--ChIP-seq(rank=29); ENCODE--ChIP-seq(rank=34); Enrichr--Queries(rank=48); GTEx--Coexpression(rank=521); ARCHS4--Coexpression(rank=1283)","159","rank=9; score=1.9271; p=0.011828","rank=159; score=0.03419","rank=49; score=3.0777; direction=Repressed","rank=88; score=10.308; p=0.0098361; adjP=0.19857","rank=20; score=1.0634; p=0.086421","rank=12; score=3.0716; p=0.0021294; direction=Repressed"
"2","TFDP1","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","60.16666666666667","6","4","Enrichr--Queries(rank=2); ReMap--ChIP-seq(rank=164); ARCHS4--Coexpression(rank=663); GTEx--Coexpression(rank=1332)","6","rank=250; score=0; p=1","rank=6; score=0.001425","rank=28; score=3.6904; direction=Repressed","rank=54; score=69.22; p=0.047944; adjP=0.18614","rank=13; score=1.3193; p=0.047944","rank=10; score=3.1017; p=0.0019243; direction=Repressed"
"3","ESR1","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","61.50000000000000","1","6","Literature--ChIP-seq(rank=1); ReMap--ChIP-seq(rank=1); ENCODE--ChIP-seq(rank=9); Enrichr--Queries(rank=189); ARCHS4--Coexpression(rank=547); GTEx--Coexpression(rank=703)","15","rank=85; score=0.27031; p=0.53665","rank=15; score=0.003367","rank=76; score=2.4696; direction=Activated","rank=1; score=50.981; p=0.00045516; adjP=0.061556","rank=40; score=0.5058; p=0.31204","rank=152; score=1.4266; p=0.15371; direction=Activated"
"4","ESR2","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","75.33333333333333","17","5","Literature--ChIP-seq(rank=2); ReMap--ChIP-seq(rank=107); GTEx--Coexpression(rank=323); Enrichr--Queries(rank=410); ARCHS4--Coexpression(rank=865)","56","rank=126; score=0; p=1","rank=56; score=0.0122","rank=94; score=2.1554; direction=Activated","rank=17; score=36.761; p=0.00047056; adjP=0.061556","rank=98; score=0; p=1","rank=61; score=1.8746; p=0.060852; direction=Activated"
"5","GATA1","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","84.50000000000000","8","6","Literature--ChIP-seq(rank=3); ENCODE--ChIP-seq(rank=37); ReMap--ChIP-seq(rank=188); GTEx--Coexpression(rank=580); ARCHS4--Coexpression(rank=701); Enrichr--Queries(rank=1188)","86","rank=26; score=1.1484; p=0.071056","rank=86; score=0.01829","rank=231; score=0.40295; direction=Activated","rank=16; score=80.605; p=0.0077021; adjP=0.18614","rank=8; score=1.4968; p=0.031856","rank=140; score=1.476; p=0.13995; direction=Activated"
"6","E2F4","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","86.83333333333334","1","6","ENCODE--ChIP-seq(rank=19); Literature--ChIP-seq(rank=44); Enrichr--Queries(rank=84); ReMap--ChIP-seq(rank=231); GTEx--Coexpression(rank=752); ARCHS4--Coexpression(rank=1303)","278","rank=77; score=0.48969; p=0.32382","rank=278; score=0.05983","rank=4; score=6.4874; direction=Repressed","rank=74; score=5.3277; p=0.078232; adjP=0.54923","rank=87; score=0; p=1","rank=1; score=7.5096; p=5.9322e-14; direction=Repressed"
"7","STAT2","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","98.83333333333334","8","5","ENCODE--ChIP-seq(rank=2); ReMap--ChIP-seq(rank=68); Enrichr--Queries(rank=128); ARCHS4--Coexpression(rank=185); GTEx--Coexpression(rank=315)","79","rank=48; score=0.75823; p=0.17449","rank=79; score=0.01695","rank=150; score=1.3498; direction=Activated","rank=8; score=17.987; p=0.010759; adjP=0.45671","rank=289; score=0; p=1","rank=19; score=2.609; p=0.0090805; direction=Activated"
"8","HIF1A","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","99.16666666666666","17","5","Enrichr--Queries(rank=16); GTEx--Coexpression(rank=16); Literature--ChIP-seq(rank=94); ReMap--ChIP-seq(rank=179); ARCHS4--Coexpression(rank=249)","45","rank=45; score=0.78515; p=0.164","rank=45; score=0.009956","rank=235; score=0.34788; direction=Repressed","rank=81; score=14.125; p=0.062624; adjP=0.18614","rank=17; score=1.2033; p=0.062624","rank=172; score=1.3629; p=0.17292; direction=Activated"
"9","SOX9","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","99.33333333333333","16","5","ReMap--ChIP-seq(rank=3); Literature--ChIP-seq(rank=46); ARCHS4--Coexpression(rank=48); Enrichr--Queries(rank=431); GTEx--Coexpression(rank=766)","47","rank=24; score=1.2085; p=0.061878","rank=47; score=0.0101","rank=97; score=2.0962; direction=Activated","rank=132; score=14.77; p=0.13285; adjP=0.22683","rank=280; score=0; p=1","rank=16; score=2.763; p=0.0057277; direction=Activated"
"10","RARA","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","100.00000000000000","27","5","ReMap--ChIP-seq(rank=7); Literature--ChIP-seq(rank=73); GTEx--Coexpression(rank=243); Enrichr--Queries(rank=690); ARCHS4--Coexpression(rank=719)","109","rank=47; score=0.76849; p=0.17042","rank=109; score=0.02357","rank=224; score=0.47732; direction=Activated","rank=129; score=17.382; p=0.11996; adjP=0.21532","rank=27; score=0.92095; p=0.11996","rank=64; score=1.8546; p=0.063652; direction=Activated"
