"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","DoRothEA","VIPER","ENRICHR","TRRUST","CollecTRI"
"1","IRF2","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","22.80000000000000","13","4","ReMap--ChIP-seq(rank=257); ARCHS4--Coexpression(rank=320); Enrichr--Queries(rank=538); GTEx--Coexpression(rank=1289)","686","rank=16; score=1.6366; p=0.023087","rank=19; score=3.5167; direction=Activated","rank=53; score=49.478; p=0.062247; adjP=0.2854","rank=13; score=1.2059; p=0.062247","rank=13; score=2.6322; p=0.0084843; direction=Activated"
"2","MYC","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","40.40000000000000","1","6","Literature--ChIP-seq(rank=18); ENCODE--ChIP-seq(rank=57); ReMap--ChIP-seq(rank=227); GTEx--Coexpression(rank=739); Enrichr--Queries(rank=1263); ARCHS4--Coexpression(rank=1325)","420","rank=103; score=0.22222; p=0.59948","rank=13; score=4.1583; direction=Repressed","rank=50; score=15.126; p=0.0027718; adjP=0.041653","rank=35; score=0.71959; p=0.19073","rank=1; score=4.1226; p=3.7461e-05; direction=Repressed"
"3","GATA3","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","52.40000000000000","4","6","Literature--ChIP-seq(rank=5); ENCODE--ChIP-seq(rank=9); ReMap--ChIP-seq(rank=18); Enrichr--Queries(rank=302); GTEx--Coexpression(rank=483); ARCHS4--Coexpression(rank=488)","131","rank=14; score=1.6823; p=0.020781","rank=40; score=2.7434; direction=Activated","rank=22; score=22.948; p=0.00053101; adjP=0.016958","rank=4; score=1.4312; p=0.03705","rank=182; score=1.4053; p=0.15994; direction=Activated"
"4","IRF1","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","52.60000000000000","28","6","ENCODE--ChIP-seq(rank=88); Literature--ChIP-seq(rank=103); ReMap--ChIP-seq(rank=130); ARCHS4--Coexpression(rank=293); Enrichr--Queries(rank=408); GTEx--Coexpression(rank=1215)","637","rank=58; score=0.64434; p=0.22681","rank=32; score=3.047; direction=Activated","rank=97; score=8.8466; p=0.18203; adjP=0.32986","rank=48; score=0.47308; p=0.33645","rank=28; score=2.3283; p=0.019895; direction=Activated"
"5","MAX","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","56.20000000000000","7","5","ENCODE--ChIP-seq(rank=50); ReMap--ChIP-seq(rank=259); ARCHS4--Coexpression(rank=364); Enrichr--Queries(rank=1148); GTEx--Coexpression(rank=1399)","755","rank=7; score=2.0121; p=0.0097253","rank=86; score=1.8928; direction=Activated","rank=43; score=60.422; p=0.054682; adjP=0.2854","rank=7; score=1.4048; p=0.039369","rank=138; score=1.5725; p=0.11584; direction=Repressed"
"6","STAT1","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","57.60000000000000","20","6","ENCODE--ChIP-seq(rank=20); ReMap--ChIP-seq(rank=80); Literature--ChIP-seq(rank=116); Enrichr--Queries(rank=305); ARCHS4--Coexpression(rank=544); GTEx--Coexpression(rank=778)","604","rank=52; score=0.69222; p=0.20313","rank=28; score=3.2303; direction=Activated","rank=133; score=5.4006; p=0.23915; adjP=0.35303","rank=55; score=0.30856; p=0.49141","rank=20; score=2.4918; p=0.012708; direction=Activated"
"7","REST","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","63.00000000000000","3","6","ENCODE--ChIP-seq(rank=6); Literature--ChIP-seq(rank=29); ReMap--ChIP-seq(rank=78); ARCHS4--Coexpression(rank=338); GTEx--Coexpression(rank=502); Enrichr--Queries(rank=642)","209","rank=3; score=2.3998; p=0.0039825","rank=260; score=0.051371; direction=Repressed","rank=19; score=30.202; p=0.026964; adjP=0.2265","rank=3; score=1.5692; p=0.026964","rank=30; score=2.3185; p=0.020424; direction=Activated"
"8","ESR1","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","71.59999999999999","2","6","Literature--ChIP-seq(rank=9); ENCODE--ChIP-seq(rank=13); ReMap--ChIP-seq(rank=22); Enrichr--Queries(rank=476); GTEx--Coexpression(rank=560); ARCHS4--Coexpression(rank=652)","228","rank=18; score=1.4342; p=0.036795","rank=92; score=1.8047; direction=Activated","rank=12; score=20.577; p=0.0012442; adjP=0.029861","rank=2; score=1.6366; p=0.023087","rank=234; score=1.1334; p=0.25706; direction=Activated"
"9","USF1","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","74.59999999999999","8","5","ENCODE--ChIP-seq(rank=78); ReMap--ChIP-seq(rank=105); Enrichr--Queries(rank=1163); ARCHS4--Coexpression(rank=1208); GTEx--Coexpression(rank=1362)","1038","rank=81; score=0.42267; p=0.37786","rank=160; score=1.0474; direction=Activated","rank=103; score=9.3334; p=0.095482; adjP=0.2854","rank=21; score=1.0201; p=0.095483","rank=8; score=2.9534; p=0.0031427; direction=Activated"
"10","SPI1","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","78.40000000000001","50","6","ENCODE--ChIP-seq(rank=59); Literature--ChIP-seq(rank=119); ReMap--ChIP-seq(rank=212); ARCHS4--Coexpression(rank=499); GTEx--Coexpression(rank=731); Enrichr--Queries(rank=979)","938","rank=50; score=0.70659; p=0.19652","rank=59; score=2.4023; direction=Activated","rank=168; score=9.5729; p=0.0068151; adjP=0.0722","rank=52; score=0.40592; p=0.39272","rank=63; score=1.893; p=0.058356; direction=Activated"
