"Query Name","Rank","TF","Score","Library","Overlapping_Genes","Method","Method_Rank","Method_Score","Method_P_Value","Method_Adjusted_P_Value","Method_Direction","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"DEG_MD_SW480","1","ZNF365","0.000614300000000000","ARCHS4 Coexpression,6.143E-4","TMEM151A,SNAP25,CNTNAP1,DIRAS1,RASGRF1,DIRAS2,OTUD7A,AATK,STMN3,NRGN,JPH3,PHF24,SCN1B,UNC5A,PRKCB,ACSL6,SYP,MAPK8IP2,HPCAL4,OLFM1,SNPH,PITPNM3,KCNMA1,KCNQ2,RAPGEF5,PLCB1,BRSK2,KCNA2,HPCA,NRXN3,ATP1A3,AK5,CABP1,CPLX2,KALRN,TTBK1,PDZD4,MAP2,TPPP,ATP9A,BEND6,ANKRD24,ATRNL1,PDE2A,B3GAT1,KIAA1549L,GRIN2B,STXBP5L,DLG4,FAM131B,APBA1","chea3","1","0.000614300000000000",NA,NA,"","3","ARCHS4--Coexpression(rank=1); Enrichr--Queries(rank=7); GTEx--Coexpression(rank=55)","1","0.000614300000000000","ARCHS4 Coexpression,6.143E-4"
"DEG_MD_SW480","2","CAMTA2","0.000622300000000000","GTEx Coexpression,6.223E-4","SNAP25,CNTNAP1,BRSK2,ATP8A2,SLC35F3,KCNA2,RASGRF1,DIRAS2,STMN3,CPLX2,SEZ6L2,TTBK1,BEGAIN,TRIM9,PDZD4,JPH3,PCLO,SPOCK2,GDAP1L1,B4GALNT1,SRGAP3,KIAA0319,PDZD7,BEND6,LZTS3,UNC5A,KIAA1549L,TTC7B,ACSL6,SYP,MAPK8IP2,HPCAL4,STXBP5L,GPR137C,PPP1R3F,FAM234B,SNPH,DLG4,FAM131B,KCNQ2,TMEM229B","chea3","2","0.000622300000000000",NA,NA,"","3","GTEx--Coexpression(rank=1); ARCHS4--Coexpression(rank=164); Enrichr--Queries(rank=936)","2","0.000622300000000000","GTEx Coexpression,6.223E-4"
"DEG_MD_SW480","3","GLI3","0.000712300000000000","Enrichr Queries,7.123E-4","SEMA5A,NRP1,SPARC,BNC2,TENM4,TNC,RORA,PLAT,SLC7A11,ANTXR1,IGF1R,LOXL2,ROBO1,TMEM47,LGALS1,CCND2,DPYSL3,GRB10,TIMP3,DST,IGFBP3,TPM1,ETV1,ANK3,HSPG2,SORCS2,FOXP1,RUNX1,TGFBR3,MN1,MAF,SETBP1,COL4A2,MAP1B,COL6A2,KCNMA1,CDH11,GAS1,PLCB1,PLPP3,ZFPM2,SGK1,NOTCH3,AHNAK,SEMA3A,NTM,GLIS3,SLC1A3,EFNA5,LTBP1,THBS1,ATXN1,PDGFC,SLIT1,LRIG1,NCAM1,NTRK2,TGFB2,PRRX1,AUTS2,CAV1,FZD7,IGF1,PTPN13,PTPN14,COL1A1,BMP4,KITLG,DAB2,KIF26B,COL5A2,SNAI2,VIM,CDK14","chea3","3","0.000712300000000000",NA,NA,"","3","Enrichr--Queries(rank=1); ARCHS4--Coexpression(rank=28); GTEx--Coexpression(rank=139)","3","0.000712300000000000","Enrichr Queries,7.123E-4"
"DEG_MD_SW480","4","ARNT2","0.001229000000000000","ARCHS4 Coexpression,0.001229","TMEM151A,SNAP25,CNTNAP1,DIRAS1,RASGRF1,DIRAS2,AATK,STMN3,NRGN,RIMS4,JPH3,PSD2,CAMKV,KIF5C,PHF24,UNC5A,SYP,MAPK8IP2,HPCAL4,OLFM1,GPRC5B,SNPH,DAAM2,FEZ1,PITPNM3,KCNQ2,RAPGEF5,BRSK2,KCNA2,HPCA,ATP1A3,AK5,CPLX2,KALRN,TTBK1,PDZD4,MAP2,NCAM1,TPPP,SCN3B,ATP9A,KCNJ10,PDE2A,B3GAT1,KIAA1549L,GRIN2B,DLG4,FAM131B,APBA1","chea3","4","0.001229000000000000",NA,NA,"","3","ARCHS4--Coexpression(rank=2); Enrichr--Queries(rank=9); GTEx--Coexpression(rank=39)","4","0.001229000000000000","ARCHS4 Coexpression,0.001229"
"DEG_MD_SW480","5","ST18","0.001245000000000000","GTEx Coexpression,0.001245","TMEM151A,GNAZ,MEGF10,NTM,RASGRF1,DIRAS2,OTUD7A,SLAIN1,TMTC4,TMEM144,TRIM9,TUBA1A,PCLO,GJC2,KIF5C,SPOCK2,CHN2,MVB12B,FGF20,SPOCK1,SRGAP3,CEP97,PDZD7,BEND6,PAQR8,KCNJ10,KCNK10,WSCD1,ANK3,KIF6,GPR137C,TIAM1,GPRC5B,DBNDD2,FEZ1,FAM131B,MAP1B,CNTN2,RAPGEF5,MAPRE2","chea3","5","0.001245000000000000",NA,NA,"","3","GTEx--Coexpression(rank=2); ARCHS4--Coexpression(rank=229); Enrichr--Queries(rank=257)","5","0.001245000000000000","GTEx Coexpression,0.001245"
"DEG_MD_SW480","6","ZFHX4","0.001425000000000000","Enrichr Queries,0.001425","SEMA5A,NRP1,TENM1,SPARC,BNC2,TENM4,TNC,RORA,SLC7A11,ANTXR2,ANTXR1,LOXL2,ROBO1,CCND2,ALCAM,DACH1,DPYSL3,ENPP2,TIMP3,DACT1,CADPS2,DST,IGFBP3,ETV1,EBF3,ANK3,SORCS2,FOXP1,TGFBR3,MN1,MAF,SETBP1,COL4A2,MAP1B,PAPPA,COL6A2,KCNMA1,CDH11,GAS1,PLPP3,ZFPM2,SGK1,PHLDB2,VGLL3,AHNAK,SEMA3A,SLC1A3,EFNA5,KALRN,HDAC9,LTBP1,THBS1,OLFML3,PDGFC,SLIT1,PLXNA2,LRIG1,HAS2,DMD,NCAM1,FLNC,NTRK2,TGFB2,PRRX1,AUTS2,IGF1,COL1A1,KITLG,DAB2,KIF26B,COL5A2,VIM,CDK14","chea3","6","0.001425000000000000",NA,NA,"","3","Enrichr--Queries(rank=2); ARCHS4--Coexpression(rank=103); GTEx--Coexpression(rank=589)","6","0.001425000000000000","Enrichr Queries,0.001425"
"DEG_MD_SW480","7","CUX2","0.001843000000000000","ARCHS4 Coexpression,0.001843","ATP8A2,TENM4,DIRAS1,STMN3,SLC2A2,NRGN,RIMS4,JPH3,CAMKV,KIF5C,DPYSL3,PHF24,UNC5A,UBE2QL1,SYP,MAT1A,MAPK8IP2,HPCAL4,OLFM1,MN1,SNPH,MAP1B,KCNQ2,BRSK2,KCNA2,ATP1A3,AKAP6,CPLX2,SEZ6L2,KALRN,TTBK1,NKAIN1,PDZD4,MAP2,PLXNA2,NCAM1,TPPP,SCN3B,ATP9A,MARK1,AUTS2,ANKRD24,B3GAT1,KIAA1549L,GRIN2B,DLG4,WNK2,FAM131B,APBA1","chea3","7","0.001843000000000000",NA,NA,"","3","ARCHS4--Coexpression(rank=3); Enrichr--Queries(rank=136); GTEx--Coexpression(rank=825)","7","0.001843000000000000","ARCHS4 Coexpression,0.001843"
"DEG_MD_SW480","8","GLI1","0.001867000000000000","GTEx Coexpression,0.001867","SHC4,SEMA5A,SLC22A3,ST6GALNAC2,SPARC,AHNAK,BNC2,ITGB4,SLC44A2,PROS1,AATK,PRICKLE1,PEAR1,LCTL,NCMAP,GLDN,BEST1,SLC25A48,SENP7,CST1,ZMAT1,SH3PXD2A,MPZ,DMD,DACT1,TLE1,MIA,PTCH2,GAB1,SORCS2,SFRP5,IL1RAPL1,PLXNB3,PMP22,VIM,UTRN,RGL1,KANK4","chea3","8","0.001867000000000000",NA,NA,"","4","GTEx--Coexpression(rank=3); Literature--ChIP-seq(rank=88); Enrichr--Queries(rank=109); ARCHS4--Coexpression(rank=691)","8","0.001867000000000000","GTEx Coexpression,0.001867"
"DEG_MD_SW480","9","BNC2","0.002137000000000000","Enrichr Queries,0.002137","SEMA5A,NRP1,SPON1,SPARC,TENM4,TNC,RORA,ANTXR1,LOXL2,ROBO1,LGALS1,SH3PXD2A,DPYSL3,ENPP2,TIMP3,DACT1,IGFBP3,TPM1,ETV1,ANK3,SORCS2,FOXP1,RUNX1,ADAM19,TGFBR3,MN1,MAF,COL4A2,MAP1B,PAPPA,COL6A2,KCNMA1,CDH11,GAS1,PLPP3,ZFPM2,SGK1,PHLDB2,VGLL3,AHNAK,SEMA3A,NTM,GLIS3,SLC1A3,PRICKLE1,EFNA5,LTBP1,THBS1,CLMP,OLFML3,PDGFC,SLIT1,LRIG1,HAS2,CCL2,SPOCK1,NCAM1,FLNC,CTHRC1,TGFB2,PRRX1,AUTS2,CAV1,IGF1,COL1A1,DAB2,KIF26B,COL5A2,SNAI2,VIM,RGL1,CDK14","chea3","9","0.002137000000000000",NA,NA,"","3","Enrichr--Queries(rank=3); ARCHS4--Coexpression(rank=34); GTEx--Coexpression(rank=275)","9","0.002137000000000000","Enrichr Queries,0.002137"
"DEG_MD_SW480","10","POU6F1","0.002457000000000000","ARCHS4 Coexpression,0.002457","TMEM151A,SNAP25,CNTNAP1,DIRAS1,RASGRF1,DIRAS2,OTUD7A,AATK,STMN3,NRGN,RIMS4,JPH3,CAMKV,PHF24,SCN1B,UNC5A,ACSL6,SYP,MAPK8IP2,HPCAL4,OLFM1,GPRC5B,SNPH,FEZ1,PITPNM3,KCNQ2,BRSK2,KCNA2,HPCA,NRXN3,ATP1A3,AK5,CABP1,CPLX2,TTBK1,PDZD4,MAP2,SPOCK2,NCAM1,TPPP,SCN3B,ATP9A,KCNJ10,PDE2A,B3GAT1,DLG4,FAM131B,APBA1","chea3","10","0.002457000000000000",NA,NA,"","3","ARCHS4--Coexpression(rank=4); GTEx--Coexpression(rank=44); Enrichr--Queries(rank=478)","10","0.002457000000000000","ARCHS4 Coexpression,0.002457"
"DEG_MD_SW480","11","MYCN","0.002489000000000000","GTEx Coexpression,0.002489","SHC4,TMEM151A,SEMA5A,NLGN3,APP,MYRF,ATP8A1,AATK,SLAIN1,LCTL,DTX4,NCMAP,TMTC4,TMEM144,SLC25A48,TUBA1A,GJC2,MVB12B,KCNMB4,SLITRK5,NCAM1,PAQR8,KRT71,KCNJ10,B3GAT1,KRT35,KIF6,SORCS2,MOB3B,C1QL1,GPRC5B,FEZ1,IL1RAPL1,PLXNB3,PMP22,CNTN2,RAPGEF5,KANK4","chea3","11","0.002489000000000000",NA,NA,"","5","GTEx--Coexpression(rank=4); Literature--ChIP-seq(rank=114); ReMap--ChIP-seq(rank=223); Enrichr--Queries(rank=497); ARCHS4--Coexpression(rank=969)","11","0.002489000000000000","GTEx Coexpression,0.002489"
