"Method","Input_Type","Input_Name","Gene_Count","Rank_Conditions","Output_Directory","Result_Tables"
"chea3","DEG","HD_ALL","978","HD_ALL","results/ngs/GSE299428/TF/DEG/HD_ALL/chea3","8"
"chea3","DEG","HD_HCT116","4054","HD_HCT116","results/ngs/GSE299428/TF/DEG/HD_HCT116/chea3","8"
"chea3","DEG","HD_SW480","3891","HD_SW480","results/ngs/GSE299428/TF/DEG/HD_SW480/chea3","8"
"chea3","DEG","LD_ALL","98","LD_ALL","results/ngs/GSE299428/TF/DEG/LD_ALL/chea3","8"
"chea3","DEG","LD_HCT116","999","LD_HCT116","results/ngs/GSE299428/TF/DEG/LD_HCT116/chea3","8"
"chea3","DEG","LD_SW480","905","LD_SW480","results/ngs/GSE299428/TF/DEG/LD_SW480/chea3","8"
"chea3","DEG","MD_ALL","160","MD_ALL","results/ngs/GSE299428/TF/DEG/MD_ALL/chea3","8"
"chea3","DEG","MD_HCT116","1411","MD_HCT116","results/ngs/GSE299428/TF/DEG/MD_HCT116/chea3","8"
"chea3","DEG","MD_SW480","1099","MD_SW480","results/ngs/GSE299428/TF/DEG/MD_SW480/chea3","8"
"chea3","INTERSECT","ALL_ANALYSES","1","HD_ALL;HD_HCT116;HD_SW480;LD_ALL;LD_HCT116;LD_SW480;MD_ALL;MD_HCT116;MD_SW480","results/ngs/GSE299428/TF/intersect/ALL_ANALYSES/chea3","1"
"collectri","DEG","HD_ALL","978","HD_ALL","results/ngs/GSE299428/TF/DEG/HD_ALL/collectri","1"
"collectri","DEG","HD_HCT116","4054","HD_HCT116","results/ngs/GSE299428/TF/DEG/HD_HCT116/collectri","1"
"collectri","DEG","HD_SW480","3891","HD_SW480","results/ngs/GSE299428/TF/DEG/HD_SW480/collectri","1"
"collectri","DEG","LD_ALL","98","LD_ALL","results/ngs/GSE299428/TF/DEG/LD_ALL/collectri","1"
"collectri","DEG","LD_HCT116","999","LD_HCT116","results/ngs/GSE299428/TF/DEG/LD_HCT116/collectri","1"
"collectri","DEG","LD_SW480","905","LD_SW480","results/ngs/GSE299428/TF/DEG/LD_SW480/collectri","1"
"collectri","DEG","MD_ALL","160","MD_ALL","results/ngs/GSE299428/TF/DEG/MD_ALL/collectri","1"
"collectri","DEG","MD_HCT116","1411","MD_HCT116","results/ngs/GSE299428/TF/DEG/MD_HCT116/collectri","1"
"collectri","DEG","MD_SW480","1099","MD_SW480","results/ngs/GSE299428/TF/DEG/MD_SW480/collectri","1"
"collectri","INTERSECT","ALL_ANALYSES","1","HD_ALL;HD_HCT116;HD_SW480;LD_ALL;LD_HCT116;LD_SW480;MD_ALL;MD_HCT116;MD_SW480","results/ngs/GSE299428/TF/intersect/ALL_ANALYSES/collectri","1"
"dorothea","DEG","HD_ALL","978","HD_ALL","results/ngs/GSE299428/TF/DEG/HD_ALL/dorothea","1"
"dorothea","DEG","HD_HCT116","4054","HD_HCT116","results/ngs/GSE299428/TF/DEG/HD_HCT116/dorothea","1"
"dorothea","DEG","HD_SW480","3891","HD_SW480","results/ngs/GSE299428/TF/DEG/HD_SW480/dorothea","1"
"dorothea","DEG","LD_ALL","98","LD_ALL","results/ngs/GSE299428/TF/DEG/LD_ALL/dorothea","1"
"dorothea","DEG","LD_HCT116","999","LD_HCT116","results/ngs/GSE299428/TF/DEG/LD_HCT116/dorothea","1"
"dorothea","DEG","LD_SW480","905","LD_SW480","results/ngs/GSE299428/TF/DEG/LD_SW480/dorothea","1"
"dorothea","DEG","MD_ALL","160","MD_ALL","results/ngs/GSE299428/TF/DEG/MD_ALL/dorothea","1"
"dorothea","DEG","MD_HCT116","1411","MD_HCT116","results/ngs/GSE299428/TF/DEG/MD_HCT116/dorothea","1"
"dorothea","DEG","MD_SW480","1099","MD_SW480","results/ngs/GSE299428/TF/DEG/MD_SW480/dorothea","1"
"dorothea","INTERSECT","ALL_ANALYSES","1","HD_ALL;HD_HCT116;HD_SW480;LD_ALL;LD_HCT116;LD_SW480;MD_ALL;MD_HCT116;MD_SW480","results/ngs/GSE299428/TF/intersect/ALL_ANALYSES/dorothea","1"
"enrichr","DEG","HD_ALL","978","HD_ALL","results/ngs/GSE299428/TF/DEG/HD_ALL/enrichr","5"
"enrichr","DEG","HD_HCT116","4054","HD_HCT116","results/ngs/GSE299428/TF/DEG/HD_HCT116/enrichr","5"
"enrichr","DEG","HD_SW480","3891","HD_SW480","results/ngs/GSE299428/TF/DEG/HD_SW480/enrichr","5"
"enrichr","DEG","LD_ALL","98","LD_ALL","results/ngs/GSE299428/TF/DEG/LD_ALL/enrichr","5"
"enrichr","DEG","LD_HCT116","999","LD_HCT116","results/ngs/GSE299428/TF/DEG/LD_HCT116/enrichr","5"
"enrichr","DEG","LD_SW480","905","LD_SW480","results/ngs/GSE299428/TF/DEG/LD_SW480/enrichr","5"
"enrichr","DEG","MD_ALL","160","MD_ALL","results/ngs/GSE299428/TF/DEG/MD_ALL/enrichr","5"
"enrichr","DEG","MD_HCT116","1411","MD_HCT116","results/ngs/GSE299428/TF/DEG/MD_HCT116/enrichr","5"
"enrichr","DEG","MD_SW480","1099","MD_SW480","results/ngs/GSE299428/TF/DEG/MD_SW480/enrichr","5"
"enrichr","INTERSECT","ALL_ANALYSES","1","HD_ALL;HD_HCT116;HD_SW480;LD_ALL;LD_HCT116;LD_SW480;MD_ALL;MD_HCT116;MD_SW480","results/ngs/GSE299428/TF/intersect/ALL_ANALYSES/enrichr","1"
"trrust","DEG","HD_ALL","978","HD_ALL","results/ngs/GSE299428/TF/DEG/HD_ALL/trrust","1"
"trrust","DEG","HD_HCT116","4054","HD_HCT116","results/ngs/GSE299428/TF/DEG/HD_HCT116/trrust","1"
"trrust","DEG","HD_SW480","3891","HD_SW480","results/ngs/GSE299428/TF/DEG/HD_SW480/trrust","1"
"trrust","DEG","LD_ALL","98","LD_ALL","results/ngs/GSE299428/TF/DEG/LD_ALL/trrust","1"
"trrust","DEG","LD_HCT116","999","LD_HCT116","results/ngs/GSE299428/TF/DEG/LD_HCT116/trrust","1"
"trrust","DEG","LD_SW480","905","LD_SW480","results/ngs/GSE299428/TF/DEG/LD_SW480/trrust","1"
"trrust","DEG","MD_ALL","160","MD_ALL","results/ngs/GSE299428/TF/DEG/MD_ALL/trrust","1"
"trrust","DEG","MD_HCT116","1411","MD_HCT116","results/ngs/GSE299428/TF/DEG/MD_HCT116/trrust","1"
"trrust","DEG","MD_SW480","1099","MD_SW480","results/ngs/GSE299428/TF/DEG/MD_SW480/trrust","1"
"trrust","INTERSECT","ALL_ANALYSES","1","HD_ALL;HD_HCT116;HD_SW480;LD_ALL;LD_HCT116;LD_SW480;MD_ALL;MD_HCT116;MD_SW480","results/ngs/GSE299428/TF/intersect/ALL_ANALYSES/trrust","1"
"viper","DEG","HD_ALL","978","HD_ALL","results/ngs/GSE299428/TF/DEG/HD_ALL/viper","1"
"viper","DEG","HD_HCT116","4054","HD_HCT116","results/ngs/GSE299428/TF/DEG/HD_HCT116/viper","1"
"viper","DEG","HD_SW480","3891","HD_SW480","results/ngs/GSE299428/TF/DEG/HD_SW480/viper","1"
"viper","DEG","LD_ALL","98","LD_ALL","results/ngs/GSE299428/TF/DEG/LD_ALL/viper","1"
"viper","DEG","LD_HCT116","999","LD_HCT116","results/ngs/GSE299428/TF/DEG/LD_HCT116/viper","1"
"viper","DEG","LD_SW480","905","LD_SW480","results/ngs/GSE299428/TF/DEG/LD_SW480/viper","1"
"viper","DEG","MD_ALL","160","MD_ALL","results/ngs/GSE299428/TF/DEG/MD_ALL/viper","1"
"viper","DEG","MD_HCT116","1411","MD_HCT116","results/ngs/GSE299428/TF/DEG/MD_HCT116/viper","1"
"viper","DEG","MD_SW480","1099","MD_SW480","results/ngs/GSE299428/TF/DEG/MD_SW480/viper","1"
"viper","INTERSECT","ALL_ANALYSES","1","HD_ALL;HD_HCT116;HD_SW480;LD_ALL;LD_HCT116;LD_SW480;MD_ALL;MD_HCT116;MD_SW480","results/ngs/GSE299428/TF/intersect/ALL_ANALYSES/viper","1"
