"TF","LD_SW480"
"AHR","2.212006203358491518"
"AR","1.435212711815816888"
"ARID2","-0.299241456497445935"
"ARID3A","2.991430409738580654"
"ARNT","2.301419921364817878"
"ARNTL","1.452401988984368231"
"ASCL1","4.634257764899025744"
"ATF1","0.804602010232132292"
"ATF2","-0.387004692856358801"
"ATF3","-1.744036035452568800"
"ATF4","-2.961122032283673100"
"ATF6","0.297784919293322736"
"ATF7","2.019001943463573756"
"BACH1","-0.813257494751567278"
"BACH2","2.219427313462131401"
"BATF","1.774281048284218842"
"BCL11A","2.914110515888749031"
"BCL6","-1.655026379177940266"
"BHLHE22","-1.927488841722118096"
"BHLHE40","-3.712977391542281680"
"CDX2","0.763507157143736404"
"CEBPA","3.338056302174675416"
"CEBPB","2.002263899280670945"
"CEBPD","0.574364676592005519"
"CEBPG","1.457437398096293357"
"CLOCK","1.034149684695633065"
"CREB1","0.839025723382606836"
"CREB3","1.844092881761066893"
"CREB3L1","0.902427459810036359"
"CREM","3.091051323082155022"
"CTCF","1.059432543808229488"
"CTCFL","-1.044908254596924380"
"CUX1","2.310106603908779643"
"DUX4","1.874436293772519857"
"E2F1","-1.174674206038068158"
"E2F2","-1.184094401259474738"
"E2F3","0.469715137932086524"
"E2F4","-0.848574893003823938"
"E2F5","0.325972557134182439"
"E2F6","-1.123398245674599005"
"E2F7","0.613041647861714556"
"EBF1","2.797477468759054897"
"EGR1","1.015561307339136299"
"EHF","0.084710995670682868"
"ELF1","2.751826100035604128"
"ELF3","5.451594406911970836"
"ELF5","-0.104136619831642047"
"ELK1","-0.683496149511577222"
"ELK4","-0.268846757940186032"
"EOMES","3.414720728900104696"
"EPAS1","0.592173152368367539"
"ERG","-0.922012354063566186"
"ESR1","2.359016112146354871"
"ESR2","0.855833063184243570"
"ESRRA","3.025195312886430177"
"ETS1","-1.887186346816560611"
"ETS2","-2.393910720024251315"
"ETV1","2.329257845826546269"
"ETV4","-0.307762281623735812"
"FLI1","-1.310730199018412145"
"FOS","1.019613087405650154"
"FOSL1","0.496166753487788270"
"FOSL2","0.130296497120514165"
"FOXA1","3.564072911320856463"
"FOXA2","0.763309890336583585"
"FOXJ2","-0.376185890645366894"
"FOXK2","0.805657595382862191"
"FOXL2","-0.213898821340101103"
"FOXM1","0.374832631618773060"
"FOXO1","1.295573358627341687"
"FOXO3","2.965992590136064866"
"FOXO4","1.336036997566507845"
"FOXP1","-6.231460375991857426"
"FOXP2","-3.310621168243662815"
"GABPA","2.217587951317984807"
"GATA1","0.949377348478999572"
"GATA2","0.977585631837845193"
"GATA3","-0.838147696633627759"
"GATA4","0.190767334082744322"
"GATA6","1.524197598150561994"
"GFI1B","3.607660068190040370"
"GLI2","1.749888631858754540"
"GRHL2","4.141235190092165119"
"HBP1","-1.610450882442038267"
"HHEX","-0.259551928601838677"
"HIF1A","1.898609811987222118"
"HINFP","2.080783786161817694"
"HMBOX1","-3.640850078883037355"
"HNF1A","1.125432454910178848"
"HNF1B","2.741809613866425632"
"HNF4A","2.840268586518734040"
"HNF4G","4.238299140820674715"
"HOXA9","1.534587635737473477"
"HOXB13","3.884010616619675282"
"HSF1","0.558130068868720297"
"IKZF1","3.078714839747289211"
"IRF1","0.634344168733285030"
