"statistic","source","condition","score","p_value","TF","Rank","Method","Method_Rank","Method_Score","Method_P_Value","Method_Adjusted_P_Value","Method_Direction","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"ora","STAT3","MD_HCT116","5.20453809748019491","0.000006243985739554485","STAT3","1","trrust","1","5.20453809748019491","0.000006243985739554485",NA,"","6","ENCODE--ChIP-seq(rank=15); Literature--ChIP-seq(rank=38); ReMap--ChIP-seq(rank=108); GTEx--Coexpression(rank=511); Enrichr--Queries(rank=622); ARCHS4--Coexpression(rank=801)","454","0.12709999999999999","ENCODE ChIP-seq,0.1271"
"ora","RELA","MD_HCT116","5.11402632391600864","0.000007690838223525511","RELA","2","trrust","2","5.11402632391600864","0.000007690838223525511",NA,"","6","Literature--ChIP-seq(rank=18); ENCODE--ChIP-seq(rank=48); ReMap--ChIP-seq(rank=152); Enrichr--Queries(rank=836); GTEx--Coexpression(rank=843); ARCHS4--Coexpression(rank=1533)","399","0.10979999999999999","Literature ChIP-seq,0.1098"
"ora","NFKB1","MD_HCT116","4.68835844722577821","0.000020494699398210784","NFKB1","3","trrust","3","4.68835844722577821","0.000020494699398210784",NA,"","4","ReMap--ChIP-seq(rank=141); ARCHS4--Coexpression(rank=378); Enrichr--Queries(rank=432); GTEx--Coexpression(rank=1213)","727","0.23219999999999999","ARCHS4 Coexpression,0.2322"
"ora","SP1","MD_HCT116","4.59439356722698644","0.000025445233043651323","SP1","4","trrust","4","4.59439356722698644","0.000025445233043651323",NA,"","5","ENCODE--ChIP-seq(rank=50); ReMap--ChIP-seq(rank=91); GTEx--Coexpression(rank=445); Enrichr--Queries(rank=1220); ARCHS4--Coexpression(rank=1553)","840","0.27689999999999998","GTEx Coexpression,0.2769"
"ora","TCF4","MD_HCT116","4.51428171013257629","0.000030599778997775421","TCF4","5","trrust","5","4.51428171013257629","0.000030599778997775421",NA,"","5","Literature--ChIP-seq(rank=31); ReMap--ChIP-seq(rank=41); Enrichr--Queries(rank=358); ARCHS4--Coexpression(rank=768); GTEx--Coexpression(rank=815)","489","0.13800000000000001","ReMap ChIP-seq,0.138"
"ora","CTNNB1","MD_HCT116","4.10467314980793052","0.000078582682568440016","CTNNB1","6","trrust","6","4.10467314980793052","0.000078582682568440016",NA,"","0","",NA,NA,NA
"ora","KLF5","MD_HCT116","3.86688356153886259","0.000135867767210241103","KLF5","7","trrust","7","3.86688356153886259","0.000135867767210241103",NA,"","5","GTEx--Coexpression(rank=7); ARCHS4--Coexpression(rank=9); ReMap--ChIP-seq(rank=18); Enrichr--Queries(rank=29); Literature--ChIP-seq(rank=56)","20","0.00435600000000000","GTEx Coexpression,0.004356"
"ora","HIF1A","MD_HCT116","3.70608276547835258","0.000196751129638283778","HIF1A","8","trrust","8","3.70608276547835258","0.000196751129638283778",NA,"","5","ReMap--ChIP-seq(rank=13); Literature--ChIP-seq(rank=69); ARCHS4--Coexpression(rank=99); Enrichr--Queries(rank=364); GTEx--Coexpression(rank=923)","186","0.04377000000000000","ReMap ChIP-seq,0.04377"
"ora","EP300","MD_HCT116","3.35438829667339844","0.000442192837084441908","EP300","9","trrust","9","3.35438829667339844","0.000442192837084441908",NA,"","0","",NA,NA,NA
"ora","HOXA1","MD_HCT116","3.13895717760389559","0.000726177556617777962","HOXA1","10","trrust","10","3.13895717760389559","0.000726177556617777962",NA,"","3","GTEx--Coexpression(rank=272); Enrichr--Queries(rank=273); ARCHS4--Coexpression(rank=400)","573","0.16930000000000001","GTEx Coexpression,0.1693"
