"TF","LD_ALL"
"AHR","0.90449480148575434"
"AR","-0.64650179076105296"
"ARID2","-1.16048937990050449"
"ARID3A","3.32487155413217605"
"ARNT","1.06698816949276098"
"ARNTL","2.40113782620633831"
"ASCL1","4.91562673040917719"
"ATF1","1.37483076849470409"
"ATF2","-0.49262129112191311"
"ATF3","-1.50054851615573526"
"ATF4","-1.86806776285291853"
"ATF6","0.51276941945856258"
"ATF7","2.35414475640601539"
"BACH1","-0.51325948206317562"
"BACH2","2.24410823800027703"
"BATF","2.94555404747599381"
"BCL11A","2.56087728010341431"
"BCL6","-2.20193987150059600"
"BHLHE22","-1.03109951980715331"
"BHLHE40","-4.28728539658477281"
"CDX2","0.74058972044293125"
"CEBPA","0.80396673568247889"
"CEBPB","1.51306002232362502"
"CEBPD","0.02001287789271239"
"CEBPG","1.63199915269285323"
"CLOCK","4.03215884515090206"
"CREB1","0.70908152625742760"
"CREB3","1.11189006275280833"
"CREB3L1","0.37387448113460342"
"CREM","2.75379651224483313"
"CTCF","1.48478590207094974"
"CTCFL","2.05595304668628032"
"CUX1","2.63410150456825765"
"DUX4","0.26148429557719732"
"E2F1","-3.98027748476633780"
"E2F2","-4.09460251189168645"
"E2F3","-1.15144499717795967"
"E2F4","-6.48735022301319741"
"E2F5","-1.38923079364297331"
"E2F6","-2.90970578017620651"
"E2F7","-0.80129655750129514"
"EBF1","3.96048210272092005"
"EGR1","1.11590785553276728"
"EHF","1.58173519534047857"
"ELF1","3.14601831231472762"
"ELF3","3.06576752304402866"
"ELF5","-1.79780488327035637"
"ELK1","0.46216214684093954"
"ELK4","1.10075703580692696"
"EOMES","2.14626481937733038"
"EPAS1","0.91221929812230396"
"ERG","-0.25579734077667582"
"ESR1","2.46963630894554331"
"ESR2","2.15537007945370673"
"ESRRA","4.14077917635372295"
"ETS1","0.97094978785216024"
"ETS2","-1.54150816599140938"
"ETV1","2.08809749715776061"
"ETV4","-0.57068366053371455"
"FLI1","-0.80941558484097942"
"FOS","1.00019987357246687"
"FOSL1","-0.73387652794407510"
"FOSL2","0.67243284627524968"
"FOXA1","2.78532786736575888"
"FOXA2","0.24176966143415962"
"FOXJ2","-1.37472962723350989"
"FOXK2","1.90067152279760121"
"FOXL2","-1.18587481664919281"
"FOXM1","-1.51572810503522359"
"FOXO1","1.04579564694191518"
"FOXO3","2.69692712689660974"
"FOXO4","0.72008661059828616"
"FOXP1","-3.29629219661348971"
"FOXP2","-2.09265405092268475"
"GABPA","1.33953950527673427"
"GATA1","0.40295303471269206"
