"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","ChEA3","ENRICHR","CollecTRI"
"1","SMAD4","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","64.66666666666667","1","5","ReMap--ChIP-seq(rank=12); Literature--ChIP-seq(rank=17); GTEx--Coexpression(rank=1211); Enrichr--Queries(rank=1256); ARCHS4--Coexpression(rank=1350)","176","rank=176; score=0.0404","rank=17; score=37.996; p=5.1761e-10; adjP=9.9674e-09","rank=1; score=6.2334; p=4.565e-10; direction=Activated"
"2","ATF4","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","67.00000000000000","6","4","ReMap--ChIP-seq(rank=8); GTEx--Coexpression(rank=105); Enrichr--Queries(rank=1175); ARCHS4--Coexpression(rank=1559)","118","rank=118; score=0.02694","rank=6; score=78.259; p=1.253e-05; adjP=0.0024872","rank=77; score=2.8173; p=0.0048432; direction=Repressed"
"3","TP63","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","78.33333333333333","29","5","Literature--ChIP-seq(rank=13); Enrichr--Queries(rank=40); ReMap--ChIP-seq(rank=134); ARCHS4--Coexpression(rank=143); GTEx--Coexpression(rank=401)","124","rank=124; score=0.02849","rank=29; score=44.823; p=4.6394e-12; adjP=1.1614e-10","rank=82; score=2.7286; p=0.0063598; direction=Activated"
"4","MTF2","ChEA3;ENRICHR;CollecTRI","3","ChEA3;ENRICHR;CollecTRI","81.00000000000000","5","3","Literature--ChIP-seq(rank=1); ARCHS4--Coexpression(rank=1323); GTEx--Coexpression(rank=1324)","26","rank=26; score=0.006098","rank=5; score=320.13; p=4.8136e-47; adjP=1.8075e-44","rank=212; score=1.6544; p=0.098038; direction=Repressed"
"5","AR","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","83.00000000000000","21","5","Literature--ChIP-seq(rank=26); ReMap--ChIP-seq(rank=39); Enrichr--Queries(rank=45); ARCHS4--Coexpression(rank=549); GTEx--Coexpression(rank=636)","141","rank=141; score=0.03205","rank=21; score=26.572; p=1.568e-07; adjP=1.9626e-06","rank=87; score=2.6571; p=0.0078813; direction=Activated"
"6","RUNX2","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","90.00000000000000","72","5","ReMap--ChIP-seq(rank=5); Literature--ChIP-seq(rank=12); GTEx--Coexpression(rank=26); Enrichr--Queries(rank=65); ARCHS4--Coexpression(rank=208)","72","rank=72; score=0.01618","rank=81; score=46.855; p=2.4728e-12; adjP=6.8779e-11","rank=117; score=2.2343; p=0.025465; direction=Activated"
"7","IRF9","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","96.00000000000000","83","4","GTEx--Coexpression(rank=31); ARCHS4--Coexpression(rank=84); ReMap--ChIP-seq(rank=147); Enrichr--Queries(rank=170)","83","rank=83; score=0.01929","rank=91; score=50.584; p=0.0075222; adjP=0.090495","rank=114; score=2.2691; p=0.02326; direction=Activated"
"8","STAT1","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","98.33333333333333","11","6","ENCODE--ChIP-seq(rank=7); ReMap--ChIP-seq(rank=16); ARCHS4--Coexpression(rank=95); Literature--ChIP-seq(rank=136); Enrichr--Queries(rank=270); GTEx--Coexpression(rank=1038)","224","rank=224; score=0.05387","rank=60; score=13.277; p=0.002641; adjP=0.0081959","rank=11; score=4.2557; p=2.0838e-05; direction=Activated"
"9","SOX2","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","98.66666666666666","8","5","Literature--ChIP-seq(rank=2); ReMap--ChIP-seq(rank=48); GTEx--Coexpression(rank=167); Enrichr--Queries(rank=269); ARCHS4--Coexpression(rank=326)","55","rank=55; score=0.0122","rank=8; score=175.83; p=8.6046e-30; adjP=9.2315e-28","rank=233; score=1.5799; p=0.11412; direction=Activated"
"10","WT1","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","100.00000000000000","9","4","Literature--ChIP-seq(rank=4); Enrichr--Queries(rank=157); GTEx--Coexpression(rank=329); ARCHS4--Coexpression(rank=384)","105","rank=105; score=0.02439","rank=9; score=74.951; p=1.436e-17; adjP=5.6758e-16","rank=186; score=1.791; p=0.073289; direction=Activated"
