"TF","LD_ALL","Activity_Score_Mean","Score","Method_Direction","Rank","Method","Method_Rank","Method_Score","Method_P_Value","Method_Adjusted_P_Value","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"ZNF263","-9.98426010158213550","-9.98426010158213550","9.98426010158213550","Repressed","1","viper","1","9.98426010158213550",NA,NA,"6","ENCODE--ChIP-seq(rank=54); Literature--ChIP-seq(rank=81); ReMap--ChIP-seq(rank=183); GTEx--Coexpression(rank=417); Enrichr--Queries(rank=828); ARCHS4--Coexpression(rank=1306)","945","0.25950000000000001","GTEx Coexpression,0.2595"
"ZBTB7A","-7.88028853614985003","-7.88028853614985003","7.88028853614985003","Repressed","2","viper","2","7.88028853614985003",NA,NA,"5","ENCODE--ChIP-seq(rank=38); ReMap--ChIP-seq(rank=81); GTEx--Coexpression(rank=635); Enrichr--Queries(rank=1089); ARCHS4--Coexpression(rank=1567)","983","0.27270000000000000","ReMap ChIP-seq,0.2727"
"PRDM14","7.86677109685956388","7.86677109685956388","7.86677109685956388","Activated","3","viper","3","7.86677109685956388",NA,NA,"5","ReMap--ChIP-seq(rank=20); Literature--ChIP-seq(rank=56); GTEx--Coexpression(rank=469); ARCHS4--Coexpression(rank=589); Enrichr--Queries(rank=910)","314","0.06734000000000000","ReMap ChIP-seq,0.06734"
"E2F4","-6.48735022301319830","-6.48735022301319830","6.48735022301319830","Repressed","4","viper","4","6.48735022301319830",NA,NA,"6","ENCODE--ChIP-seq(rank=19); Literature--ChIP-seq(rank=44); Enrichr--Queries(rank=84); ReMap--ChIP-seq(rank=231); GTEx--Coexpression(rank=752); ARCHS4--Coexpression(rank=1303)","278","0.05983000000000000","Enrichr Queries,0.05983"
"MNT","-6.42037141462861349","-6.42037141462861349","6.42037141462861349","Repressed","5","viper","5","6.42037141462861349",NA,NA,"4","ReMap--ChIP-seq(rank=108); GTEx--Coexpression(rank=951); Enrichr--Queries(rank=1136); ARCHS4--Coexpression(rank=1250)","1187","0.36359999999999998","ReMap ChIP-seq,0.3636"
"MAZ","5.74746918432428799","5.74746918432428799","5.74746918432428799","Activated","6","viper","6","5.74746918432428799",NA,NA,"5","ENCODE--ChIP-seq(rank=51); Enrichr--Queries(rank=55); ReMap--ChIP-seq(rank=150); ARCHS4--Coexpression(rank=1392); GTEx--Coexpression(rank=1512)","183","0.03917000000000000","Enrichr Queries,0.03917"
"NR2F1","5.44387871016951763","5.44387871016951763","5.44387871016951763","Activated","7","viper","7","5.44387871016951763",NA,NA,"4","ReMap--ChIP-seq(rank=22); ARCHS4--Coexpression(rank=104); Enrichr--Queries(rank=379); GTEx--Coexpression(rank=810)","297","0.06388000000000001","ARCHS4 Coexpression,0.06388"
"KLF9","5.39647546068171202","5.39647546068171202","5.39647546068171202","Activated","8","viper","8","5.39647546068171202",NA,NA,"4","ReMap--ChIP-seq(rank=170); ARCHS4--Coexpression(rank=191); Enrichr--Queries(rank=213); GTEx--Coexpression(rank=1288)","518","0.11730000000000000","ARCHS4 Coexpression,0.1173"
"LYL1","5.22026572264031063","5.22026572264031063","5.22026572264031063","Activated","9","viper","9","5.22026572264031063",NA,NA,"5","ReMap--ChIP-seq(rank=124); Literature--ChIP-seq(rank=141); Enrichr--Queries(rank=534); GTEx--Coexpression(rank=552); ARCHS4--Coexpression(rank=636)","1150","0.34350000000000003","GTEx Coexpression,0.3435"
"THAP1","5.13887880224505178","5.13887880224505178","5.13887880224505178","Activated","10","viper","10","5.13887880224505178",NA,NA,"5","ENCODE--ChIP-seq(rank=115); ARCHS4--Coexpression(rank=177); Enrichr--Queries(rank=187); ReMap--ChIP-seq(rank=245); GTEx--Coexpression(rank=1293)","484","0.10870000000000000","ARCHS4 Coexpression,0.1087"
"KLF5","4.98639953417881809","4.98639953417881809","4.98639953417881809","Activated","11","viper","11","4.98639953417881809",NA,NA,"5","Literature--ChIP-seq(rank=89); ReMap--ChIP-seq(rank=89); GTEx--Coexpression(rank=246); Enrichr--Queries(rank=726); ARCHS4--Coexpression(rank=1112)","641","0.15310000000000001","GTEx Coexpression,0.1531"
"ASCL1","4.91562673040917719","4.91562673040917719","4.91562673040917719","Activated","12","viper","12","4.91562673040917719",NA,NA,"4","ReMap--ChIP-seq(rank=128); GTEx--Coexpression(rank=416); ARCHS4--Coexpression(rank=1192); Enrichr--Queries(rank=1231)","943","0.25890000000000002","GTEx Coexpression,0.2589"
"SIX5","4.66086912668478792","4.66086912668478792","4.66086912668478792","Activated","13","viper","13","4.66086912668478792",NA,NA,"5","ReMap--ChIP-seq(rank=40); ENCODE--ChIP-seq(rank=80); Enrichr--Queries(rank=386); ARCHS4--Coexpression(rank=1216); GTEx--Coexpression(rank=1542)","576","0.13469999999999999","ReMap ChIP-seq,0.1347"
"MAX","4.57969708500421646","4.57969708500421646","4.57969708500421646","Activated","14","viper","14","4.57969708500421646",NA,NA,"5","ENCODE--ChIP-seq(rank=36); ReMap--ChIP-seq(rank=97); ARCHS4--Coexpression(rank=213); Enrichr--Queries(rank=491); GTEx--Coexpression(rank=1085)","564","0.13080000000000000","ARCHS4 Coexpression,0.1308"
"TEAD1","4.56749512975330330","4.56749512975330330","4.56749512975330330","Activated","15","viper","15","4.56749512975330330",NA,NA,"4","ARCHS4--Coexpression(rank=93); ReMap--ChIP-seq(rank=263); Enrichr--Queries(rank=654); GTEx--Coexpression(rank=918)","264","0.05713000000000000","ARCHS4 Coexpression,0.05713"
"TEAD4","4.44961032806073575","4.44961032806073575","4.44961032806073575","Activated","16","viper","16","4.44961032806073575",NA,NA,"6","ENCODE--ChIP-seq(rank=6); Literature--ChIP-seq(rank=66); Enrichr--Queries(rank=180); ReMap--ChIP-seq(rank=279); GTEx--Coexpression(rank=980); ARCHS4--Coexpression(rank=1357)","236","0.05085000000000000","ENCODE ChIP-seq,0.05085"
"BHLHE40","-4.28728539658477281","-4.28728539658477281","4.28728539658477281","Repressed","17","viper","17","4.28728539658477281",NA,NA,"4","ENCODE--ChIP-seq(rank=25); ReMap--ChIP-seq(rank=54); GTEx--Coexpression(rank=668); ARCHS4--Coexpression(rank=748)","726","0.18179999999999999","ReMap ChIP-seq,0.1818"
"MAFB","4.28080182655029162","4.28080182655029162","4.28080182655029162","Activated","18","viper","18","4.28080182655029162",NA,NA,"4","GTEx--Coexpression(rank=213); ReMap--ChIP-seq(rank=232); ARCHS4--Coexpression(rank=378); Enrichr--Queries(rank=737)","571","0.13250000000000001","GTEx Coexpression,0.1325"
"NFE2","4.16699515829830958","4.16699515829830958","4.16699515829830958","Activated","19","viper","19","4.16699515829830958",NA,NA,"5","ENCODE--ChIP-seq(rank=86); ReMap--ChIP-seq(rank=152); Enrichr--Queries(rank=297); ARCHS4--Coexpression(rank=333); GTEx--Coexpression(rank=602)","798","0.20449999999999999","ARCHS4 Coexpression,0.2045"
"ESRRA","4.14077917635372383","4.14077917635372383","4.14077917635372383","Activated","20","viper","20","4.14077917635372383",NA,NA,"5","ENCODE--ChIP-seq(rank=83); ReMap--ChIP-seq(rank=120); GTEx--Coexpression(rank=124); Enrichr--Queries(rank=1185); ARCHS4--Coexpression(rank=1496)","357","0.07716000000000001","GTEx Coexpression,0.07716"
"E2F2","-4.09460251189168645","-4.09460251189168645","4.09460251189168645","Repressed","21","viper","21","4.09460251189168645",NA,NA,"3","GTEx--Coexpression(rank=564); ARCHS4--Coexpression(rank=765); Enrichr--Queries(rank=825)","1163","0.35099999999999998","GTEx Coexpression,0.351"
