"TF","LD_ALL","Activity_Score_Mean","Score","Method_Direction","Rank","Method","Method_Rank","Method_Score","Method_P_Value","Method_Adjusted_P_Value","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"CLOCK","4.03215884515090206","4.03215884515090206","4.03215884515090206","Activated","22","viper","22","4.03215884515090206",NA,NA,"5","Literature--ChIP-seq(rank=83); ReMap--ChIP-seq(rank=218); GTEx--Coexpression(rank=772); ARCHS4--Coexpression(rank=958); Enrichr--Queries(rank=1184)","1362","0.48039999999999999","GTEx Coexpression,0.4804"
"E2F1","-3.98027748476633736","-3.98027748476633736","3.98027748476633736","Repressed","23","viper","23","3.98027748476633736",NA,NA,"6","Literature--ChIP-seq(rank=40); ReMap--ChIP-seq(rank=53); ENCODE--ChIP-seq(rank=103); ARCHS4--Coexpression(rank=761); Enrichr--Queries(rank=854); GTEx--Coexpression(rank=1062)","716","0.17849999999999999","ReMap ChIP-seq,0.1785"
"EBF1","3.96048210272092049","3.96048210272092049","3.96048210272092049","Activated","24","viper","24","3.96048210272092049",NA,NA,"5","ENCODE--ChIP-seq(rank=84); ReMap--ChIP-seq(rank=235); GTEx--Coexpression(rank=308); ARCHS4--Coexpression(rank=314); Enrichr--Queries(rank=345)","758","0.19170000000000001","GTEx Coexpression,0.1917"
"SNAI2","-3.86668779410288321","-3.86668779410288321","3.86668779410288321","Repressed","25","viper","25","3.86668779410288321",NA,NA,"4","Enrichr--Queries(rank=5); ARCHS4--Coexpression(rank=12); GTEx--Coexpression(rank=83); ReMap--ChIP-seq(rank=126)","16","0.00356100000000000","Enrichr Queries,0.003561"
"MYOD1","3.82441086486029835","3.82441086486029835","3.82441086486029835","Activated","26","viper","26","3.82441086486029835",NA,NA,"5","ENCODE--ChIP-seq(rank=26); ReMap--ChIP-seq(rank=217); ARCHS4--Coexpression(rank=317); GTEx--Coexpression(rank=906); Enrichr--Queries(rank=933)","768","0.19470000000000001","ARCHS4 Coexpression,0.1947"
"MAFK","3.81475510809348872","3.81475510809348872","3.81475510809348872","Activated","27","viper","27","3.81475510809348872",NA,NA,"5","ENCODE--ChIP-seq(rank=7); ReMap--ChIP-seq(rank=85); Enrichr--Queries(rank=1099); GTEx--Coexpression(rank=1509); ARCHS4--Coexpression(rank=1518)","275","0.05932000000000000","ENCODE ChIP-seq,0.05932"
"TFDP1","-3.69038508031530954","-3.69038508031530954","3.69038508031530954","Repressed","28","viper","28","3.69038508031530954",NA,NA,"4","Enrichr--Queries(rank=2); ReMap--ChIP-seq(rank=164); ARCHS4--Coexpression(rank=663); GTEx--Coexpression(rank=1332)","6","0.00142500000000000","Enrichr Queries,0.001425"
"ZNF143","3.64488538101016823","3.64488538101016823","3.64488538101016823","Activated","29","viper","29","3.64488538101016823",NA,NA,"5","ReMap--ChIP-seq(rank=10); ENCODE--ChIP-seq(rank=43); Enrichr--Queries(rank=387); ARCHS4--Coexpression(rank=894); GTEx--Coexpression(rank=1098)","156","0.03367000000000000","ReMap ChIP-seq,0.03367"
"KLF6","3.56468617046219904","3.56468617046219904","3.56468617046219904","Activated","30","viper","30","3.56468617046219904",NA,NA,"4","ARCHS4--Coexpression(rank=75); ReMap--ChIP-seq(rank=123); Enrichr--Queries(rank=397); GTEx--Coexpression(rank=1255)","218","0.04607000000000000","ARCHS4 Coexpression,0.04607"
"PAX5","3.56318806484541195","3.56318806484541195","3.56318806484541195","Activated","31","viper","31","3.56318806484541195",NA,NA,"5","ENCODE--ChIP-seq(rank=101); ReMap--ChIP-seq(rank=237); Enrichr--Queries(rank=1065); ARCHS4--Coexpression(rank=1219); GTEx--Coexpression(rank=1279)","1569","0.74880000000000002","ARCHS4 Coexpression,0.7488"
"NR4A1","3.54951573827610112","3.54951573827610112","3.54951573827610112","Activated","32","viper","32","3.54951573827610112",NA,NA,"4","ReMap--ChIP-seq(rank=137); GTEx--Coexpression(rank=316); Enrichr--Queries(rank=433); ARCHS4--Coexpression(rank=1009)","776","0.19660000000000000","GTEx Coexpression,0.1966"
"TFAP4","3.46860241607767739","3.46860241607767739","3.46860241607767739","Activated","33","viper","33","3.46860241607767739",NA,NA,"4","ReMap--ChIP-seq(rank=25); ARCHS4--Coexpression(rank=247); Enrichr--Queries(rank=834); GTEx--Coexpression(rank=1221)","385","0.08418000000000000","ReMap ChIP-seq,0.08418"
"HNF4G","3.38761146921264267","3.38761146921264267","3.38761146921264267","Activated","34","viper","34","3.38761146921264267",NA,NA,"5","ReMap--ChIP-seq(rank=24); ENCODE--ChIP-seq(rank=46); GTEx--Coexpression(rank=457); ARCHS4--Coexpression(rank=732); Enrichr--Queries(rank=1301)","373","0.08081000000000001","ReMap ChIP-seq,0.08081"
"KDM5B","3.38566584864615550","3.38566584864615550","3.38566584864615550","Activated","35","viper","35","3.38566584864615550",NA,NA,"5","ENCODE--ChIP-seq(rank=78); ReMap--ChIP-seq(rank=145); Literature--ChIP-seq(rank=154); GTEx--Coexpression(rank=482); ARCHS4--Coexpression(rank=802)","1051","0.29990000000000000","GTEx Coexpression,0.2999"
"ZNF384","3.35294251409445643","3.35294251409445643","3.35294251409445643","Activated","36","viper","36","3.35294251409445643",NA,NA,"5","ENCODE--ChIP-seq(rank=66); ReMap--ChIP-seq(rank=184); GTEx--Coexpression(rank=915); Enrichr--Queries(rank=1138); ARCHS4--Coexpression(rank=1548)","1453","0.55930000000000002","ENCODE ChIP-seq,0.5593"
"MAF","3.35190703638061782","3.35190703638061782","3.35190703638061782","Activated","37","viper","37","3.35190703638061782",NA,NA,"4","GTEx--Coexpression(rank=55); ReMap--ChIP-seq(rank=55); ARCHS4--Coexpression(rank=202); Enrichr--Queries(rank=616)","160","0.03423000000000000","GTEx Coexpression,0.03423"
"IRF3","3.34508732063549896","3.34508732063549896","3.34508732063549896","Activated","38","viper","38","3.34508732063549896",NA,NA,"5","ENCODE--ChIP-seq(rank=73); ReMap--ChIP-seq(rank=246); ARCHS4--Coexpression(rank=1048); Enrichr--Queries(rank=1098); GTEx--Coexpression(rank=1575)","1504","0.61860000000000004","ENCODE ChIP-seq,0.6186"
"IKZF1","3.33968577301870795","3.33968577301870795","3.33968577301870795","Activated","39","viper","39","3.33968577301870795",NA,NA,"6","ENCODE--ChIP-seq(rank=55); ReMap--ChIP-seq(rank=141); Literature--ChIP-seq(rank=158); ARCHS4--Coexpression(rank=499); GTEx--Coexpression(rank=577); Enrichr--Queries(rank=1155)","1067","0.30649999999999999","ARCHS4 Coexpression,0.3065"
"TBX21","3.33668507238137524","3.33668507238137524","3.33668507238137524","Activated","40","viper","40","3.33668507238137524",NA,NA,"4","ReMap--ChIP-seq(rank=46); GTEx--Coexpression(rank=603); ARCHS4--Coexpression(rank=1051); Enrichr--Queries(rank=1191)","646","0.15490000000000001","ReMap ChIP-seq,0.1549"
"ARID3A","3.32487155413217605","3.32487155413217605","3.32487155413217605","Activated","41","viper","41","3.32487155413217605",NA,NA,"5","ENCODE--ChIP-seq(rank=110); ReMap--ChIP-seq(rank=185); Enrichr--Queries(rank=239); GTEx--Coexpression(rank=621); ARCHS4--Coexpression(rank=1189)","692","0.17019999999999999","Enrichr Queries,0.1702"
"FOXP1","-3.29629219661348971","-3.29629219661348971","3.29629219661348971","Repressed","42","viper","42","3.29629219661348971",NA,NA,"5","Literature--ChIP-seq(rank=135); ReMap--ChIP-seq(rank=271); ARCHS4--Coexpression(rank=546); Enrichr--Queries(rank=774); GTEx--Coexpression(rank=994)","1135","0.33539999999999992","ARCHS4 Coexpression,0.3354"
"NR2C2","-3.29219772137213873","-3.29219772137213873","3.29219772137213873","Repressed","43","viper","43","3.29219772137213873",NA,NA,"5","ENCODE--ChIP-seq(rank=62); ReMap--ChIP-seq(rank=272); Enrichr--Queries(rank=1116); GTEx--Coexpression(rank=1241); ARCHS4--Coexpression(rank=1346)","1413","0.52539999999999998","ENCODE ChIP-seq,0.5254"
"POU5F1","3.28233702611592815","3.28233702611592815","3.28233702611592815","Activated","44","viper","44","3.28233702611592815",NA,NA,"5","Literature--ChIP-seq(rank=71); ReMap--ChIP-seq(rank=199); ARCHS4--Coexpression(rank=360); Enrichr--Queries(rank=1054); GTEx--Coexpression(rank=1385)","851","0.22109999999999999","ARCHS4 Coexpression,0.2211"
"MEF2A","3.27169986018730219","3.27169986018730219","3.27169986018730219","Activated","45","viper","45","3.27169986018730219",NA,NA,"6","ENCODE--ChIP-seq(rank=87); Literature--ChIP-seq(rank=106); ReMap--ChIP-seq(rank=213); ARCHS4--Coexpression(rank=256); Enrichr--Queries(rank=772); GTEx--Coexpression(rank=1150)","651","0.15720000000000001","ARCHS4 Coexpression,0.1572"
"TCF12","3.20666044735110445","3.20666044735110445","3.20666044735110445","Activated","46","viper","46","3.20666044735110445",NA,NA,"5","ENCODE--ChIP-seq(rank=3); ReMap--ChIP-seq(rank=177); ARCHS4--Coexpression(rank=267); Enrichr--Queries(rank=280); GTEx--Coexpression(rank=675)","117","0.02542000000000000","ENCODE ChIP-seq,0.02542"
"ELF1","3.14601831231472762","3.14601831231472762","3.14601831231472762","Activated","47","viper","47","3.14601831231472762",NA,NA,"5","ENCODE--ChIP-seq(rank=40); Literature--ChIP-seq(rank=54); ReMap--ChIP-seq(rank=133); ARCHS4--Coexpression(rank=327); GTEx--Coexpression(rank=1233)","790","0.20090000000000000","ARCHS4 Coexpression,0.2009"
"GRHL2","3.13126790971718716","3.13126790971718716","3.13126790971718716","Activated","48","viper","48","3.13126790971718716",NA,NA,"5","ReMap--ChIP-seq(rank=43); GTEx--Coexpression(rank=51); Literature--ChIP-seq(rank=96); Enrichr--Queries(rank=220); ARCHS4--Coexpression(rank=336)","147","0.03174000000000000","GTEx Coexpression,0.03174"
"MYC","-3.07770611928409155","-3.07770611928409155","3.07770611928409155","Repressed","49","viper","49","3.07770611928409155",NA,NA,"6","Literature--ChIP-seq(rank=14); ReMap--ChIP-seq(rank=29); ENCODE--ChIP-seq(rank=34); Enrichr--Queries(rank=48); GTEx--Coexpression(rank=521); ARCHS4--Coexpression(rank=1283)","159","0.03419000000000000","Enrichr Queries,0.03419"
"ELF3","3.06576752304402866","3.06576752304402866","3.06576752304402866","Activated","50","viper","50","3.06576752304402866",NA,NA,"4","ReMap--ChIP-seq(rank=122); GTEx--Coexpression(rank=234); ARCHS4--Coexpression(rank=356); Enrichr--Queries(rank=452)","618","0.14560000000000001","GTEx Coexpression,0.1456"
"KLF1","3.05108169398714102","3.05108169398714102","3.05108169398714102","Activated","51","viper","51","3.05108169398714102",NA,NA,"5","Literature--ChIP-seq(rank=34); ReMap--ChIP-seq(rank=227); Enrichr--Queries(rank=292); ARCHS4--Coexpression(rank=359); GTEx--Coexpression(rank=1091)","808","0.20730000000000001","Literature ChIP-seq,0.2073"
"PBX2","3.03054089513818115","3.03054089513818115","3.03054089513818115","Activated","52","viper","52","3.03054089513818115",NA,NA,"4","ReMap--ChIP-seq(rank=191); ARCHS4--Coexpression(rank=722); GTEx--Coexpression(rank=801); Enrichr--Queries(rank=1112)","1314","0.44350000000000001","ARCHS4 Coexpression,0.4435"
"PROX1","2.98808329747523516","2.98808329747523516","2.98808329747523516","Activated","53","viper","53","2.98808329747523516",NA,NA,"4","ReMap--ChIP-seq(rank=258); Enrichr--Queries(rank=638); GTEx--Coexpression(rank=1039); ARCHS4--Coexpression(rank=1111)","1331","0.45440000000000003","Enrichr Queries,0.4544"
"MXI1","-2.95768424699158139","-2.95768424699158139","2.95768424699158139","Repressed","54","viper","54","2.95768424699158139",NA,NA,"5","ENCODE--ChIP-seq(rank=50); ReMap--ChIP-seq(rank=57); Enrichr--Queries(rank=644); ARCHS4--Coexpression(rank=1083); GTEx--Coexpression(rank=1525)","759","0.19189999999999999","ReMap ChIP-seq,0.1919"
"BATF","2.94555404747599381","2.94555404747599381","2.94555404747599381","Activated","55","viper","55","2.94555404747599381",NA,NA,"5","ARCHS4--Coexpression(rank=67); ENCODE--ChIP-seq(rank=112); ReMap--ChIP-seq(rank=168); Enrichr--Queries(rank=535); GTEx--Coexpression(rank=595)","194","0.04115000000000000","ARCHS4 Coexpression,0.04115"
"JUNB","2.91814479403954374","2.91814479403954374","2.91814479403954374","Activated","56","viper","56","2.91814479403954374",NA,NA,"4","ReMap--ChIP-seq(rank=169); ARCHS4--Coexpression(rank=245); Enrichr--Queries(rank=442); GTEx--Coexpression(rank=1317)","635","0.15049999999999999","ARCHS4 Coexpression,0.1505"
"E2F6","-2.90970578017620651","-2.90970578017620651","2.90970578017620651","Repressed","57","viper","57","2.90970578017620651",NA,NA,"5","ENCODE--ChIP-seq(rank=30); ReMap--ChIP-seq(rank=30); Enrichr--Queries(rank=196); ARCHS4--Coexpression(rank=577); GTEx--Coexpression(rank=768)","455","0.10100000000000001","ReMap ChIP-seq,0.101"
"SOX13","2.88636737344926386","2.88636737344926386","2.88636737344926386","Activated","58","viper","58","2.88636737344926386",NA,NA,"4","ReMap--ChIP-seq(rank=80); GTEx--Coexpression(rank=171); Enrichr--Queries(rank=732); ARCHS4--Coexpression(rank=1164)","475","0.10639999999999999","GTEx Coexpression,0.1064"
"MBD2","2.88439637767945900","2.88439637767945900","2.88439637767945900","Activated","59","viper","59","2.88439637767945900",NA,NA,"4","ReMap--ChIP-seq(rank=109); Enrichr--Queries(rank=487); ARCHS4--Coexpression(rank=1049); GTEx--Coexpression(rank=1502)","1156","0.34689999999999999","Enrichr Queries,0.3469"
"MBD1","-2.88027416718127238","-2.88027416718127238","2.88027416718127238","Repressed","60","viper","60","2.88027416718127238",NA,NA,"3","GTEx--Coexpression(rank=945); ARCHS4--Coexpression(rank=996); Enrichr--Queries(rank=1086)","1481","0.58809999999999985","GTEx Coexpression,0.5881"
"TFAP2C","2.86220933438536429","2.86220933438536429","2.86220933438536429","Activated","61","viper","61","2.86220933438536429",NA,NA,"6","Literature--ChIP-seq(rank=82); ENCODE--ChIP-seq(rank=100); GTEx--Coexpression(rank=104); ARCHS4--Coexpression(rank=125); ReMap--ChIP-seq(rank=220); Enrichr--Queries(rank=996)","302","0.06472000000000000","GTEx Coexpression,0.06472"
"TP73","2.83833447557972018","2.83833447557972018","2.83833447557972018","Activated","62","viper","62","2.83833447557972018",NA,NA,"3","GTEx--Coexpression(rank=40); Enrichr--Queries(rank=52); ARCHS4--Coexpression(rank=1345)","114","0.02489000000000000","GTEx Coexpression,0.02489"
"FOXA1","2.78532786736575888","2.78532786736575888","2.78532786736575888","Activated","63","viper","63","2.78532786736575888",NA,NA,"6","ENCODE--ChIP-seq(rank=11); Literature--ChIP-seq(rank=78); ReMap--ChIP-seq(rank=116); ARCHS4--Coexpression(rank=166); GTEx--Coexpression(rank=927); Enrichr--Queries(rank=988)","421","0.09322000000000000","ENCODE ChIP-seq,0.09322"
"CREM","2.75379651224483313","2.75379651224483313","2.75379651224483313","Activated","64","viper","64","2.75379651224483313",NA,NA,"5","ReMap--ChIP-seq(rank=118); Literature--ChIP-seq(rank=139); GTEx--Coexpression(rank=335); Enrichr--Queries(rank=970); ARCHS4--Coexpression(rank=1289)","812","0.20849999999999999","GTEx Coexpression,0.2085"
"SPI1","2.71613597666868856","2.71613597666868856","2.71613597666868856","Activated","65","viper","65","2.71613597666868856",NA,NA,"6","ENCODE--ChIP-seq(rank=48); Literature--ChIP-seq(rank=65); ReMap--ChIP-seq(rank=87); GTEx--Coexpression(rank=512); Enrichr--Queries(rank=541); ARCHS4--Coexpression(rank=743)","1031","0.29289999999999999","ReMap ChIP-seq,0.2929"
"MYCN","-2.70876951774801800","-2.70876951774801800","2.70876951774801800","Repressed","66","viper","66","2.70876951774801800",NA,NA,"5","GTEx--Coexpression(rank=45); Literature--ChIP-seq(rank=69); ReMap--ChIP-seq(rank=132); Enrichr--Queries(rank=623); ARCHS4--Coexpression(rank=828)","131","0.02800000000000000","GTEx Coexpression,0.028"
"FOXO3","2.69692712689660974","2.69692712689660974","2.69692712689660974","Activated","67","viper","67","2.69692712689660974",NA,NA,"4","Literature--ChIP-seq(rank=122); GTEx--Coexpression(rank=616); Enrichr--Queries(rank=760); ARCHS4--Coexpression(rank=1196)","1222","0.38329999999999997","GTEx Coexpression,0.3833"
"STAT1","2.65634732493601655","2.65634732493601655","2.65634732493601655","Activated","68","viper","68","2.65634732493601655",NA,NA,"6","ENCODE--ChIP-seq(rank=18); ReMap--ChIP-seq(rank=52); Literature--ChIP-seq(rank=137); Enrichr--Queries(rank=166); ARCHS4--Coexpression(rank=179); GTEx--Coexpression(rank=1258)","490","0.11000000000000000","ARCHS4 Coexpression,0.11"
"CUX1","2.63410150456825765","2.63410150456825765","2.63410150456825765","Activated","69","viper","69","2.63410150456825765",NA,NA,"6","ReMap--ChIP-seq(rank=5); ENCODE--ChIP-seq(rank=79); Literature--ChIP-seq(rank=133); Enrichr--Queries(rank=796); GTEx--Coexpression(rank=1301); ARCHS4--Coexpression(rank=1360)","78","0.01684000000000000","ReMap ChIP-seq,0.01684"
"PBX3","2.61583708662265080","2.61583708662265080","2.61583708662265080","Activated","70","viper","70","2.61583708662265080",NA,NA,"5","ReMap--ChIP-seq(rank=42); ENCODE--ChIP-seq(rank=70); ARCHS4--Coexpression(rank=325); GTEx--Coexpression(rank=438); Enrichr--Queries(rank=971)","602","0.14140000000000000","ReMap ChIP-seq,0.1414"
"NEUROD1","2.58746599144661227","2.58746599144661227","2.58746599144661227","Activated","71","viper","71","2.58746599144661227",NA,NA,"4","ReMap--ChIP-seq(rank=49); GTEx--Coexpression(rank=212); Enrichr--Queries(rank=973); ARCHS4--Coexpression(rank=1430)","569","0.13189999999999999","GTEx Coexpression,0.1319"
"BCL11A","2.56087728010341431","2.56087728010341431","2.56087728010341431","Activated","72","viper","72","2.56087728010341431",NA,NA,"5","ReMap--ChIP-seq(rank=45); GTEx--Coexpression(rank=61); ENCODE--ChIP-seq(rank=104); ARCHS4--Coexpression(rank=276); Enrichr--Queries(rank=1046)","178","0.03796000000000000","GTEx Coexpression,0.03796"
"NCOA2","2.53950650855424609","2.53950650855424609","2.53950650855424609","Activated","73","viper","73","2.53950650855424609",NA,NA,"4","ReMap--ChIP-seq(rank=264); Enrichr--Queries(rank=514); GTEx--Coexpression(rank=1276); ARCHS4--Coexpression(rank=1467)","1192","0.36609999999999998","Enrichr Queries,0.3661"
"PDX1","2.51539798144126969","2.51539798144126969","2.51539798144126969","Activated","74","viper","74","2.51539798144126969",NA,NA,"5","ReMap--ChIP-seq(rank=56); Literature--ChIP-seq(rank=149); GTEx--Coexpression(rank=1038); ARCHS4--Coexpression(rank=1136); Enrichr--Queries(rank=1204)","745","0.18859999999999999","ReMap ChIP-seq,0.1886"
"ZEB1","-2.47986756597434832","-2.47986756597434832","2.47986756597434832","Repressed","75","viper","75","2.47986756597434832",NA,NA,"5","Enrichr--Queries(rank=61); ENCODE--ChIP-seq(rank=75); ReMap--ChIP-seq(rank=225); ARCHS4--Coexpression(rank=1398); GTEx--Coexpression(rank=1607)","205","0.04345000000000000","Enrichr Queries,0.04345"
"ESR1","2.46963630894554331","2.46963630894554331","2.46963630894554331","Activated","76","viper","76","2.46963630894554331",NA,NA,"6","Literature--ChIP-seq(rank=1); ReMap--ChIP-seq(rank=1); ENCODE--ChIP-seq(rank=9); Enrichr--Queries(rank=189); ARCHS4--Coexpression(rank=547); GTEx--Coexpression(rank=703)","15","0.00336700000000000","ReMap ChIP-seq,0.003367"
"NFKB2","-2.45041803045236284","-2.45041803045236284","2.45041803045236284","Repressed","77","viper","77","2.45041803045236284",NA,NA,"4","Enrichr--Queries(rank=208); ReMap--ChIP-seq(rank=280); ARCHS4--Coexpression(rank=787); GTEx--Coexpression(rank=1030)","628","0.14810000000000001","Enrichr Queries,0.1481"
"ZKSCAN1","2.44007976881279731","2.44007976881279731","2.44007976881279731","Activated","78","viper","78","2.44007976881279731",NA,NA,"5","ENCODE--ChIP-seq(rank=17); ReMap--ChIP-seq(rank=90); Enrichr--Queries(rank=269); ARCHS4--Coexpression(rank=713); GTEx--Coexpression(rank=1080)","613","0.14410000000000001","ENCODE ChIP-seq,0.1441"
