"TF","MD_SW480","Activity_Score_Mean","Score","Method_Direction","Rank","Method","Method_Rank","Method_Score","Method_P_Value","Method_Adjusted_P_Value","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"TEAD1","6.8407369184811050999","6.8407369184811050999","6.8407369184811050999","Activated","1","viper","1","6.8407369184811050999",NA,NA,"4","ReMap--ChIP-seq(rank=7); ARCHS4--Coexpression(rank=132); Enrichr--Queries(rank=219); GTEx--Coexpression(rank=547)","102","0.02357000000000000","ReMap ChIP-seq,0.02357"
"TCF12","5.7469183557227552228","5.7469183557227552228","5.7469183557227552228","Activated","2","viper","2","5.7469183557227552228",NA,NA,"5","ENCODE--ChIP-seq(rank=3); ReMap--ChIP-seq(rank=102); ARCHS4--Coexpression(rank=306); GTEx--Coexpression(rank=740); Enrichr--Queries(rank=888)","110","0.02542000000000000","ENCODE ChIP-seq,0.02542"
"FOXP1","-5.6306420100564267273","-5.6306420100564267273","5.6306420100564267273","Repressed","3","viper","3","5.6306420100564267273",NA,NA,"5","GTEx--Coexpression(rank=60); Literature--ChIP-seq(rank=123); ReMap--ChIP-seq(rank=210); ARCHS4--Coexpression(rank=503); Enrichr--Queries(rank=681)","165","0.03734000000000000","GTEx Coexpression,0.03734"
"TEAD4","5.4279036630293040488","5.4279036630293040488","5.4279036630293040488","Activated","4","viper","4","5.4279036630293040488",NA,NA,"6","ENCODE--ChIP-seq(rank=11); Literature--ChIP-seq(rank=37); ReMap--ChIP-seq(rank=106); Enrichr--Queries(rank=740); GTEx--Coexpression(rank=905); ARCHS4--Coexpression(rank=1356)","357","0.09322000000000000","ENCODE ChIP-seq,0.09322"
"MAFG","5.1474386681371200325","5.1474386681371200325","5.1474386681371200325","Activated","5","viper","5","5.1474386681371200325",NA,NA,"4","ReMap--ChIP-seq(rank=148); Enrichr--Queries(rank=857); GTEx--Coexpression(rank=898); ARCHS4--Coexpression(rank=1373)","1194","0.49830000000000002","ReMap ChIP-seq,0.4983"
"TCF4","4.8710552835912750425","4.8710552835912750425","4.8710552835912750425","Activated","6","viper","6","4.8710552835912750425",NA,NA,"5","ReMap--ChIP-seq(rank=20); Literature--ChIP-seq(rank=29); Enrichr--Queries(rank=99); ARCHS4--Coexpression(rank=171); GTEx--Coexpression(rank=792)","275","0.06734000000000000","ReMap ChIP-seq,0.06734"
"POU4F2","4.7949466071295558933","4.7949466071295558933","4.7949466071295558933","Activated","7","viper","7","4.7949466071295558933",NA,NA,"4","ReMap--ChIP-seq(rank=141); ARCHS4--Coexpression(rank=154); Enrichr--Queries(rank=729); GTEx--Coexpression(rank=1441)","362","0.09458999999999999","ARCHS4 Coexpression,0.09459"
"RUNX2","4.6106690202838214176","4.6106690202838214176","4.6106690202838214176","Activated","8","viper","8","4.6106690202838214176",NA,NA,"5","ReMap--ChIP-seq(rank=5); Literature--ChIP-seq(rank=12); GTEx--Coexpression(rank=26); Enrichr--Queries(rank=65); ARCHS4--Coexpression(rank=208)","72","0.01618000000000000","GTEx Coexpression,0.01618"
"MAFF","4.5118430091374186475","4.5118430091374186475","4.5118430091374186475","Activated","9","viper","9","4.5118430091374186475",NA,NA,"5","ENCODE--ChIP-seq(rank=67); ReMap--ChIP-seq(rank=144); Enrichr--Queries(rank=410); GTEx--Coexpression(rank=686); ARCHS4--Coexpression(rank=902)","834","0.29199999999999998","Enrichr Queries,0.292"
"PBX3","4.3829266802110939949","4.3829266802110939949","4.3829266802110939949","Activated","10","viper","10","4.3829266802110939949",NA,NA,"5","ENCODE--ChIP-seq(rank=78); ARCHS4--Coexpression(rank=137); Enrichr--Queries(rank=215); ReMap--ChIP-seq(rank=267); GTEx--Coexpression(rank=601)","324","0.08415000000000000","ARCHS4 Coexpression,0.08415"
