"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","ChEA3","ENRICHR"
"1","SOX2","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","16.0","4","5","Literature--ChIP-seq(rank=1); ARCHS4--Coexpression(rank=165); ReMap--ChIP-seq(rank=217); GTEx--Coexpression(rank=269); Enrichr--Queries(rank=351)","28","rank=28; score=0.006098","rank=4; score=377; p=5.3912e-66; adjP=4.0811e-63"
"2","CBX2","ChEA3;ENRICHR","2","ChEA3;ENRICHR","27.0","15","5","ENCODE--ChIP-seq(rank=1); ReMap--ChIP-seq(rank=11); ARCHS4--Coexpression(rank=936); Enrichr--Queries(rank=1239); GTEx--Coexpression(rank=1574)","39","rank=39; score=0.008475","rank=15; score=22.272; p=8.2194e-07; adjP=3.2628e-06"
"3","MTF2","ChEA3;ENRICHR","3","ChEA3;ENRICHR;CollecTRI","33.5","11","3","Literature--ChIP-seq(rank=2); ARCHS4--Coexpression(rank=1056); GTEx--Coexpression(rank=1517)","56","rank=56; score=0.0122","rank=11; score=201.32; p=1.6616e-44; adjP=4.1928e-42"
"4","ZBTB7A","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","49.5","22","5","ENCODE--ChIP-seq(rank=2); ReMap--ChIP-seq(rank=12); GTEx--Coexpression(rank=295); ARCHS4--Coexpression(rank=550); Enrichr--Queries(rank=878)","77","rank=77; score=0.01695","rank=22; score=8.932; p=0.00062985; adjP=0.08118"
"5","MITF","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","51.5","41","5","Literature--ChIP-seq(rank=9); Enrichr--Queries(rank=19); ReMap--ChIP-seq(rank=153); ARCHS4--Coexpression(rank=257); GTEx--Coexpression(rank=557)","62","rank=62; score=0.01353","rank=41; score=108.35; p=2.4149e-30; adjP=1.6619e-28"
"6","ZNF217","ChEA3;ENRICHR","4","DoRothEA;ChEA3;VIPER;ENRICHR","52.5","21","6","Literature--ChIP-seq(rank=3); ENCODE--ChIP-seq(rank=21); ReMap--ChIP-seq(rank=220); Enrichr--Queries(rank=412); GTEx--Coexpression(rank=771); ARCHS4--Coexpression(rank=860)","84","rank=84; score=0.01829","rank=21; score=162; p=4.046e-33; adjP=5.1046e-31"
"7","EPAS1","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","54.0","50","4","ARCHS4--Coexpression(rank=17); GTEx--Coexpression(rank=19); ReMap--ChIP-seq(rank=140); Enrichr--Queries(rank=150)","50","rank=50; score=0.01044","rank=58; score=69.988; p=0.00072214; adjP=0.023378"
"8","MBD3","ChEA3;ENRICHR","2","ChEA3;ENRICHR","55.0","32","4","ReMap--ChIP-seq(rank=2); GTEx--Coexpression(rank=610); ARCHS4--Coexpression(rank=1176); Enrichr--Queries(rank=1401)","32","rank=32; score=0.006734","rank=78; score=69.953; p=7.1262e-21; adjP=2.2477e-19"
"9","HAND2","ChEA3;ENRICHR","3","ChEA3;ENRICHR;CollecTRI","57.5","51","3","GTEx--Coexpression(rank=17); ARCHS4--Coexpression(rank=264); Enrichr--Queries(rank=609)","51","rank=51; score=0.01058","rank=64; score=88.548; p=6.2223e-25; adjP=2.5632e-23"
"10","WT1","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","64.5","17","4","Literature--ChIP-seq(rank=4); ARCHS4--Coexpression(rank=260); Enrichr--Queries(rank=284); GTEx--Coexpression(rank=660)","112","rank=112; score=0.02439","rank=17; score=141.64; p=3.9977e-35; adjP=6.0525e-33"
