"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","ChEA3","ENRICHR","CollecTRI"
"1","SMAD4","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","44.66666666666666","6","5","ReMap--ChIP-seq(rank=7); Literature--ChIP-seq(rank=16); Enrichr--Queries(rank=741); ARCHS4--Coexpression(rank=1189); GTEx--Coexpression(rank=1259)","99","rank=99; score=0.02357","rank=6; score=26.77; p=0.00025922; adjP=0.011406","rank=29; score=2.3228; p=0.020192; direction=Activated"
"2","PPARG","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","49.00000000000000","27","5","GTEx--Coexpression(rank=10); ReMap--ChIP-seq(rank=47); Literature--ChIP-seq(rank=76); ARCHS4--Coexpression(rank=148); Enrichr--Queries(rank=353)","27","rank=27; score=0.006223","rank=61; score=20.317; p=0.00023114; adjP=0.0092454","rank=59; score=1.9049; p=0.056795; direction=Activated"
"3","WT1","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","69.66666666666667","15","4","Literature--ChIP-seq(rank=2); ARCHS4--Coexpression(rank=165); GTEx--Coexpression(rank=211); Enrichr--Queries(rank=645)","55","rank=55; score=0.0122","rank=15; score=41.139; p=1.5241e-07; adjP=2.7435e-05","rank=139; score=1.5633; p=0.11799; direction=Activated"
"4","RARA","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","72.66666666666667","45","5","Literature--ChIP-seq(rank=3); ReMap--ChIP-seq(rank=173); GTEx--Coexpression(rank=771); ARCHS4--Coexpression(rank=806); Enrichr--Queries(rank=1100)","81","rank=81; score=0.01829","rank=45; score=24.119; p=7.3563e-05; adjP=0.0038563","rank=92; score=1.8047; p=0.071116; direction=Activated"
"5","MTF2","ChEA3;ENRICHR;CollecTRI","3","ChEA3;ENRICHR;CollecTRI","78.66666666666667","5","3","Literature--ChIP-seq(rank=1); ARCHS4--Coexpression(rank=357); GTEx--Coexpression(rank=664)","25","rank=25; score=0.006098","rank=5; score=65.534; p=9.1875e-10; adjP=3.3075e-07","rank=206; score=1.2562; p=0.20906; direction=Repressed"
"6","REST","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","86.00000000000000","19","6","ENCODE--ChIP-seq(rank=6); Literature--ChIP-seq(rank=29); ReMap--ChIP-seq(rank=78); ARCHS4--Coexpression(rank=338); GTEx--Coexpression(rank=502); Enrichr--Queries(rank=642)","209","rank=209; score=0.05085","rank=19; score=30.202; p=0.026964; adjP=0.2265","rank=30; score=2.3185; p=0.020424; direction=Activated"
"7","BCL11A","ChEA3;ENRICHR;CollecTRI","5","DoRothEA;ChEA3;VIPER;ENRICHR;CollecTRI","93.00000000000000","11","5","ENCODE--ChIP-seq(rank=1); ReMap--ChIP-seq(rank=76); ARCHS4--Coexpression(rank=252); GTEx--Coexpression(rank=468); Enrichr--Queries(rank=664)","37","rank=37; score=0.008475","rank=11; score=18.935; p=0.014552; adjP=1","rank=231; score=1.1498; p=0.25021; direction=Repressed"
"8","RUNX2","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","95.33333333333333","24","5","GTEx--Coexpression(rank=9); Literature--ChIP-seq(rank=12); ReMap--ChIP-seq(rank=24); Enrichr--Queries(rank=315); ARCHS4--Coexpression(rank=561)","24","rank=24; score=0.0056","rank=91; score=13.883; p=0.00072918; adjP=0.019445","rank=171; score=1.4664; p=0.14253; direction=Activated"
"9","SMAD3","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","98.33333333333333","50","5","Literature--ChIP-seq(rank=20); Enrichr--Queries(rank=60); ReMap--ChIP-seq(rank=77); ARCHS4--Coexpression(rank=105); GTEx--Coexpression(rank=409)","178","rank=178; score=0.04274","rank=67; score=21.13; p=0.00043902; adjP=0.015805","rank=50; score=1.9483; p=0.051379; direction=Activated"
"10","MYOD1","ChEA3;ENRICHR;CollecTRI","5","DoRothEA;ChEA3;VIPER;ENRICHR;CollecTRI","106.66666666666667","60","5","ENCODE--ChIP-seq(rank=18); ReMap--ChIP-seq(rank=29); ARCHS4--Coexpression(rank=64); Enrichr--Queries(rank=422); GTEx--Coexpression(rank=1039)","164","rank=164; score=0.03931","rank=60; score=2.8079; p=0.33109; adjP=0.4172","rank=96; score=1.7847; p=0.074315; direction=Activated"
