"TF","HD_SW480","Activity_Score_Mean","Score","Method_Direction","Rank","Method","Method_Rank","Method_Score","Method_P_Value","Method_Adjusted_P_Value","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"TEAD1","4.607912988474492266","4.607912988474492266","4.607912988474492266","Activated","1","viper","1","4.607912988474492266",NA,NA,"4","ReMap--ChIP-seq(rank=25); Enrichr--Queries(rank=30); ARCHS4--Coexpression(rank=40); GTEx--Coexpression(rank=172)","99","0.02137000000000000","Enrichr Queries,0.02137"
"MEF2C","4.542585449665485164","4.542585449665485164","4.542585449665485164","Activated","2","viper","2","4.542585449665485164",NA,NA,"5","ENCODE--ChIP-seq(rank=78); Enrichr--Queries(rank=144); ReMap--ChIP-seq(rank=208); ARCHS4--Coexpression(rank=321); GTEx--Coexpression(rank=970)","392","0.10260000000000000","Enrichr Queries,0.1026"
"FOXP1","-4.492926488676022956","-4.492926488676022956","4.492926488676022956","Repressed","3","viper","3","4.492926488676022956",NA,NA,"5","GTEx--Coexpression(rank=10); Enrichr--Queries(rank=84); Literature--ChIP-seq(rank=96); ReMap--ChIP-seq(rank=277); ARCHS4--Coexpression(rank=805)","30","0.00622300000000000","GTEx Coexpression,0.006223"
"MEF2A","4.347803635848453752","4.347803635848453752","4.347803635848453752","Activated","4","viper","4","4.347803635848453752",NA,NA,"6","Literature--ChIP-seq(rank=57); ENCODE--ChIP-seq(rank=64); ReMap--ChIP-seq(rank=263); Enrichr--Queries(rank=364); ARCHS4--Coexpression(rank=433); GTEx--Coexpression(rank=488)","766","0.25929999999999997","Enrichr Queries,0.2593"
"RUNX2","4.219413714108492641","4.219413714108492641","4.219413714108492641","Activated","5","viper","5","4.219413714108492641",NA,NA,"5","ReMap--ChIP-seq(rank=7); Enrichr--Queries(rank=14); Literature--ChIP-seq(rank=30); GTEx--Coexpression(rank=98); ARCHS4--Coexpression(rank=122)","48","0.00997200000000000","Enrichr Queries,0.009972"
"TCF12","3.955607545843295103","3.955607545843295103","3.955607545843295103","Activated","6","viper","6","3.955607545843295103",NA,NA,"5","ENCODE--ChIP-seq(rank=6); ReMap--ChIP-seq(rank=68); ARCHS4--Coexpression(rank=136); GTEx--Coexpression(rank=243); Enrichr--Queries(rank=511)","221","0.05085000000000000","ENCODE ChIP-seq,0.05085"
"CEBPA","3.896766394937472455","3.896766394937472455","3.896766394937472455","Activated","7","viper","7","3.896766394937472455",NA,NA,"5","ReMap--ChIP-seq(rank=122); Literature--ChIP-seq(rank=133); ARCHS4--Coexpression(rank=434); Enrichr--Queries(rank=487); GTEx--Coexpression(rank=721)","779","0.26660000000000000","ARCHS4 Coexpression,0.2666"
"NCOA3","3.862819334106512681","3.862819334106512681","3.862819334106512681","Activated","8","viper","8","3.862819334106512681",NA,NA,"4","ReMap--ChIP-seq(rank=137); ARCHS4--Coexpression(rank=343); Enrichr--Queries(rank=752); GTEx--Coexpression(rank=949)","667","0.21070000000000000","ARCHS4 Coexpression,0.2107"
"MYC","-3.833846762284778276","-3.833846762284778276","3.833846762284778276","Repressed","9","viper","9","3.833846762284778276",NA,NA,"6","ENCODE--ChIP-seq(rank=60); Literature--ChIP-seq(rank=67); ReMap--ChIP-seq(rank=195); GTEx--Coexpression(rank=314); Enrichr--Queries(rank=497); ARCHS4--Coexpression(rank=966)","632","0.19539999999999999","GTEx Coexpression,0.1954"
"ARNT","3.808921203714265236","3.808921203714265236","3.808921203714265236","Activated","10","viper","10","3.808921203714265236",NA,NA,"5","Literature--ChIP-seq(rank=26); ReMap--ChIP-seq(rank=82); GTEx--Coexpression(rank=211); ARCHS4--Coexpression(rank=600); Enrichr--Queries(rank=849)","476","0.13130000000000000","GTEx Coexpression,0.1313"
