"TF","MD_HCT116"
"AHR","-0.546441067049745710"
"AR","-0.121330778100031664"
"ARID2","-0.076356995779871192"
"ARID3A","0.074864854415656476"
"ARNT","0.605808336244114232"
"ARNTL","1.749820862211114658"
"ASCL1","4.173204052664915231"
"ATF1","0.730251349412141315"
"ATF2","-2.216594739137448311"
"ATF3","0.175748814618593402"
"ATF4","-2.090866787729977805"
"ATF6","-1.115147013443773760"
"ATF7","-0.180840042136752893"
"BACH1","1.718978443750680762"
"BACH2","-0.251822905038771805"
"BATF","2.037274413016986863"
"BCL11A","3.457351269372809011"
"BCL6","-0.731275542710213888"
"BHLHE22","-2.014990494306546420"
"BHLHE40","-0.631190288187234771"
"CDX2","-0.427135391690095068"
"CEBPA","-2.139130743995139028"
"CEBPB","0.662147331038625553"
"CEBPD","0.060426871490002136"
"CEBPG","0.686975996664316746"
"CLOCK","3.914835334523091959"
"CREB1","1.033088583284442530"
"CREB3","-0.555959511229560888"
"CREB3L1","0.909933138656054186"
"CREM","1.248563839711368750"
"CTCF","1.623799291455654270"
"CTCFL","6.348443525347861716"
"CUX1","1.465580924370342375"
"DUX4","0.546265871740140518"
"E2F1","-3.618499069397796752"
"E2F2","-1.829667475123012643"
"E2F3","-2.262070337705563094"
"E2F4","-5.025189602361500363"
"E2F5","-0.414013596651337579"
"E2F6","-3.181917156660059476"
"E2F7","-0.513666139037070035"
"EBF1","4.862917124761350962"
"EGR1","-0.038372246980430610"
"EHF","-0.098481576706899027"
"ELF1","0.875586057723962696"
"ELF3","-0.036305853643393345"
"ELF5","-1.300354958351324974"
"ELK1","-0.839667485394982260"
"ELK4","-1.482904314676726232"
"EOMES","1.424726374607828028"
"EPAS1","1.473645160881123184"
"ERG","-0.474561693201307977"
"ESR1","1.052957811605640392"
"ESR2","0.994049270061147738"
"ESRRA","2.398011519255374147"
"ETS1","1.573506310334569003"
"ETS2","-0.366670862592194280"
"ETV1","3.392102409846840860"
"ETV4","0.059960978904828328"
"FLI1","-2.472028812594352587"
"FOS","-0.708943312268379477"
"FOSL1","-1.203277363799913457"
"FOSL2","-0.234234248580205057"
"FOXA1","-1.503915435337371598"
"FOXA2","-1.729002931596697934"
"FOXJ2","0.356695149495845965"
"FOXK2","-0.082811077021345547"
"FOXL2","-0.581053342515976956"
"FOXM1","-2.822062160491705107"
"FOXO1","-1.214614312104320915"
"FOXO3","0.099275367707976167"
"FOXO4","-0.038591163606070705"
"FOXP1","-1.810106582404996889"
"FOXP2","-1.546394375055036408"
"GABPA","0.004675306459415844"
"GATA1","-1.022551979302464886"
"GATA2","1.139271120639425705"
"GATA3","1.468060949565427542"
"GATA4","-0.414620670116851497"
"GATA6","-0.298690287870023052"
"GFI1B","1.478225463728711109"
"GLI2","0.891113094318197518"
"GRHL2","0.711750799735440087"
"HBP1","0.446076378304384957"
"HHEX","-1.757955686842965548"
"HIF1A","-2.668989622801115846"
"HINFP","-0.422666089942482059"
"HMBOX1","1.600668821762673666"
"HNF1A","-3.227188369759803166"
"HNF1B","-1.328920217235771695"
"HNF4A","-0.522116367342833620"
"HNF4G","0.112226086269142822"
"HOXA9","0.079008726967379345"
"HOXB13","-0.333526689595269765"
"HSF1","-1.903295296407212511"
"IKZF1","2.666321709287285735"
"IRF1","3.327876042402104328"
"IRF2","1.779164108375358655"
"IRF3","1.810711087238795702"
"IRF4","3.156210748849600733"
"IRF9","0.154511277634758276"
"JUN","0.650301509651176834"
"JUNB","0.844115446148112514"
"JUND","1.374591373036690545"
"KDM5B","-0.248728080778328919"
"KLF1","3.296682694162680338"
"KLF13","-0.888980264506113671"
"KLF3","-1.274185977171589101"
"KLF4","-2.048820928654344176"
"KLF5","1.426964103636936043"
"KLF6","0.807226902346314668"
