"TF","LD_HCT116","Activity_Score_Mean","Score","Method_Direction","Rank","Method","Method_Rank","Method_Score","Method_P_Value","Method_Adjusted_P_Value","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"TFDP1","-5.40591270943298507","-5.40591270943298507","5.40591270943298507","Repressed","11","viper","11","5.40591270943298507",NA,NA,"4","GTEx--Coexpression(rank=3); Enrichr--Queries(rank=15); ARCHS4--Coexpression(rank=21); ReMap--ChIP-seq(rank=73)","5","0.00186700000000000","GTEx Coexpression,0.001867"
"E2F1","-5.18230512968938584","-5.18230512968938584","5.18230512968938584","Repressed","12","viper","12","5.18230512968938584",NA,NA,"6","ENCODE--ChIP-seq(rank=3); GTEx--Coexpression(rank=6); Enrichr--Queries(rank=7); Literature--ChIP-seq(rank=7); ReMap--ChIP-seq(rank=59); ARCHS4--Coexpression(rank=65)","14","0.00373400000000000","GTEx Coexpression,0.003734"
"ESRRA","4.77269486338231896","4.77269486338231896","4.77269486338231896","Activated","13","viper","13","4.77269486338231896",NA,NA,"5","ENCODE--ChIP-seq(rank=82); ReMap--ChIP-seq(rank=91); Enrichr--Queries(rank=300); GTEx--Coexpression(rank=724); ARCHS4--Coexpression(rank=946)","720","0.21370000000000000","Enrichr Queries,0.2137"
"MNT","-4.75418039924880009","-4.75418039924880009","4.75418039924880009","Repressed","14","viper","14","4.75418039924880009",NA,NA,"4","ReMap--ChIP-seq(rank=80); GTEx--Coexpression(rank=201); ARCHS4--Coexpression(rank=256); Enrichr--Queries(rank=694)","473","0.12509999999999999","GTEx Coexpression,0.1251"
"CLOCK","4.69457001458620393","4.69457001458620393","4.69457001458620393","Activated","15","viper","15","4.69457001458620393",NA,NA,"5","Literature--ChIP-seq(rank=30); ReMap--ChIP-seq(rank=142); ARCHS4--Coexpression(rank=1368); Enrichr--Queries(rank=1403); GTEx--Coexpression(rank=1408)","642","0.18290000000000001","Literature ChIP-seq,0.1829"
"MYC","-4.66271385018204487","-4.66271385018204487","4.66271385018204487","Repressed","16","viper","16","4.66271385018204487",NA,NA,"6","Literature--ChIP-seq(rank=35); ENCODE--ChIP-seq(rank=43); ReMap--ChIP-seq(rank=50); Enrichr--Queries(rank=98); ARCHS4--Coexpression(rank=977); GTEx--Coexpression(rank=1364)","279","0.06980000000000000","Enrichr Queries,0.0698"
"ASCL1","4.53978795395157597","4.53978795395157597","4.53978795395157597","Activated","17","viper","17","4.53978795395157597",NA,NA,"4","ReMap--ChIP-seq(rank=22); GTEx--Coexpression(rank=133); ARCHS4--Coexpression(rank=1087); Enrichr--Queries(rank=1130)","297","0.07407000000000000","ReMap ChIP-seq,0.07407"
"MAZ","4.50879466125050143","4.50879466125050143","4.50879466125050143","Activated","18","viper","18","4.50879466125050143",NA,NA,"5","ReMap--ChIP-seq(rank=21); ENCODE--ChIP-seq(rank=48); Enrichr--Queries(rank=261); ARCHS4--Coexpression(rank=1088); GTEx--Coexpression(rank=1090)","283","0.07071000000000000","ReMap ChIP-seq,0.07071"
"SREBF2","-4.46914810967061804","-4.46914810967061804","4.46914810967061804","Repressed","19","viper","19","4.46914810967061804",NA,NA,"6","ENCODE--ChIP-seq(rank=30); ReMap--ChIP-seq(rank=56); Literature--ChIP-seq(rank=94); GTEx--Coexpression(rank=310); Enrichr--Queries(rank=334); ARCHS4--Coexpression(rank=1052)","655","0.18859999999999999","ReMap ChIP-seq,0.1886"
"EBF1","4.46563074161038820","4.46563074161038820","4.46563074161038820","Activated","20","viper","20","4.46563074161038820",NA,NA,"5","ENCODE--ChIP-seq(rank=91); ReMap--ChIP-seq(rank=191); ARCHS4--Coexpression(rank=221); GTEx--Coexpression(rank=331); Enrichr--Queries(rank=455)","510","0.13569999999999999","ARCHS4 Coexpression,0.1357"
"MAX","4.42093325908009938","4.42093325908009938","4.42093325908009938","Activated","21","viper","21","4.42093325908009938",NA,NA,"5","ReMap--ChIP-seq(rank=25); ENCODE--ChIP-seq(rank=40); ARCHS4--Coexpression(rank=1062); Enrichr--Queries(rank=1102); GTEx--Coexpression(rank=1138)","326","0.08418000000000000","ReMap ChIP-seq,0.08418"
"SMAD3","4.26638284464252049","4.26638284464252049","4.26638284464252049","Activated","22","viper","22","4.26638284464252049",NA,NA,"5","Literature--ChIP-seq(rank=27); ReMap--ChIP-seq(rank=65); ARCHS4--Coexpression(rank=342); Enrichr--Queries(rank=367); GTEx--Coexpression(rank=402)","601","0.16460000000000000","Literature ChIP-seq,0.1646"
"E2F2","-4.00516851940497354","-4.00516851940497354","4.00516851940497354","Repressed","23","viper","23","4.00516851940497354",NA,NA,"3","ARCHS4--Coexpression(rank=5); Enrichr--Queries(rank=12); GTEx--Coexpression(rank=1492)","9","0.00307100000000000","ARCHS4 Coexpression,0.003071"
"MYCN","-3.95614104653960519","-3.95614104653960519","3.95614104653960519","Repressed","24","viper","24","3.95614104653960519",NA,NA,"5","ReMap--ChIP-seq(rank=24); Literature--ChIP-seq(rank=46); ARCHS4--Coexpression(rank=91); Enrichr--Queries(rank=136); GTEx--Coexpression(rank=303)","218","0.05590000000000000","ARCHS4 Coexpression,0.0559"
