"TF","LD_HCT116","Activity_Score_Mean","Score","Method_Direction","Rank","Method","Method_Rank","Method_Score","Method_P_Value","Method_Adjusted_P_Value","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"VDR","2.43207508952707796","2.43207508952707796","2.43207508952707796","Activated","68","viper","68","2.43207508952707796",NA,NA,"5","ReMap--ChIP-seq(rank=76); Literature--ChIP-seq(rank=97); Enrichr--Queries(rank=214); ARCHS4--Coexpression(rank=576); GTEx--Coexpression(rank=1025)","560","0.15240000000000001","Enrichr Queries,0.1524"
"MAFK","2.43102431107895933","2.43102431107895933","2.43102431107895933","Activated","69","viper","69","2.43102431107895933",NA,NA,"5","ENCODE--ChIP-seq(rank=47); ReMap--ChIP-seq(rank=188); Enrichr--Queries(rank=217); GTEx--Coexpression(rank=304); ARCHS4--Coexpression(rank=446)","567","0.15459999999999999","Enrichr Queries,0.1546"
"ZBTB11","-2.39151273504093442","-2.39151273504093442","2.39151273504093442","Repressed","70","viper","70","2.39151273504093442",NA,NA,"4","ReMap--ChIP-seq(rank=211); GTEx--Coexpression(rank=1301); Enrichr--Queries(rank=1333); ARCHS4--Coexpression(rank=1533)","1505","0.71040000000000003","ReMap ChIP-seq,0.7104"
"ELF1","2.38671536493059921","2.38671536493059921","2.38671536493059921","Activated","71","viper","71","2.38671536493059921",NA,NA,"5","ENCODE--ChIP-seq(rank=55); ReMap--ChIP-seq(rank=64); Literature--ChIP-seq(rank=143); GTEx--Coexpression(rank=1229); ARCHS4--Coexpression(rank=1322)","725","0.21550000000000000","ReMap ChIP-seq,0.2155"
"RBPJ","2.36339001507424795","2.36339001507424795","2.36339001507424795","Activated","72","viper","72","2.36339001507424795",NA,NA,"5","Literature--ChIP-seq(rank=135); ReMap--ChIP-seq(rank=269); Enrichr--Queries(rank=427); ARCHS4--Coexpression(rank=735); GTEx--Coexpression(rank=1471)","931","0.30409999999999998","Enrichr Queries,0.3041"
"MEF2B","2.33075251901047098","2.33075251901047098","2.33075251901047098","Activated","73","viper","73","2.33075251901047098",NA,NA,"4","Enrichr--Queries(rank=208); ReMap--ChIP-seq(rank=289); ARCHS4--Coexpression(rank=767); GTEx--Coexpression(rank=1391)","547","0.14810000000000001","Enrichr Queries,0.1481"
"IRF1","2.31473172545681605","2.31473172545681605","2.31473172545681605","Activated","74","viper","74","2.31473172545681605",NA,NA,"6","ENCODE--ChIP-seq(rank=42); ReMap--ChIP-seq(rank=75); Literature--ChIP-seq(rank=117); Enrichr--Queries(rank=548); GTEx--Coexpression(rank=549); ARCHS4--Coexpression(rank=785)","817","0.25250000000000000","ReMap ChIP-seq,0.2525"
"EHF","2.30787705694350276","2.30787705694350276","2.30787705694350276","Activated","75","viper","75","2.30787705694350276",NA,NA,"4","GTEx--Coexpression(rank=125); Enrichr--Queries(rank=148); ReMap--ChIP-seq(rank=254); ARCHS4--Coexpression(rank=333)","308","0.07778000000000000","GTEx Coexpression,0.07778"
"ZNF639","2.29722000513065794","2.29722000513065794","2.29722000513065794","Activated","76","viper","76","2.29722000513065794",NA,NA,"4","Enrichr--Queries(rank=151); ReMap--ChIP-seq(rank=193); ARCHS4--Coexpression(rank=1015); GTEx--Coexpression(rank=1396)","411","0.10750000000000000","Enrichr Queries,0.1075"
"KLF13","-2.28864774783642355","-2.28864774783642355","2.28864774783642355","Repressed","77","viper","77","2.28864774783642355",NA,NA,"4","ReMap--ChIP-seq(rank=38); Enrichr--Queries(rank=485); GTEx--Coexpression(rank=710); ARCHS4--Coexpression(rank=742)","482","0.12790000000000001","ReMap ChIP-seq,0.1279"
"MYBL2","-2.27509758383564087","-2.27509758383564087","2.27509758383564087","Repressed","78","viper","78","2.27509758383564087",NA,NA,"6","Enrichr--Queries(rank=5); Literature--ChIP-seq(rank=9); GTEx--Coexpression(rank=10); ARCHS4--Coexpression(rank=23); ENCODE--ChIP-seq(rank=58); ReMap--ChIP-seq(rank=147)","12","0.00356100000000000","Enrichr Queries,0.003561"
"SOX13","2.27334879099238085","2.27334879099238085","2.27334879099238085","Activated","79","viper","79","2.27334879099238085",NA,NA,"4","ReMap--ChIP-seq(rank=162); Enrichr--Queries(rank=212); GTEx--Coexpression(rank=242); ARCHS4--Coexpression(rank=281)","555","0.15060000000000001","GTEx Coexpression,0.1506"
"RELA","2.26868633173135503","2.26868633173135503","2.26868633173135503","Activated","80","viper","80","2.26868633173135503",NA,NA,"6","Literature--ChIP-seq(rank=38); ENCODE--ChIP-seq(rank=89); ReMap--ChIP-seq(rank=148); GTEx--Coexpression(rank=419); Enrichr--Queries(rank=636); ARCHS4--Coexpression(rank=740)","768","0.23169999999999999","Literature ChIP-seq,0.2317"
"STAT2","2.25991439473216094","2.25991439473216094","2.25991439473216094","Activated","81","viper","81","2.25991439473216094",NA,NA,"5","ENCODE--ChIP-seq(rank=33); ReMap--ChIP-seq(rank=223); GTEx--Coexpression(rank=334); Enrichr--Queries(rank=603); ARCHS4--Coexpression(rank=865)","705","0.20780000000000001","GTEx Coexpression,0.2078"
"JUNB","2.25553828916486676","2.25553828916486676","2.25553828916486676","Activated","82","viper","82","2.25553828916486676",NA,NA,"4","GTEx--Coexpression(rank=122); Enrichr--Queries(rank=140); ReMap--ChIP-seq(rank=217); ARCHS4--Coexpression(rank=346)","302","0.07592000000000000","GTEx Coexpression,0.07592"
"E2F5","-2.25525710506447785","-2.25525710506447785","2.25525710506447785","Repressed","83","viper","83","2.25525710506447785",NA,NA,"4","Enrichr--Queries(rank=39); ReMap--ChIP-seq(rank=101); ARCHS4--Coexpression(rank=499); GTEx--Coexpression(rank=785)","107","0.02778000000000000","Enrichr Queries,0.02778"
"IKZF1","2.23996761889466667","2.23996761889466667","2.23996761889466667","Activated","84","viper","84","2.23996761889466667",NA,NA,"6","ENCODE--ChIP-seq(rank=115); Literature--ChIP-seq(rank=137); ReMap--ChIP-seq(rank=190); ARCHS4--Coexpression(rank=998); Enrichr--Queries(rank=1385); GTEx--Coexpression(rank=1445)","1413","0.61299999999999999","ARCHS4 Coexpression,0.613"
"ESR1","2.23504438965993080","2.23504438965993080","2.23504438965993080","Activated","85","viper","85","2.23504438965993080",NA,NA,"6","ENCODE--ChIP-seq(rank=6); ReMap--ChIP-seq(rank=52); Literature--ChIP-seq(rank=53); GTEx--Coexpression(rank=221); ARCHS4--Coexpression(rank=548); Enrichr--Queries(rank=570)","195","0.05085000000000000","ENCODE ChIP-seq,0.05085"
"TBP","2.22945283311940567","2.22945283311940567","2.22945283311940567","Activated","86","viper","86","2.22945283311940567",NA,NA,"5","ENCODE--ChIP-seq(rank=38); Literature--ChIP-seq(rank=64); ReMap--ChIP-seq(rank=140); ARCHS4--Coexpression(rank=731); GTEx--Coexpression(rank=1146)","962","0.32200000000000001","ENCODE ChIP-seq,0.322"
"CTCF","2.20691124824919926","2.20691124824919926","2.20691124824919926","Activated","87","viper","87","2.20691124824919926",NA,NA,"6","ARCHS4--Coexpression(rank=6); ENCODE--ChIP-seq(rank=20); Literature--ChIP-seq(rank=59); ReMap--ChIP-seq(rank=66); Enrichr--Queries(rank=421); GTEx--Coexpression(rank=1321)","13","0.00368600000000000","ARCHS4 Coexpression,0.003686"
"PROX1","2.15076205827845524","2.15076205827845524","2.15076205827845524","Activated","88","viper","88","2.15076205827845524",NA,NA,"4","ReMap--ChIP-seq(rank=152); Enrichr--Queries(rank=797); ARCHS4--Coexpression(rank=898); GTEx--Coexpression(rank=1305)","1270","0.51180000000000003","ReMap ChIP-seq,0.5118"
"PAX5","2.13467486206036083","2.13467486206036083","2.13467486206036083","Activated","89","viper","89","2.13467486206036083",NA,NA,"5","GTEx--Coexpression(rank=42); ReMap--ChIP-seq(rank=87); ENCODE--ChIP-seq(rank=98); ARCHS4--Coexpression(rank=523); Enrichr--Queries(rank=1042)","99","0.02614000000000000","GTEx Coexpression,0.02614"
"CREB3L1","2.10456962135127368","2.10456962135127368","2.10456962135127368","Activated","90","viper","90","2.10456962135127368",NA,NA,"4","ReMap--ChIP-seq(rank=118); Enrichr--Queries(rank=121); ARCHS4--Coexpression(rank=152); GTEx--Coexpression(rank=1336)","335","0.08618000000000001","Enrichr Queries,0.08618"
"TEAD1","2.10018289510460621","2.10018289510460621","2.10018289510460621","Activated","91","viper","91","2.10018289510460621",NA,NA,"4","ReMap--ChIP-seq(rank=122); ARCHS4--Coexpression(rank=375); Enrichr--Queries(rank=722); GTEx--Coexpression(rank=1085)","764","0.23030000000000000","ARCHS4 Coexpression,0.2303"
"ZNF384","2.09953147810998653","2.09953147810998653","2.09953147810998653","Activated","92","viper","92","2.09953147810998653",NA,NA,"5","ENCODE--ChIP-seq(rank=15); ReMap--ChIP-seq(rank=187); GTEx--Coexpression(rank=681); Enrichr--Queries(rank=1330); ARCHS4--Coexpression(rank=1463)","480","0.12709999999999999","ENCODE ChIP-seq,0.1271"
"SRF","2.08986798228115767","2.08986798228115767","2.08986798228115767","Activated","93","viper","93","2.08986798228115767",NA,NA,"6","ENCODE--ChIP-seq(rank=77); Literature--ChIP-seq(rank=145); ReMap--ChIP-seq(rank=163); GTEx--Coexpression(rank=386); Enrichr--Queries(rank=475); ARCHS4--Coexpression(rank=1328)","788","0.24020000000000000","GTEx Coexpression,0.2402"
"ETV1","2.08507774454859307","2.08507774454859307","2.08507774454859307","Activated","94","viper","94","2.08507774454859307",NA,NA,"4","ReMap--ChIP-seq(rank=108); Enrichr--Queries(rank=295); ARCHS4--Coexpression(rank=601); GTEx--Coexpression(rank=787)","710","0.21010000000000001","Enrichr Queries,0.2101"
"JUND","2.07991747936804749","2.07991747936804749","2.07991747936804749","Activated","95","viper","95","2.07991747936804749",NA,NA,"6","ENCODE--ChIP-seq(rank=10); ReMap--ChIP-seq(rank=45); Literature--ChIP-seq(rank=100); ARCHS4--Coexpression(rank=158); Enrichr--Queries(rank=366); GTEx--Coexpression(rank=989)","328","0.08475000000000001","ENCODE ChIP-seq,0.08475"
"EPAS1","2.04139100797877049","2.04139100797877049","2.04139100797877049","Activated","96","viper","96","2.04139100797877049",NA,NA,"4","ARCHS4--Coexpression(rank=160); GTEx--Coexpression(rank=206); ReMap--ChIP-seq(rank=207); Enrichr--Queries(rank=315)","378","0.09828000000000001","ARCHS4 Coexpression,0.09828"
"CUX1","2.01880581938743964","2.01880581938743964","2.01880581938743964","Activated","97","viper","97","2.01880581938743964",NA,NA,"6","Literature--ChIP-seq(rank=42); ENCODE--ChIP-seq(rank=66); ReMap--ChIP-seq(rank=68); GTEx--Coexpression(rank=211); ARCHS4--Coexpression(rank=1084); Enrichr--Queries(rank=1302)","494","0.13130000000000000","GTEx Coexpression,0.1313"
"SMAD5","-1.98785875128063294","-1.98785875128063294","1.98785875128063294","Repressed","98","viper","98","1.98785875128063294",NA,NA,"4","ReMap--ChIP-seq(rank=173); ARCHS4--Coexpression(rank=935); Enrichr--Queries(rank=1293); GTEx--Coexpression(rank=1348)","1362","0.57430000000000003","ARCHS4 Coexpression,0.5743"
"SIX2","1.97884473711212894","1.97884473711212894","1.97884473711212894","Activated","99","viper","99","1.97884473711212894",NA,NA,"4","ARCHS4--Coexpression(rank=243); ReMap--ChIP-seq(rank=267); Enrichr--Queries(rank=466); GTEx--Coexpression(rank=665)","551","0.14929999999999999","ARCHS4 Coexpression,0.1493"
"NFYA","-1.97512076801500092","-1.97512076801500092","1.97512076801500092","Repressed","100","viper","100","1.97512076801500092",NA,NA,"5","ENCODE--ChIP-seq(rank=19); ReMap--ChIP-seq(rank=153); Enrichr--Queries(rank=478); ARCHS4--Coexpression(rank=914); GTEx--Coexpression(rank=1125)","588","0.16100000000000000","ENCODE ChIP-seq,0.161"
"HNF4G","1.97441694255733435","1.97441694255733435","1.97441694255733435","Activated","101","viper","101","1.97441694255733435",NA,NA,"5","ReMap--ChIP-seq(rank=36); ENCODE--ChIP-seq(rank=64); ARCHS4--Coexpression(rank=786); GTEx--Coexpression(rank=888); Enrichr--Queries(rank=917)","459","0.12120000000000000","ReMap ChIP-seq,0.1212"
"NR1H2","1.95881540091465922","1.95881540091465922","1.95881540091465922","Activated","102","viper","102","1.95881540091465922",NA,NA,"4","ReMap--ChIP-seq(rank=23); ARCHS4--Coexpression(rank=607); Enrichr--Queries(rank=695); GTEx--Coexpression(rank=777)","307","0.07743999999999999","ReMap ChIP-seq,0.07744"
"GFI1B","1.91885809551799991","1.91885809551799991","1.91885809551799991","Activated","103","viper","103","1.91885809551799991",NA,NA,"5","Literature--ChIP-seq(rank=83); ReMap--ChIP-seq(rank=128); Enrichr--Queries(rank=489); ARCHS4--Coexpression(rank=1056); GTEx--Coexpression(rank=1442)","1002","0.34830000000000000","Enrichr Queries,0.3483"
"MAF","1.90951044779877721","1.90951044779877721","1.90951044779877721","Activated","104","viper","104","1.90951044779877721",NA,NA,"4","ReMap--ChIP-seq(rank=134); Enrichr--Queries(rank=456); GTEx--Coexpression(rank=470); ARCHS4--Coexpression(rank=933)","903","0.29249999999999998","GTEx Coexpression,0.2925"
"IRF9","1.89265072627584963","1.89265072627584963","1.89265072627584963","Activated","105","viper","105","1.89265072627584963",NA,NA,"4","ReMap--ChIP-seq(rank=221); Enrichr--Queries(rank=439); ARCHS4--Coexpression(rank=703); GTEx--Coexpression(rank=771)","947","0.31269999999999998","Enrichr Queries,0.3127"
"HIF1A","-1.87374643406311159","-1.87374643406311159","1.87374643406311159","Repressed","106","viper","106","1.87374643406311159",NA,NA,"5","ReMap--ChIP-seq(rank=63); Literature--ChIP-seq(rank=74); Enrichr--Queries(rank=372); ARCHS4--Coexpression(rank=379); GTEx--Coexpression(rank=502)","715","0.21210000000000001","ReMap ChIP-seq,0.2121"
"MEF2A","1.85022128051703350","1.85022128051703350","1.85022128051703350","Activated","107","viper","107","1.85022128051703350",NA,NA,"6","Literature--ChIP-seq(rank=66); ENCODE--ChIP-seq(rank=116); ReMap--ChIP-seq(rank=280); ARCHS4--Coexpression(rank=549); GTEx--Coexpression(rank=688); Enrichr--Queries(rank=1152)","985","0.33720000000000000","ARCHS4 Coexpression,0.3372"
"SPI1","1.83951547862028453","1.83951547862028453","1.83951547862028453","Activated","108","viper","108","1.83951547862028453",NA,NA,"6","ENCODE--ChIP-seq(rank=113); Literature--ChIP-seq(rank=130); ReMap--ChIP-seq(rank=195); ARCHS4--Coexpression(rank=521); GTEx--Coexpression(rank=1002); Enrichr--Queries(rank=1268)","958","0.32000000000000001","ARCHS4 Coexpression,0.32"
"ONECUT1","-1.81011106369029062","-1.81011106369029062","1.81011106369029062","Repressed","109","viper","109","1.81011106369029062",NA,NA,"4","ReMap--ChIP-seq(rank=270); Enrichr--Queries(rank=555); ARCHS4--Coexpression(rank=646); GTEx--Coexpression(rank=1239)","1085","0.39529999999999998","Enrichr Queries,0.3953"
"EOMES","1.80065510425325792","1.80065510425325792","1.80065510425325792","Activated","110","viper","110","1.80065510425325792",NA,NA,"5","Literature--ChIP-seq(rank=77); ReMap--ChIP-seq(rank=273); ARCHS4--Coexpression(rank=589); Enrichr--Queries(rank=730); GTEx--Coexpression(rank=1451)","1031","0.36180000000000001","ARCHS4 Coexpression,0.3618"
"NR1H3","1.78892520383674758","1.78892520383674758","1.78892520383674758","Activated","111","viper","111","1.78892520383674758",NA,NA,"5","Literature--ChIP-seq(rank=28); ReMap--ChIP-seq(rank=243); Enrichr--Queries(rank=389); GTEx--Coexpression(rank=581); ARCHS4--Coexpression(rank=781)","616","0.17069999999999999","Literature ChIP-seq,0.1707"
"STAT6","1.78473088896162602","1.78473088896162602","1.78473088896162602","Activated","112","viper","112","1.78473088896162602",NA,NA,"4","Literature--ChIP-seq(rank=149); Enrichr--Queries(rank=429); ARCHS4--Coexpression(rank=694); GTEx--Coexpression(rank=905)","935","0.30559999999999998","Enrichr Queries,0.3056"
"BCL11A","1.75708152458319766","1.75708152458319766","1.75708152458319766","Activated","113","viper","113","1.75708152458319766",NA,NA,"5","ENCODE--ChIP-seq(rank=90); ReMap--ChIP-seq(rank=164); GTEx--Coexpression(rank=316); Enrichr--Queries(rank=681); ARCHS4--Coexpression(rank=757)","678","0.19660000000000000","GTEx Coexpression,0.1966"
"MAFF","1.72752926046348221","1.72752926046348221","1.72752926046348221","Activated","114","viper","114","1.72752926046348221",NA,NA,"5","ReMap--ChIP-seq(rank=99); ENCODE--ChIP-seq(rank=110); Enrichr--Queries(rank=131); GTEx--Coexpression(rank=434); ARCHS4--Coexpression(rank=597)","359","0.09329999999999999","Enrichr Queries,0.0933"
"GATA3","1.71878387969272861","1.71878387969272861","1.71878387969272861","Activated","115","viper","115","1.71878387969272861",NA,NA,"6","ENCODE--ChIP-seq(rank=13); Literature--ChIP-seq(rank=78); ARCHS4--Coexpression(rank=169); ReMap--ChIP-seq(rank=184); Enrichr--Queries(rank=233); GTEx--Coexpression(rank=615)","399","0.10380000000000000","ARCHS4 Coexpression,0.1038"
"CEBPB","1.71174076557504673","1.71174076557504673","1.71174076557504673","Activated","116","viper","116","1.71174076557504673",NA,NA,"6","ENCODE--ChIP-seq(rank=24); Literature--ChIP-seq(rank=58); ReMap--ChIP-seq(rank=115); Enrichr--Queries(rank=157); ARCHS4--Coexpression(rank=402); GTEx--Coexpression(rank=1147)","427","0.11180000000000000","Enrichr Queries,0.1118"
"E2F3","-1.70025257255130469","-1.70025257255130469","1.70025257255130469","Repressed","117","viper","117","1.70025257255130469",NA,NA,"3","ARCHS4--Coexpression(rank=26); Enrichr--Queries(rank=27); GTEx--Coexpression(rank=1365)","62","0.01597000000000000","ARCHS4 Coexpression,0.01597"
"SOX2","1.69647605908356702","1.69647605908356702","1.69647605908356702","Activated","118","viper","118","1.69647605908356702",NA,NA,"5","Literature--ChIP-seq(rank=5); ReMap--ChIP-seq(rank=165); ARCHS4--Coexpression(rank=231); GTEx--Coexpression(rank=374); Enrichr--Queries(rank=561)","115","0.03049000000000000","Literature ChIP-seq,0.03049"
"IRF4","1.68105345147481144","1.68105345147481144","1.68105345147481144","Activated","119","viper","119","1.68105345147481144",NA,NA,"5","GTEx--Coexpression(rank=25); ENCODE--ChIP-seq(rank=114); ReMap--ChIP-seq(rank=161); ARCHS4--Coexpression(rank=854); Enrichr--Queries(rank=1010)","60","0.01556000000000000","GTEx Coexpression,0.01556"
"POU2F1","1.66687453820582698","1.66687453820582698","1.66687453820582698","Activated","120","viper","120","1.66687453820582698",NA,NA,"4","ReMap--ChIP-seq(rank=285); ARCHS4--Coexpression(rank=591); GTEx--Coexpression(rank=1112); Enrichr--Queries(rank=1157)","1033","0.36299999999999999","ARCHS4 Coexpression,0.363"
"SOX11","-1.61354046821488994","-1.61354046821488994","1.61354046821488994","Repressed","121","viper","121","1.61354046821488994",NA,NA,"5","Literature--ChIP-seq(rank=57); ReMap--ChIP-seq(rank=246); Enrichr--Queries(rank=513); ARCHS4--Coexpression(rank=608); GTEx--Coexpression(rank=641)","1001","0.34760000000000002","Literature ChIP-seq,0.3476"
"NFKB1","1.60623429067142443","1.60623429067142443","1.60623429067142443","Activated","122","viper","122","1.60623429067142443",NA,NA,"4","ReMap--ChIP-seq(rank=149); GTEx--Coexpression(rank=210); Enrichr--Queries(rank=483); ARCHS4--Coexpression(rank=657)","492","0.13070000000000001","GTEx Coexpression,0.1307"
"TCF12","1.58866296533759210","1.58866296533759210","1.58866296533759210","Activated","123","viper","123","1.58866296533759210",NA,NA,"5","ENCODE--ChIP-seq(rank=4); ReMap--ChIP-seq(rank=9); ARCHS4--Coexpression(rank=496); GTEx--Coexpression(rank=737); Enrichr--Queries(rank=1107)","114","0.03030000000000000","ReMap ChIP-seq,0.0303"
"TGIF2","-1.56731316376212426","-1.56731316376212426","1.56731316376212426","Repressed","124","viper","124","1.56731316376212426",NA,NA,"4","ARCHS4--Coexpression(rank=18); Enrichr--Queries(rank=36); ReMap--ChIP-seq(rank=79); GTEx--Coexpression(rank=266)","41","0.01106000000000000","ARCHS4 Coexpression,0.01106"
"SP3","1.56676590189813880","1.56676590189813880","1.56676590189813880","Activated","125","viper","125","1.56676590189813880",NA,NA,"3","ARCHS4--Coexpression(rank=1010); Enrichr--Queries(rank=1095); GTEx--Coexpression(rank=1269)","1425","0.62039999999999984","ARCHS4 Coexpression,0.6204"
"SOX9","1.55377365220149311","1.55377365220149311","1.55377365220149311","Activated","126","viper","126","1.55377365220149311",NA,NA,"5","Literature--ChIP-seq(rank=23); ReMap--ChIP-seq(rank=82); Enrichr--Queries(rank=270); GTEx--Coexpression(rank=753); ARCHS4--Coexpression(rank=893)","520","0.14019999999999999","Literature ChIP-seq,0.1402"
"RELB","1.53687307167627285","1.53687307167627285","1.53687307167627285","Activated","127","viper","127","1.53687307167627285",NA,NA,"4","ReMap--ChIP-seq(rank=205); Enrichr--Queries(rank=377); ARCHS4--Coexpression(rank=392); GTEx--Coexpression(rank=735)","790","0.24079999999999999","ARCHS4 Coexpression,0.2408"
"TFAP2C","1.47575498954486872","1.47575498954486872","1.47575498954486872","Activated","128","viper","128","1.47575498954486872",NA,NA,"6","Literature--ChIP-seq(rank=13); ReMap--ChIP-seq(rank=16); ENCODE--ChIP-seq(rank=57); Enrichr--Queries(rank=100); GTEx--Coexpression(rank=363); ARCHS4--Coexpression(rank=768)","209","0.05387000000000000","ReMap ChIP-seq,0.05387"
"SNAPC4","1.45323866692847781","1.45323866692847781","1.45323866692847781","Activated","129","viper","129","1.45323866692847781",NA,NA,"4","ReMap--ChIP-seq(rank=212); GTEx--Coexpression(rank=914); Enrichr--Queries(rank=1173); ARCHS4--Coexpression(rank=1174)","1354","0.56879999999999997","GTEx Coexpression,0.5688"
"JUN","1.43290126546959340","1.43290126546959340","1.43290126546959340","Activated","130","viper","130","1.43290126546959340",NA,NA,"6","ARCHS4--Coexpression(rank=19); ENCODE--ChIP-seq(rank=25); Literature--ChIP-seq(rank=96); ReMap--ChIP-seq(rank=102); Enrichr--Queries(rank=184); GTEx--Coexpression(rank=383)","44","0.01167000000000000","ARCHS4 Coexpression,0.01167"
"LHX2","-1.41823074725584952","-1.41823074725584952","1.41823074725584952","Repressed","131","viper","131","1.41823074725584952",NA,NA,"4","ReMap--ChIP-seq(rank=244); GTEx--Coexpression(rank=275); ARCHS4--Coexpression(rank=348); Enrichr--Queries(rank=402)","619","0.17110000000000000","GTEx Coexpression,0.1711"
"RFX1","1.41802589842610871","1.41802589842610871","1.41802589842610871","Activated","132","viper","132","1.41802589842610871",NA,NA,"4","ReMap--ChIP-seq(rank=143); Enrichr--Queries(rank=822); ARCHS4--Coexpression(rank=839); GTEx--Coexpression(rank=1071)","1234","0.48149999999999998","ReMap ChIP-seq,0.4815"
"MEF2C","1.41010634368397003","1.41010634368397003","1.41010634368397003","Activated","133","viper","133","1.41010634368397003",NA,NA,"5","ENCODE--ChIP-seq(rank=109); ReMap--ChIP-seq(rank=296); Enrichr--Queries(rank=441); ARCHS4--Coexpression(rank=613); GTEx--Coexpression(rank=1335)","949","0.31409999999999999","Enrichr Queries,0.3141"
"KLF3","-1.39975402043674979","-1.39975402043674979","1.39975402043674979","Repressed","134","viper","134","1.39975402043674979",NA,NA,"4","ReMap--ChIP-seq(rank=201); GTEx--Coexpression(rank=481); Enrichr--Queries(rank=538); ARCHS4--Coexpression(rank=1016)","919","0.29930000000000001","GTEx Coexpression,0.2993"
"SOX10","1.39962777234264957","1.39962777234264957","1.39962777234264957","Activated","135","viper","135","1.39962777234264957",NA,NA,"4","ARCHS4--Coexpression(rank=211); ReMap--ChIP-seq(rank=284); GTEx--Coexpression(rank=430); Enrichr--Queries(rank=791)","489","0.12959999999999999","ARCHS4 Coexpression,0.1296"
"MAFB","1.39038845907902364","1.39038845907902364","1.39038845907902364","Activated","136","viper","136","1.39038845907902364",NA,NA,"4","ReMap--ChIP-seq(rank=236); Enrichr--Queries(rank=370); ARCHS4--Coexpression(rank=653); GTEx--Coexpression(rank=1222)","838","0.26350000000000001","Enrichr Queries,0.2635"
"BACH1","1.38564549301714823","1.38564549301714823","1.38564549301714823","Activated","137","viper","137","1.38564549301714823",NA,NA,"6","Literature--ChIP-seq(rank=2); ENCODE--ChIP-seq(rank=46); ReMap--ChIP-seq(rank=129); Enrichr--Queries(rank=674); ARCHS4--Coexpression(rank=1213); GTEx--Coexpression(rank=1261)","47","0.01220000000000000","Literature ChIP-seq,0.0122"
"FOXP2","-1.35915772474455787","-1.35915772474455787","1.35915772474455787","Repressed","138","viper","138","1.35915772474455787",NA,NA,"6","ReMap--ChIP-seq(rank=7); Literature--ChIP-seq(rank=68); ENCODE--ChIP-seq(rank=87); GTEx--Coexpression(rank=469); Enrichr--Queries(rank=518); ARCHS4--Coexpression(rank=1032)","91","0.02357000000000000","ReMap ChIP-seq,0.02357"
"POU5F1","1.35378184991061978","1.35378184991061978","1.35378184991061978","Activated","139","viper","139","1.35378184991061978",NA,NA,"5","Literature--ChIP-seq(rank=14); ReMap--ChIP-seq(rank=95); Enrichr--Queries(rank=128); ARCHS4--Coexpression(rank=147); GTEx--Coexpression(rank=446)","331","0.08537000000000000","Literature ChIP-seq,0.08537"
"REL","1.34722544709138847","1.34722544709138847","1.34722544709138847","Activated","140","viper","140","1.34722544709138847",NA,NA,"3","Enrichr--Queries(rank=341); GTEx--Coexpression(rank=1214); ARCHS4--Coexpression(rank=1537)","797","0.24290000000000000","Enrichr Queries,0.2429"
"MITF","-1.33776958564635340","-1.33776958564635340","1.33776958564635340","Repressed","141","viper","141","1.33776958564635340",NA,NA,"5","Literature--ChIP-seq(rank=36); ReMap--ChIP-seq(rank=171); Enrichr--Queries(rank=449); GTEx--Coexpression(rank=548); ARCHS4--Coexpression(rank=1114)","737","0.21950000000000000","Literature ChIP-seq,0.2195"
"CREB1","1.32957661416729978","1.32957661416729978","1.32957661416729978","Activated","142","viper","142","1.32957661416729978",NA,NA,"6","Literature--ChIP-seq(rank=61); ENCODE--ChIP-seq(rank=69); ReMap--ChIP-seq(rank=89); GTEx--Coexpression(rank=1052); ARCHS4--Coexpression(rank=1057); Enrichr--Queries(rank=1147)","920","0.29970000000000002","ReMap ChIP-seq,0.2997"
"ZNF740","1.32791928721085628","1.32791928721085628","1.32791928721085628","Activated","143","viper","143","1.32791928721085628",NA,NA,"4","ReMap--ChIP-seq(rank=156); Enrichr--Queries(rank=1052); GTEx--Coexpression(rank=1169); ARCHS4--Coexpression(rank=1391)","1286","0.52529999999999999","ReMap ChIP-seq,0.5253"
"IRF2","1.32033151150267658","1.32033151150267658","1.32033151150267658","Activated","144","viper","144","1.32033151150267658",NA,NA,"4","ReMap--ChIP-seq(rank=175); Enrichr--Queries(rank=583); ARCHS4--Coexpression(rank=654); GTEx--Coexpression(rank=1152)","1095","0.40170000000000000","ARCHS4 Coexpression,0.4017"
"FOS","1.31384779538645247","1.31384779538645247","1.31384779538645247","Activated","145","viper","145","1.31384779538645247",NA,NA,"5","ENCODE--ChIP-seq(rank=45); ReMap--ChIP-seq(rank=119); Enrichr--Queries(rank=173); GTEx--Coexpression(rank=397); ARCHS4--Coexpression(rank=802)","465","0.12320000000000000","Enrichr Queries,0.1232"
"NFATC1","1.29831409641964024","1.29831409641964024","1.29831409641964024","Activated","146","viper","146","1.29831409641964024",NA,NA,"5","ENCODE--ChIP-seq(rank=112); ReMap--ChIP-seq(rank=231); Enrichr--Queries(rank=265); GTEx--Coexpression(rank=405); ARCHS4--Coexpression(rank=662)","656","0.18870000000000001","Enrichr Queries,0.1887"
"TP73","1.29097494768221432","1.29097494768221432","1.29097494768221432","Activated","147","viper","147","1.29097494768221432",NA,NA,"3","Enrichr--Queries(rank=58); GTEx--Coexpression(rank=74); ARCHS4--Coexpression(rank=565)","160","0.04131000000000000","Enrichr Queries,0.04131"
