"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","VIPER","CollecTRI"
"1","E2F1","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","13.0","2","6","ENCODE--ChIP-seq(rank=63); Literature--ChIP-seq(rank=94); ReMap--ChIP-seq(rank=271); GTEx--Coexpression(rank=1074); ARCHS4--Coexpression(rank=1158); Enrichr--Queries(rank=1277)","1268","rank=24; score=3.1345; direction=Activated","rank=2; score=4.6653; p=3.0809e-06; direction=Activated"
"2","SP3","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","20.5","6","3","GTEx--Coexpression(rank=604); ARCHS4--Coexpression(rank=982); Enrichr--Queries(rank=1107)","986","rank=35; score=2.69; direction=Activated","rank=6; score=4.0892; p=4.3284e-05; direction=Activated"
"3","STAT1","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","33.5","10","6","ENCODE--ChIP-seq(rank=15); ReMap--ChIP-seq(rank=16); ARCHS4--Coexpression(rank=79); Literature--ChIP-seq(rank=153); Enrichr--Queries(rank=421); GTEx--Coexpression(rank=925)","211","rank=57; score=2.2116; direction=Activated","rank=10; score=3.7442; p=0.00018099; direction=Activated"
"4","FOXM1","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","39.0","7","6","Literature--ChIP-seq(rank=16); ENCODE--ChIP-seq(rank=67); ReMap--ChIP-seq(rank=272); ARCHS4--Coexpression(rank=957); GTEx--Coexpression(rank=1246); Enrichr--Queries(rank=1315)","373","rank=71; score=1.8761; direction=Activated","rank=7; score=3.8558; p=0.00011533; direction=Activated"
"5","MEIS1","VIPER;CollecTRI","5","DoRothEA;ChEA3;VIPER;ENRICHR;CollecTRI","39.0","34","5","Enrichr--Queries(rank=36); Literature--ChIP-seq(rank=49); GTEx--Coexpression(rank=210); ReMap--ChIP-seq(rank=241); ARCHS4--Coexpression(rank=776)","117","rank=34; score=2.7235; direction=Activated","rank=44; score=3.0363; p=0.0023946; direction=Activated"
"6","RELA","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","39.5","9","6","Literature--ChIP-seq(rank=13); ENCODE--ChIP-seq(rank=53); ReMap--ChIP-seq(rank=207); GTEx--Coexpression(rank=561); ARCHS4--Coexpression(rank=767); Enrichr--Queries(rank=797)","320","rank=70; score=1.909; direction=Activated","rank=9; score=3.8404; p=0.00012283; direction=Activated"
"7","RUNX2","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","43.5","5","5","ReMap--ChIP-seq(rank=7); Enrichr--Queries(rank=14); Literature--ChIP-seq(rank=30); GTEx--Coexpression(rank=98); ARCHS4--Coexpression(rank=122)","48","rank=5; score=4.2194; direction=Activated","rank=82; score=2.6562; p=0.0079035; direction=Activated"
"8","STAT3","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","46.0","4","6","Literature--ChIP-seq(rank=25); ReMap--ChIP-seq(rank=51); ENCODE--ChIP-seq(rank=54); GTEx--Coexpression(rank=362); ARCHS4--Coexpression(rank=423); Enrichr--Queries(rank=732)","525","rank=88; score=1.6317; direction=Activated","rank=4; score=4.251; p=2.1283e-05; direction=Activated"
"9","NCOA1","VIPER;CollecTRI","5","DoRothEA;ChEA3;VIPER;ENRICHR;CollecTRI","47.5","43","4","ARCHS4--Coexpression(rank=88); ReMap--ChIP-seq(rank=209); GTEx--Coexpression(rank=512); Enrichr--Queries(rank=514)","234","rank=43; score=2.4398; direction=Activated","rank=52; score=2.8916; p=0.0038328; direction=Activated"
"10","ETS1","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","48.0","12","6","ENCODE--ChIP-seq(rank=7); Enrichr--Queries(rank=48); ARCHS4--Coexpression(rank=86); GTEx--Coexpression(rank=95); Literature--ChIP-seq(rank=164); ReMap--ChIP-seq(rank=200)","158","rank=12; score=3.6105; direction=Activated","rank=84; score=2.5968; p=0.0094101; direction=Activated"
