"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","DoRothEA","VIPER","CollecTRI"
"1","IRF2","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","16.00000000000000","13","4","ReMap--ChIP-seq(rank=257); ARCHS4--Coexpression(rank=320); Enrichr--Queries(rank=538); GTEx--Coexpression(rank=1289)","686","rank=16; score=1.6366; p=0.023087","rank=19; score=3.5167; direction=Activated","rank=13; score=2.6322; p=0.0084843; direction=Activated"
"2","STAT1","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","33.33333333333334","20","6","ENCODE--ChIP-seq(rank=20); ReMap--ChIP-seq(rank=80); Literature--ChIP-seq(rank=116); Enrichr--Queries(rank=305); ARCHS4--Coexpression(rank=544); GTEx--Coexpression(rank=778)","604","rank=52; score=0.69222; p=0.20313","rank=28; score=3.2303; direction=Activated","rank=20; score=2.4918; p=0.012708; direction=Activated"
"3","MYOD1","DoRothEA;VIPER;CollecTRI","5","DoRothEA;ChEA3;VIPER;ENRICHR;CollecTRI","38.33333333333334","4","5","ENCODE--ChIP-seq(rank=18); ReMap--ChIP-seq(rank=29); ARCHS4--Coexpression(rank=64); Enrichr--Queries(rank=422); GTEx--Coexpression(rank=1039)","164","rank=4; score=2.2009; p=0.0062965","rank=15; score=3.6466; direction=Activated","rank=96; score=1.7847; p=0.074315; direction=Activated"
"4","MYC","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","39.00000000000000","1","6","Literature--ChIP-seq(rank=18); ENCODE--ChIP-seq(rank=57); ReMap--ChIP-seq(rank=227); GTEx--Coexpression(rank=739); Enrichr--Queries(rank=1263); ARCHS4--Coexpression(rank=1325)","420","rank=103; score=0.22222; p=0.59948","rank=13; score=4.1583; direction=Repressed","rank=1; score=4.1226; p=3.7461e-05; direction=Repressed"
"5","IRF1","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","39.33333333333334","28","6","ENCODE--ChIP-seq(rank=88); Literature--ChIP-seq(rank=103); ReMap--ChIP-seq(rank=130); ARCHS4--Coexpression(rank=293); Enrichr--Queries(rank=408); GTEx--Coexpression(rank=1215)","637","rank=58; score=0.64434; p=0.22681","rank=32; score=3.047; direction=Activated","rank=28; score=2.3283; p=0.019895; direction=Activated"
"6","E2F4","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","39.66666666666667","2","6","ENCODE--ChIP-seq(rank=32); Literature--ChIP-seq(rank=143); ReMap--ChIP-seq(rank=217); Enrichr--Queries(rank=1145); ARCHS4--Coexpression(rank=1344); GTEx--Coexpression(rank=1566)","870","rank=107; score=0.069226; p=0.85266","rank=10; score=4.4476; direction=Repressed","rank=2; score=4.1164; p=3.8478e-05; direction=Repressed"
"7","ATF4","DoRothEA;VIPER;CollecTRI","5","DoRothEA;ChEA3;VIPER;TRRUST;CollecTRI","47.33333333333333","3","4","ReMap--ChIP-seq(rank=16); GTEx--Coexpression(rank=366); Enrichr--Queries(rank=875); ARCHS4--Coexpression(rank=1360)","223","rank=114; score=0; p=1","rank=25; score=3.3093; direction=Repressed","rank=3; score=3.964; p=7.3707e-05; direction=Repressed"
"8","SPI1","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","57.33333333333334","50","6","ENCODE--ChIP-seq(rank=59); Literature--ChIP-seq(rank=119); ReMap--ChIP-seq(rank=212); ARCHS4--Coexpression(rank=499); GTEx--Coexpression(rank=731); Enrichr--Queries(rank=979)","938","rank=50; score=0.70659; p=0.19652","rank=59; score=2.4023; direction=Activated","rank=63; score=1.893; p=0.058356; direction=Activated"
"9","MEF2A","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","62.33333333333333","5","6","ENCODE--ChIP-seq(rank=47); Literature--ChIP-seq(rank=49); ARCHS4--Coexpression(rank=79); ReMap--ChIP-seq(rank=122); Enrichr--Queries(rank=519); GTEx--Coexpression(rank=1080)","197","rank=49; score=0.70659; p=0.19652","rank=5; score=4.6704; direction=Activated","rank=133; score=1.5853; p=0.1129; direction=Activated"
"10","JUNB","DoRothEA;VIPER;CollecTRI","5","DoRothEA;ChEA3;VIPER;TRRUST;CollecTRI","69.00000000000000","42","4","ReMap--ChIP-seq(rank=163); ARCHS4--Coexpression(rank=1070); Enrichr--Queries(rank=1118); GTEx--Coexpression(rank=1253)","1377","rank=77; score=0.46626; p=0.34178","rank=42; score=2.7289; direction=Activated","rank=88; score=1.8178; p=0.06909; direction=Activated"
