"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","ChEA3","ENRICHR","TRRUST"
"1","ATF4","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","5.00000000000000","1","4","ReMap--ChIP-seq(rank=1); GTEx--Coexpression(rank=166); Enrichr--Queries(rank=447); ARCHS4--Coexpression(rank=898)","13","rank=13; score=0.003367","rank=1; score=96.682; p=4.4787e-06; adjP=0.001693","rank=1; score=5.3488; p=4.4791e-06"
"2","FOXM1","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","21.66666666666667","9","6","GTEx--Coexpression(rank=4); Enrichr--Queries(rank=15); ENCODE--ChIP-seq(rank=39); Literature--ChIP-seq(rank=54); ARCHS4--Coexpression(rank=99); ReMap--ChIP-seq(rank=191)","10","rank=10; score=0.002489","rank=46; score=55.867; p=6.3885e-05; adjP=0.00071418","rank=9; score=2.9804; p=0.0010461"
"3","E2F1","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","24.00000000000000","8","6","Enrichr--Queries(rank=3); GTEx--Coexpression(rank=5); ARCHS4--Coexpression(rank=45); ENCODE--ChIP-seq(rank=57); Literature--ChIP-seq(rank=83); ReMap--ChIP-seq(rank=267)","8","rank=8; score=0.002137","rank=53; score=14.987; p=0.0023407; adjP=0.057386","rank=11; score=2.6306; p=0.0023408"
"4","SOX2","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","34.00000000000000","3","5","Literature--ChIP-seq(rank=1); Enrichr--Queries(rank=190); ReMap--ChIP-seq(rank=284); GTEx--Coexpression(rank=453); ARCHS4--Coexpression(rank=678)","24","rank=24; score=0.006098","rank=3; score=169.24; p=3.3878e-28; adjP=2.5375e-25","rank=75; score=1.0459; p=0.089978"
"5","MYB","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","37.00000000000000","10","6","Enrichr--Queries(rank=17); Literature--ChIP-seq(rank=19); ENCODE--ChIP-seq(rank=97); GTEx--Coexpression(rank=139); ARCHS4--Coexpression(rank=140); ReMap--ChIP-seq(rank=240)","51","rank=51; score=0.01211","rank=50; score=28.698; p=3.9483e-05; adjP=0.00046207","rank=10; score=2.7309; p=0.0018583"
"6","EGR1","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","37.66666666666666","2","6","Literature--ChIP-seq(rank=3); ENCODE--ChIP-seq(rank=18); ReMap--ChIP-seq(rank=254); GTEx--Coexpression(rank=380); Enrichr--Queries(rank=595); ARCHS4--Coexpression(rank=611)","75","rank=75; score=0.01829","rank=2; score=41.213; p=8.8835e-12; adjP=1.3308e-09","rank=36; score=1.5537; p=0.027943"
"7","CDX1","ChEA3;ENRICHR;TRRUST","4","ChEA3;ENRICHR;TRRUST;CollecTRI","38.66666666666666","12","3","ARCHS4--Coexpression(rank=17); GTEx--Coexpression(rank=203); Enrichr--Queries(rank=237)","45","rank=45; score=0.01044","rank=59; score=61.051; p=0.0054245; adjP=0.10792","rank=12; score=2.2656; p=0.0054246"
"8","GATA3","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","41.66666666666666","37","6","ENCODE--ChIP-seq(rank=4); ARCHS4--Coexpression(rank=14); Literature--ChIP-seq(rank=31); ReMap--ChIP-seq(rank=42); Enrichr--Queries(rank=127); GTEx--Coexpression(rank=204)","37","rank=37; score=0.0086","rank=44; score=18.49; p=8.9133e-06; adjP=0.00013841","rank=44; score=1.4379; p=0.03648"
"9","ESR1","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","42.66666666666666","41","6","ReMap--ChIP-seq(rank=3); ENCODE--ChIP-seq(rank=14); ARCHS4--Coexpression(rank=29); Literature--ChIP-seq(rank=35); GTEx--Coexpression(rank=458); Enrichr--Queries(rank=589)","44","rank=44; score=0.0101","rank=41; score=31.632; p=2.2881e-09; adjP=1.7138e-07","rank=43; score=1.4961; p=0.031905"
"10","CDX2","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","59.00000000000000","24","5","ARCHS4--Coexpression(rank=15); ReMap--ChIP-seq(rank=35); Literature--ChIP-seq(rank=64); GTEx--Coexpression(rank=198); Enrichr--Queries(rank=558)","39","rank=39; score=0.009214","rank=114; score=14.41; p=0.010741; adjP=0.035132","rank=24; score=1.731; p=0.018577"
