"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","DoRothEA","ChEA3","VIPER"
"1","RUNX2","DoRothEA;ChEA3;VIPER","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","27.33333333333334","2","5","ReMap--ChIP-seq(rank=5); Literature--ChIP-seq(rank=12); GTEx--Coexpression(rank=26); Enrichr--Queries(rank=65); ARCHS4--Coexpression(rank=208)","72","rank=2; score=5.0346; p=9.2347e-06","rank=72; score=0.01618","rank=8; score=4.6107; direction=Activated"
"2","TEAD1","DoRothEA;ChEA3;VIPER","5","DoRothEA;ChEA3;VIPER;TRRUST;CollecTRI","36.33333333333333","1","4","ReMap--ChIP-seq(rank=7); ARCHS4--Coexpression(rank=132); Enrichr--Queries(rank=219); GTEx--Coexpression(rank=547)","102","rank=6; score=4.6571; p=2.2023e-05","rank=102; score=0.02357","rank=1; score=6.8407; direction=Activated"
"3","MEIS1","DoRothEA;ChEA3;VIPER","5","DoRothEA;ChEA3;VIPER;ENRICHR;CollecTRI","43.33333333333334","38","5","Enrichr--Queries(rank=16); Literature--ChIP-seq(rank=30); ReMap--ChIP-seq(rank=58); GTEx--Coexpression(rank=114); ARCHS4--Coexpression(rank=509)","51","rank=41; score=2.1001; p=0.0079412","rank=51; score=0.0114","rank=38; score=3.2082; direction=Activated"
"4","MEIS2","DoRothEA;ChEA3;VIPER","4","DoRothEA;ChEA3;VIPER;CollecTRI","44.33333333333334","16","4","Enrichr--Queries(rank=32); ARCHS4--Coexpression(rank=66); GTEx--Coexpression(rank=75); ReMap--ChIP-seq(rank=174)","98","rank=16; score=3.2978; p=0.00050374","rank=98; score=0.02279","rank=19; score=4.0078; direction=Activated"
"5","ATF4","DoRothEA;ChEA3;VIPER","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","50.66666666666667","4","4","ReMap--ChIP-seq(rank=8); GTEx--Coexpression(rank=105); Enrichr--Queries(rank=1175); ARCHS4--Coexpression(rank=1559)","118","rank=4; score=4.9605; p=1.0953e-05","rank=118; score=0.02694","rank=30; score=3.4013; direction=Repressed"
"6","TCF12","DoRothEA;ChEA3;VIPER","5","DoRothEA;ChEA3;VIPER;ENRICHR;CollecTRI","52.33333333333334","2","5","ENCODE--ChIP-seq(rank=3); ReMap--ChIP-seq(rank=102); ARCHS4--Coexpression(rank=306); GTEx--Coexpression(rank=740); Enrichr--Queries(rank=888)","110","rank=45; score=2.0315; p=0.0093008","rank=110; score=0.02542","rank=2; score=5.7469; direction=Activated"
"7","PRDM14","DoRothEA;ChEA3;VIPER","4","DoRothEA;ChEA3;VIPER;ENRICHR","53.33333333333334","15","5","ReMap--ChIP-seq(rank=6); Literature--ChIP-seq(rank=16); ARCHS4--Coexpression(rank=464); Enrichr--Queries(rank=533); GTEx--Coexpression(rank=964)","86","rank=15; score=3.3048; p=0.00049568","rank=86; score=0.0202","rank=59; score=2.6846; direction=Activated"
"8","FOXP1","DoRothEA;ChEA3;VIPER","5","DoRothEA;ChEA3;VIPER;ENRICHR;CollecTRI","57.00000000000000","3","5","GTEx--Coexpression(rank=60); Literature--ChIP-seq(rank=123); ReMap--ChIP-seq(rank=210); ARCHS4--Coexpression(rank=503); Enrichr--Queries(rank=681)","165","rank=3; score=4.9987; p=1.003e-05","rank=165; score=0.03734","rank=3; score=5.6306; direction=Repressed"
"9","STAT2","DoRothEA;ChEA3;VIPER","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","64.00000000000000","19","5","ENCODE--ChIP-seq(rank=4); ReMap--ChIP-seq(rank=22); ARCHS4--Coexpression(rank=56); Enrichr--Queries(rank=346); GTEx--Coexpression(rank=1102)","149","rank=19; score=2.9645; p=0.0010852","rank=149; score=0.0339","rank=24; score=3.7898; direction=Activated"
"10","MEF2C","DoRothEA;ChEA3;VIPER","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","69.66666666666667","11","5","ARCHS4--Coexpression(rank=40); ENCODE--ChIP-seq(rank=56); Enrichr--Queries(rank=74); ReMap--ChIP-seq(rank=220); GTEx--Coexpression(rank=690)","106","rank=11; score=3.8121; p=0.00015414","rank=106; score=0.02457","rank=92; score=1.9817; direction=Activated"
