"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","ChEA3","ENRICHR"
"1","MTF2","ChEA3;ENRICHR","3","ChEA3;ENRICHR;CollecTRI","15.0","5","3","Literature--ChIP-seq(rank=1); ARCHS4--Coexpression(rank=357); GTEx--Coexpression(rank=664)","25","rank=25; score=0.006098","rank=5; score=65.534; p=9.1875e-10; adjP=3.3075e-07"
"2","BCL11A","ChEA3;ENRICHR","5","DoRothEA;ChEA3;VIPER;ENRICHR;CollecTRI","24.0","11","5","ENCODE--ChIP-seq(rank=1); ReMap--ChIP-seq(rank=76); ARCHS4--Coexpression(rank=252); GTEx--Coexpression(rank=468); Enrichr--Queries(rank=664)","37","rank=37; score=0.008475","rank=11; score=18.935; p=0.014552; adjP=1"
"3","WT1","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","35.0","15","4","Literature--ChIP-seq(rank=2); ARCHS4--Coexpression(rank=165); GTEx--Coexpression(rank=211); Enrichr--Queries(rank=645)","55","rank=55; score=0.0122","rank=15; score=41.139; p=1.5241e-07; adjP=2.7435e-05"
"4","ZEB1","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","39.0","32","5","ENCODE--ChIP-seq(rank=5); Enrichr--Queries(rank=14); ReMap--ChIP-seq(rank=137); GTEx--Coexpression(rank=145); ARCHS4--Coexpression(rank=845)","46","rank=46; score=0.009972","rank=32; score=24.014; p=0.064496; adjP=0.2854"
"5","ZNF217","ChEA3;ENRICHR","4","DoRothEA;ChEA3;VIPER;ENRICHR","41.5","23","6","ENCODE--ChIP-seq(rank=3); ReMap--ChIP-seq(rank=4); Literature--ChIP-seq(rank=21); Enrichr--Queries(rank=817); ARCHS4--Coexpression(rank=829); GTEx--Coexpression(rank=1176)","60","rank=60; score=0.01347","rank=23; score=24.014; p=0.015013; adjP=0.10494"
"6","ERG","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","42.0","25","5","GTEx--Coexpression(rank=21); Literature--ChIP-seq(rank=84); Enrichr--Queries(rank=86); ReMap--ChIP-seq(rank=213); ARCHS4--Coexpression(rank=596)","59","rank=59; score=0.01307","rank=25; score=20.29; p=0.042552; adjP=0.32986"
"7","PPARG","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","44.0","27","5","GTEx--Coexpression(rank=10); ReMap--ChIP-seq(rank=47); Literature--ChIP-seq(rank=76); ARCHS4--Coexpression(rank=148); Enrichr--Queries(rank=353)","27","rank=27; score=0.006223","rank=61; score=20.317; p=0.00023114; adjP=0.0092454"
"8","PRDM14","ChEA3;ENRICHR","4","DoRothEA;ChEA3;VIPER;ENRICHR","44.5","13","5","ReMap--ChIP-seq(rank=5); ARCHS4--Coexpression(rank=39); Literature--ChIP-seq(rank=55); Enrichr--Queries(rank=278); GTEx--Coexpression(rank=1050)","76","rank=76; score=0.01684","rank=13; score=143.64; p=0.03162; adjP=0.32062"
"9","ZBTB7A","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","45.5","14","5","ENCODE--ChIP-seq(rank=2); ReMap--ChIP-seq(rank=51); GTEx--Coexpression(rank=138); ARCHS4--Coexpression(rank=581); Enrichr--Queries(rank=1304)","77","rank=77; score=0.01695","rank=14; score=6.9879; p=0.016155; adjP=1"
"10","CBX2","ChEA3;ENRICHR","2","ChEA3;ENRICHR","47.0","47","5","ReMap--ChIP-seq(rank=3); ENCODE--ChIP-seq(rank=8); ARCHS4--Coexpression(rank=333); GTEx--Coexpression(rank=728); Enrichr--Queries(rank=963)","47","rank=47; score=0.0101","rank=47; score=2.9017; p=0.11907; adjP=0.47694"
