"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","ChEA3","ENRICHR","CollecTRI"
"1","NFE2L2","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","38.66666666666666","27","5","GTEx--Coexpression(rank=16); Literature--ChIP-seq(rank=36); ReMap--ChIP-seq(rank=144); ARCHS4--Coexpression(rank=185); Enrichr--Queries(rank=380)","45","rank=45; score=0.009956","rank=27; score=17.376; p=0.00015464; adjP=0.0007343","rank=44; score=2.1649; p=0.030396; direction=Repressed"
"2","SOX2","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","45.33333333333334","9","5","Literature--ChIP-seq(rank=2); ARCHS4--Coexpression(rank=126); ReMap--ChIP-seq(rank=161); GTEx--Coexpression(rank=289); Enrichr--Queries(rank=351)","54","rank=54; score=0.0122","rank=9; score=138.59; p=9.2005e-27; adjP=2.3155e-24","rank=73; score=1.8668; p=0.061923; direction=Activated"
"3","BACH1","ChEA3;ENRICHR;CollecTRI","5","DoRothEA;ChEA3;VIPER;ENRICHR;CollecTRI","73.33333333333333","37","6","Literature--ChIP-seq(rank=3); ENCODE--ChIP-seq(rank=55); ReMap--ChIP-seq(rank=178); Enrichr--Queries(rank=445); ARCHS4--Coexpression(rank=555); GTEx--Coexpression(rank=1296)","79","rank=79; score=0.01829","rank=37; score=68.35; p=1.4356e-14; adjP=9.8531e-13","rank=104; score=1.7074; p=0.08774; direction=Repressed"
"4","KLF5","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","74.00000000000000","20","5","GTEx--Coexpression(rank=7); ARCHS4--Coexpression(rank=9); ReMap--ChIP-seq(rank=18); Enrichr--Queries(rank=29); Literature--ChIP-seq(rank=56)","20","rank=20; score=0.004356","rank=28; score=100.94; p=0.00012732; adjP=0.00065391","rank=174; score=1.3744; p=0.16932; direction=Repressed"
"5","SOX9","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","102.33333333333333","88","5","Literature--ChIP-seq(rank=8); Enrichr--Queries(rank=28); ReMap--ChIP-seq(rank=110); ARCHS4--Coexpression(rank=294); GTEx--Coexpression(rank=423)","88","rank=88; score=0.01994","rank=128; score=26.923; p=6.0838e-08; adjP=1.0936e-06","rank=91; score=1.7989; p=0.072037; direction=Activated"
"6","AHR","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","111.33333333333333","46","5","Enrichr--Queries(rank=14); GTEx--Coexpression(rank=19); Literature--ChIP-seq(rank=45); ReMap--ChIP-seq(rank=149); ARCHS4--Coexpression(rank=534)","46","rank=46; score=0.009972","rank=238; score=20.846; p=1.1298e-05; adjP=9.1829e-05","rank=50; score=2.0797; p=0.037549; direction=Repressed"
"7","TFAP2A","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","126.66666666666667","32","6","ENCODE--ChIP-seq(rank=23); Enrichr--Queries(rank=86); ReMap--ChIP-seq(rank=98); ARCHS4--Coexpression(rank=102); Literature--ChIP-seq(rank=109); GTEx--Coexpression(rank=169)","243","rank=243; score=0.06125","rank=32; score=11.034; p=0.010594; adjP=0.079964","rank=105; score=1.7048; p=0.088233; direction=Activated"
"8","KCNIP3","ChEA3;ENRICHR;CollecTRI","3","ChEA3;ENRICHR;CollecTRI","132.33333333333334","19","2","ARCHS4--Coexpression(rank=7); GTEx--Coexpression(rank=69)","19","rank=19; score=0.0043","rank=342; score=9.9154; p=0.10483; adjP=0.27425","rank=36; score=2.2796; p=0.022629; direction=Repressed"
"9","ZBTB7A","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","133.00000000000000","28","5","ReMap--ChIP-seq(rank=2); ENCODE--ChIP-seq(rank=9); GTEx--Coexpression(rank=124); ARCHS4--Coexpression(rank=348); Enrichr--Queries(rank=977)","28","rank=28; score=0.006734","rank=96; score=2.8216; p=0.083834; adjP=0.53645","rank=275; score=1.0552; p=0.29135; direction=Repressed"
"10","OLIG2","ChEA3;ENRICHR;CollecTRI","3","ChEA3;ENRICHR;CollecTRI","133.66666666666666","43","4","Literature--ChIP-seq(rank=20); ARCHS4--Coexpression(rank=71); Enrichr--Queries(rank=438); GTEx--Coexpression(rank=666)","185","rank=185; score=0.04361","rank=173; score=22.817; p=5.0236e-07; adjP=6.1174e-06","rank=43; score=2.1677; p=0.03018; direction=Repressed"
