"TF","MD_ALL","Activity_Score_Mean","Score","Method_Direction","Rank","Method","Method_Rank","Method_Score","Method_P_Value","Method_Adjusted_P_Value","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"ZNF263","-6.6415244938283013454","-6.6415244938283013454","6.6415244938283013454","Repressed","1","viper","1","6.6415244938283013454",NA,NA,"6","ENCODE--ChIP-seq(rank=15); ReMap--ChIP-seq(rank=75); Literature--ChIP-seq(rank=108); Enrichr--Queries(rank=957); GTEx--Coexpression(rank=983); ARCHS4--Coexpression(rank=1346)","481","0.127099999999999991","ENCODE ChIP-seq,0.1271"
"PRDM14","5.1600886966832444358","5.1600886966832444358","5.1600886966832444358","Activated","2","viper","2","5.1600886966832444358",NA,NA,"5","ReMap--ChIP-seq(rank=5); ARCHS4--Coexpression(rank=39); Literature--ChIP-seq(rank=55); Enrichr--Queries(rank=278); GTEx--Coexpression(rank=1050)","76","0.016840000000000001","ReMap ChIP-seq,0.01684"
"ZBTB7A","-4.8119867444243586974","-4.8119867444243586974","4.8119867444243586974","Repressed","3","viper","3","4.8119867444243586974",NA,NA,"5","ENCODE--ChIP-seq(rank=2); ReMap--ChIP-seq(rank=51); GTEx--Coexpression(rank=138); ARCHS4--Coexpression(rank=581); Enrichr--Queries(rank=1304)","77","0.016950000000000000","ENCODE ChIP-seq,0.01695"
"TEAD1","4.8098987037010010326","4.8098987037010010326","4.8098987037010010326","Activated","4","viper","4","4.8098987037010010326",NA,NA,"4","Enrichr--Queries(rank=32); ARCHS4--Coexpression(rank=60); ReMap--ChIP-seq(rank=125); GTEx--Coexpression(rank=213)","96","0.022790000000000001","Enrichr Queries,0.02279"
"MEF2A","4.6703841403227048801","4.6703841403227048801","4.6703841403227048801","Activated","5","viper","5","4.6703841403227048801",NA,NA,"6","ENCODE--ChIP-seq(rank=47); Literature--ChIP-seq(rank=49); ARCHS4--Coexpression(rank=79); ReMap--ChIP-seq(rank=122); Enrichr--Queries(rank=519); GTEx--Coexpression(rank=1080)","197","0.048529999999999997","ARCHS4 Coexpression,0.04853"
"FOXP1","-4.5555186050635168016","-4.5555186050635168016","4.5555186050635168016","Repressed","6","viper","6","4.5555186050635168016",NA,NA,"5","Literature--ChIP-seq(rank=130); ReMap--ChIP-seq(rank=136); Enrichr--Queries(rank=139); GTEx--Coexpression(rank=441); ARCHS4--Coexpression(rank=651)","381","0.099000000000000005","Enrichr Queries,0.099"
"TCF12","4.4950381615736478835","4.4950381615736478835","4.4950381615736478835","Activated","7","viper","7","4.4950381615736478835",NA,NA,"5","ENCODE--ChIP-seq(rank=14); ARCHS4--Coexpression(rank=80); ReMap--ChIP-seq(rank=206); GTEx--Coexpression(rank=296); Enrichr--Queries(rank=380)","200","0.049140000000000003","ARCHS4 Coexpression,0.04914"
"NR2C2","-4.4536361345693054048","-4.4536361345693054048","4.4536361345693054048","Repressed","8","viper","8","4.4536361345693054048",NA,NA,"5","ENCODE--ChIP-seq(rank=111); ReMap--ChIP-seq(rank=255); Enrichr--Queries(rank=930); GTEx--Coexpression(rank=1367); ARCHS4--Coexpression(rank=1385)","1503","0.662399999999999989","Enrichr Queries,0.6624"
"TEAD4","4.4503675577308676736","4.4503675577308676736","4.4503675577308676736","Activated","9","viper","9","4.4503675577308676736",NA,NA,"6","ENCODE--ChIP-seq(rank=19); Literature--ChIP-seq(rank=32); ReMap--ChIP-seq(rank=102); Enrichr--Queries(rank=467); GTEx--Coexpression(rank=1118); ARCHS4--Coexpression(rank=1397)","581","0.161000000000000004","ENCODE ChIP-seq,0.161"
"E2F4","-4.4475539422671586109","-4.4475539422671586109","4.4475539422671586109","Repressed","10","viper","10","4.4475539422671586109",NA,NA,"6","ENCODE--ChIP-seq(rank=32); Literature--ChIP-seq(rank=143); ReMap--ChIP-seq(rank=217); Enrichr--Queries(rank=1145); ARCHS4--Coexpression(rank=1344); GTEx--Coexpression(rank=1566)","870","0.271199999999999997","ENCODE ChIP-seq,0.2712"
