"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","DoRothEA","VIPER","CollecTRI"
"1","ATF4","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","2.666666666666667","1","4","ReMap--ChIP-seq(rank=1); GTEx--Coexpression(rank=166); Enrichr--Queries(rank=447); ARCHS4--Coexpression(rank=898)","13","rank=1; score=6.5407; p=2.8795e-07","rank=2; score=5.298; direction=Repressed","rank=5; score=3.7524; p=0.00017518; direction=Repressed"
"2","E2F4","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","3.000000000000000","1","6","ENCODE--ChIP-seq(rank=13); Literature--ChIP-seq(rank=55); ReMap--ChIP-seq(rank=181); Enrichr--Queries(rank=465); GTEx--Coexpression(rank=473); ARCHS4--Coexpression(rank=1018)","441","rank=7; score=3.5888; p=0.00025776","rank=1; score=7.0146; direction=Activated","rank=1; score=8.6938; p=3.5051e-18; direction=Activated"
"3","E2F1","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","5.333333333333333","3","6","Enrichr--Queries(rank=3); GTEx--Coexpression(rank=5); ARCHS4--Coexpression(rank=45); ENCODE--ChIP-seq(rank=57); Literature--ChIP-seq(rank=83); ReMap--ChIP-seq(rank=267)","8","rank=9; score=3.1996; p=0.00063161","rank=4; score=5.1746; direction=Activated","rank=3; score=5.1811; p=2.2062e-07; direction=Activated"
"4","E2F2","DoRothEA;VIPER;CollecTRI","5","DoRothEA;ChEA3;VIPER;ENRICHR;CollecTRI","14.666666666666668","2","3","Enrichr--Queries(rank=12); ARCHS4--Coexpression(rank=16); GTEx--Coexpression(rank=849)","36","rank=39; score=1.5479; p=0.028321","rank=3; score=5.2897; direction=Activated","rank=2; score=5.6492; p=1.6121e-08; direction=Activated"
"5","GRHL2","DoRothEA;VIPER;CollecTRI","5","DoRothEA;ChEA3;VIPER;ENRICHR;CollecTRI","17.333333333333332","8","5","ARCHS4--Coexpression(rank=2); GTEx--Coexpression(rank=3); ReMap--ChIP-seq(rank=4); Enrichr--Queries(rank=26); Literature--ChIP-seq(rank=79)","4","rank=8; score=3.3627; p=0.00043383","rank=9; score=3.6829; direction=Repressed","rank=35; score=1.9735; p=0.048438; direction=Repressed"
"6","ESRRA","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","24.666666666666668","20","5","ENCODE--ChIP-seq(rank=78); ReMap--ChIP-seq(rank=115); ARCHS4--Coexpression(rank=409); Enrichr--Queries(rank=991); GTEx--Coexpression(rank=1424)","845","rank=20; score=2.2034; p=0.0062604","rank=27; score=2.4834; direction=Repressed","rank=27; score=2.1847; p=0.02891; direction=Repressed"
"7","TFDP1","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","31.666666666666664","6","4","GTEx--Coexpression(rank=17); Enrichr--Queries(rank=74); ARCHS4--Coexpression(rank=124); ReMap--ChIP-seq(rank=231)","46","rank=78; score=0.94313; p=0.11399","rank=6; score=3.8604; direction=Activated","rank=11; score=2.9344; p=0.0033424; direction=Activated"
"8","E2F3","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","32.000000000000000","4","3","Enrichr--Queries(rank=80); ARCHS4--Coexpression(rank=281); GTEx--Coexpression(rank=1205)","229","rank=84; score=0.88432; p=0.13052","rank=8; score=3.711; direction=Activated","rank=4; score=4.4736; p=7.6908e-06; direction=Activated"
"9","SREBF1","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","39.666666666666664","6","6","ENCODE--ChIP-seq(rank=84); Literature--ChIP-seq(rank=95); GTEx--Coexpression(rank=111); ReMap--ChIP-seq(rank=116); Enrichr--Queries(rank=464); ARCHS4--Coexpression(rank=681)","282","rank=35; score=1.6209; p=0.02394","rank=78; score=1.4477; direction=Repressed","rank=6; score=3.7017; p=0.00021417; direction=Repressed"
"10","FOXO1","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","50.000000000000000","17","5","Literature--ChIP-seq(rank=11); ReMap--ChIP-seq(rank=159); ARCHS4--Coexpression(rank=408); Enrichr--Queries(rank=518); GTEx--Coexpression(rank=725)","271","rank=29; score=1.7573; p=0.017484","rank=17; score=2.8123; direction=Repressed","rank=104; score=1.5725; p=0.11584; direction=Repressed"
