"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","ENRICHR","TRRUST","CollecTRI"
"1","SP1","ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","3.333333333333333","1","5","ENCODE--ChIP-seq(rank=87); ReMap--ChIP-seq(rank=198); GTEx--Coexpression(rank=807); Enrichr--Queries(rank=1206); ARCHS4--Coexpression(rank=1417)","1201","rank=4; score=37.291; p=1.1605e-07; adjP=4.6072e-05","rank=1; score=6.9353; p=1.1607e-07","rank=5; score=4.4993; p=6.8167e-06; direction=Activated"
"2","SMAD4","ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","12.666666666666666","1","5","ReMap--ChIP-seq(rank=12); Literature--ChIP-seq(rank=17); GTEx--Coexpression(rank=1211); Enrichr--Queries(rank=1256); ARCHS4--Coexpression(rank=1350)","176","rank=17; score=37.996; p=5.1761e-10; adjP=9.9674e-09","rank=20; score=2.6163; p=0.0024195","rank=1; score=6.2334; p=4.565e-10; direction=Activated"
"3","SP3","ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","14.333333333333332","3","3","GTEx--Coexpression(rank=1013); Enrichr--Queries(rank=1266); ARCHS4--Coexpression(rank=1537)","1392","rank=31; score=22.071; p=0.00044998; adjP=0.017864","rank=9; score=3.3468; p=0.00044999","rank=3; score=4.7532; p=2.0021e-06; direction=Activated"
"4","ZEB1","ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","17.000000000000000","8","5","ENCODE--ChIP-seq(rank=19); GTEx--Coexpression(rank=125); Enrichr--Queries(rank=156); ARCHS4--Coexpression(rank=160); ReMap--ChIP-seq(rank=231)","305","rank=27; score=83.399; p=0.00044087; adjP=0.017864","rank=8; score=3.3557; p=0.00044088","rank=16; score=3.8881; p=0.00010104; direction=Activated"
"5","RELA","ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","21.000000000000000","12","6","Literature--ChIP-seq(rank=28); ENCODE--ChIP-seq(rank=32); ReMap--ChIP-seq(rank=234); GTEx--Coexpression(rank=517); Enrichr--Queries(rank=1012); ARCHS4--Coexpression(rank=1162)","567","rank=37; score=19.616; p=8.3663e-06; adjP=5.8721e-05","rank=12; score=2.9121; p=0.0012243","rank=14; score=4.0381; p=5.3882e-05; direction=Activated"
"6","STAT3","ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","27.666666666666668","9","6","Literature--ChIP-seq(rank=27); ENCODE--ChIP-seq(rank=36); ReMap--ChIP-seq(rank=60); GTEx--Coexpression(rank=244); ARCHS4--Coexpression(rank=764); Enrichr--Queries(rank=852)","522","rank=56; score=24.308; p=5.6771e-07; adjP=5.9216e-06","rank=18; score=2.6865; p=0.0020583","rank=9; score=4.4013; p=1.0763e-05; direction=Activated"
"7","ATF4","ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","28.333333333333336","2","4","ReMap--ChIP-seq(rank=8); GTEx--Coexpression(rank=105); Enrichr--Queries(rank=1175); ARCHS4--Coexpression(rank=1559)","118","rank=6; score=78.259; p=1.253e-05; adjP=0.0024872","rank=2; score=4.902; p=1.2531e-05","rank=77; score=2.8173; p=0.0048432; direction=Repressed"
"8","STAT1","ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","32.000000000000000","11","6","ENCODE--ChIP-seq(rank=7); ReMap--ChIP-seq(rank=16); ARCHS4--Coexpression(rank=95); Literature--ChIP-seq(rank=136); Enrichr--Queries(rank=270); GTEx--Coexpression(rank=1038)","224","rank=60; score=13.277; p=0.002641; adjP=0.0081959","rank=25; score=2.2112; p=0.0061492","rank=11; score=4.2557; p=2.0838e-05; direction=Activated"
"9","CEBPA","ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","35.000000000000000","8","5","Literature--ChIP-seq(rank=94); ReMap--ChIP-seq(rank=120); ARCHS4--Coexpression(rank=382); Enrichr--Queries(rank=637); GTEx--Coexpression(rank=858)","711","rank=19; score=5.7213; p=0.029912; adjP=0.06373","rank=78; score=0.83246; p=0.14707","rank=8; score=4.4042; p=1.0618e-05; direction=Activated"
"10","VDR","ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","38.000000000000000","17","5","Literature--ChIP-seq(rank=44); ReMap--ChIP-seq(rank=155); Enrichr--Queries(rank=335); ARCHS4--Coexpression(rank=365); GTEx--Coexpression(rank=773)","688","rank=70; score=16.952; p=0.00032054; adjP=0.0014502","rank=27; score=2.1306; p=0.0074024","rank=17; score=3.8547; p=0.00011585; direction=Activated"
