"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","DoRothEA","ChEA3","ENRICHR","TRRUST"
"1","WT1","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","34.50","15","4","Literature--ChIP-seq(rank=2); ARCHS4--Coexpression(rank=165); GTEx--Coexpression(rank=211); Enrichr--Queries(rank=645)","55","rank=17; score=1.595; p=0.02541","rank=55; score=0.0122","rank=15; score=41.139; p=1.5241e-07; adjP=2.7435e-05","rank=51; score=0.43444; p=0.36776"
"2","ZEB1","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","34.75","22","5","ENCODE--ChIP-seq(rank=5); Enrichr--Queries(rank=14); ReMap--ChIP-seq(rank=137); GTEx--Coexpression(rank=145); ARCHS4--Coexpression(rank=845)","46","rank=39; score=0.94483; p=0.11355","rank=46; score=0.009972","rank=32; score=24.014; p=0.064496; adjP=0.2854","rank=22; score=1.0036; p=0.09918"
"3","RARA","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","40.25","1","5","Literature--ChIP-seq(rank=3); ReMap--ChIP-seq(rank=173); GTEx--Coexpression(rank=771); ARCHS4--Coexpression(rank=806); Enrichr--Queries(rank=1100)","81","rank=1; score=2.4619; p=0.003452","rank=81; score=0.01829","rank=45; score=24.119; p=7.3563e-05; adjP=0.0038563","rank=34; score=0.72451; p=0.18858"
"4","GATA3","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","42.75","4","6","Literature--ChIP-seq(rank=5); ENCODE--ChIP-seq(rank=9); ReMap--ChIP-seq(rank=18); Enrichr--Queries(rank=302); GTEx--Coexpression(rank=483); ARCHS4--Coexpression(rank=488)","131","rank=14; score=1.6823; p=0.020781","rank=131; score=0.03049","rank=22; score=22.948; p=0.00053101; adjP=0.016958","rank=4; score=1.4312; p=0.03705"
"5","REST","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","58.50","3","6","ENCODE--ChIP-seq(rank=6); Literature--ChIP-seq(rank=29); ReMap--ChIP-seq(rank=78); ARCHS4--Coexpression(rank=338); GTEx--Coexpression(rank=502); Enrichr--Queries(rank=642)","209","rank=3; score=2.3998; p=0.0039825","rank=209; score=0.05085","rank=19; score=30.202; p=0.026964; adjP=0.2265","rank=3; score=1.5692; p=0.026964"
"6","ERG","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","64.50","25","5","GTEx--Coexpression(rank=21); Literature--ChIP-seq(rank=84); Enrichr--Queries(rank=86); ReMap--ChIP-seq(rank=213); ARCHS4--Coexpression(rank=596)","59","rank=138; score=0; p=1","rank=59; score=0.01307","rank=25; score=20.29; p=0.042552; adjP=0.32986","rank=36; score=0.70979; p=0.19508"
"7","ESR1","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","65.00","2","6","Literature--ChIP-seq(rank=9); ENCODE--ChIP-seq(rank=13); ReMap--ChIP-seq(rank=22); Enrichr--Queries(rank=476); GTEx--Coexpression(rank=560); ARCHS4--Coexpression(rank=652)","228","rank=18; score=1.4342; p=0.036795","rank=228; score=0.05488","rank=12; score=20.577; p=0.0012442; adjP=0.029861","rank=2; score=1.6366; p=0.023087"
"8","NANOG","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","66.00","8","6","Literature--ChIP-seq(rank=6); ReMap--ChIP-seq(rank=52); ENCODE--ChIP-seq(rank=118); ARCHS4--Coexpression(rank=168); Enrichr--Queries(rank=366); GTEx--Coexpression(rank=1576)","154","rank=73; score=0.48721; p=0.32568","rank=154; score=0.03659","rank=8; score=62.873; p=0.010994; adjP=0.16209","rank=29; score=0.77272; p=0.16876"
"9","CTCF","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","78.50","28","6","ENCODE--ChIP-seq(rank=4); Literature--ChIP-seq(rank=117); ReMap--ChIP-seq(rank=143); ARCHS4--Coexpression(rank=524); Enrichr--Queries(rank=895); GTEx--Coexpression(rank=1423)","145","rank=28; score=1.1698; p=0.067639","rank=145; score=0.0339","rank=49; score=5.9115; p=0.02965; adjP=0.16192","rank=92; score=0; p=1"
"10","PPARG","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","90.75","27","5","GTEx--Coexpression(rank=10); ReMap--ChIP-seq(rank=47); Literature--ChIP-seq(rank=76); ARCHS4--Coexpression(rank=148); Enrichr--Queries(rank=353)","27","rank=222; score=0; p=1","rank=27; score=0.006223","rank=61; score=20.317; p=0.00023114; adjP=0.0092454","rank=53; score=0.38513; p=0.41198"
