"statistic","source","condition","score","p_value","TF","Rank","Method","Method_Rank","Method_Score","Method_P_Value","Method_Adjusted_P_Value","Method_Direction","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"ora","SREBF1","HD_ALL","0.84347673492648556","0.143391452852932199669","SREBF1","91","trrust","91","0.84347673492648556","0.143391452852932199669",NA,"","6","ENCODE--ChIP-seq(rank=84); Literature--ChIP-seq(rank=95); GTEx--Coexpression(rank=111); ReMap--ChIP-seq(rank=116); Enrichr--Queries(rank=464); ARCHS4--Coexpression(rank=681)","282","0.06907000000000001","GTEx Coexpression,0.06907"
"ora","BRCA1","HD_ALL","0.83779102028405261","0.145281053251685249306","BRCA1","92","trrust","92","0.83779102028405261","0.145281053251685249306",NA,"","0","",NA,NA,NA
"ora","CLOCK","HD_ALL","0.83104777553459708","0.147554420381117934458","CLOCK","93","trrust","93","0.83104777553459708","0.147554420381117934458",NA,"","5","Literature--ChIP-seq(rank=121); ReMap--ChIP-seq(rank=136); ARCHS4--Coexpression(rank=587); GTEx--Coexpression(rank=1029); Enrichr--Queries(rank=1278)","1097","0.36059999999999998","ARCHS4 Coexpression,0.3606"
"ora","SNAI2","HD_ALL","0.83104777553459708","0.147554420381117934458","SNAI2","94","trrust","94","0.83104777553459708","0.147554420381117934458",NA,"","4","ReMap--ChIP-seq(rank=12); ARCHS4--Coexpression(rank=50); Enrichr--Queries(rank=502); GTEx--Coexpression(rank=1022)","128","0.03071000000000000","ARCHS4 Coexpression,0.03071"
"ora","IRF3","HD_ALL","0.78251015595070239","0.165002241519274200909","IRF3","95","trrust","95","0.78251015595070239","0.165002241519274200909",NA,"","5","ENCODE--ChIP-seq(rank=63); ARCHS4--Coexpression(rank=210); ReMap--ChIP-seq(rank=262); GTEx--Coexpression(rank=482); Enrichr--Queries(rank=1226)","501","0.12900000000000000","ARCHS4 Coexpression,0.129"
"ora","RFX1","HD_ALL","0.78251015595070239","0.165002241519274200909","RFX1","96","trrust","96","0.78251015595070239","0.165002241519274200909",NA,"","4","ReMap--ChIP-seq(rank=84); ARCHS4--Coexpression(rank=1304); Enrichr--Queries(rank=1326); GTEx--Coexpression(rank=1527)","921","0.28280000000000000","ReMap ChIP-seq,0.2828"
"ora","SATB1","HD_ALL","0.78251015595070239","0.165002241519274200909","SATB1","97","trrust","97","0.78251015595070239","0.165002241519274200909",NA,"","4","ARCHS4--Coexpression(rank=147); ReMap--ChIP-seq(rank=206); Enrichr--Queries(rank=292); GTEx--Coexpression(rank=872)","368","0.09029000000000000","ARCHS4 Coexpression,0.09029"
"ora","RUNX3","HD_ALL","0.74622384700257915","0.179380881143177628445","RUNX3","98","trrust","98","0.74622384700257915","0.179380881143177628445",NA,"","5","ENCODE--ChIP-seq(rank=75); ReMap--ChIP-seq(rank=92); ARCHS4--Coexpression(rank=301); GTEx--Coexpression(rank=309); Enrichr--Queries(rank=1105)","668","0.18490000000000001","ARCHS4 Coexpression,0.1849"
"ora","PITX1","HD_ALL","0.73806329820143379","0.182783379087551267617","PITX1","99","trrust","99","0.73806329820143379","0.182783379087551267617",NA,"","3","GTEx--Coexpression(rank=86); ARCHS4--Coexpression(rank=127); Enrichr--Queries(rank=168)","212","0.05352000000000000","GTEx Coexpression,0.05352"
"ora","DNMT1","HD_ALL","0.71697000781400988","0.191880124766539539305","DNMT1","100","trrust","100","0.71697000781400988","0.191880124766539539305",NA,"","2","GTEx--Coexpression(rank=13); ARCHS4--Coexpression(rank=80)","34","0.00809000000000000","GTEx Coexpression,0.00809"
