"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","DoRothEA","ChEA3","VIPER"
"1","FOXP1","DoRothEA;ChEA3;VIPER","5","DoRothEA;ChEA3;VIPER;ENRICHR;CollecTRI","12.00000000000000","3","5","GTEx--Coexpression(rank=10); Enrichr--Queries(rank=84); Literature--ChIP-seq(rank=96); ReMap--ChIP-seq(rank=277); ARCHS4--Coexpression(rank=805)","30","rank=3; score=9.7271; p=1.8744e-10","rank=30; score=0.006223","rank=3; score=4.4929; direction=Repressed"
"2","RUNX2","DoRothEA;ChEA3;VIPER","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","28.33333333333333","5","5","ReMap--ChIP-seq(rank=7); Enrichr--Queries(rank=14); Literature--ChIP-seq(rank=30); GTEx--Coexpression(rank=98); ARCHS4--Coexpression(rank=122)","48","rank=32; score=3.981; p=0.00010448","rank=48; score=0.009972","rank=5; score=4.2194; direction=Activated"
"3","TEAD1","DoRothEA;ChEA3;VIPER","5","DoRothEA;ChEA3;VIPER;TRRUST;CollecTRI","34.00000000000000","1","4","ReMap--ChIP-seq(rank=25); Enrichr--Queries(rank=30); ARCHS4--Coexpression(rank=40); GTEx--Coexpression(rank=172)","99","rank=2; score=10.069; p=8.5348e-11","rank=99; score=0.02137","rank=1; score=4.6079; direction=Activated"
"4","KLF6","DoRothEA;ChEA3;VIPER","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","49.00000000000000","31","4","ReMap--ChIP-seq(rank=5); ARCHS4--Coexpression(rank=102); Enrichr--Queries(rank=398); GTEx--Coexpression(rank=697)","76","rank=40; score=3.5322; p=0.00029365","rank=76; score=0.01684","rank=31; score=2.7774; direction=Activated"
"5","ATF3","DoRothEA;ChEA3;VIPER","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","51.00000000000000","22","6","ARCHS4--Coexpression(rank=30); Literature--ChIP-seq(rank=85); ENCODE--ChIP-seq(rank=92); ReMap--ChIP-seq(rank=221); Enrichr--Queries(rank=312); GTEx--Coexpression(rank=629)","85","rank=46; score=3.1962; p=0.00063645","rank=85; score=0.01843","rank=22; score=3.2041; direction=Repressed"
"6","TCF4","DoRothEA;ChEA3;VIPER","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","54.33333333333334","11","5","ReMap--ChIP-seq(rank=14); Enrichr--Queries(rank=31); Literature--ChIP-seq(rank=45); ARCHS4--Coexpression(rank=320); GTEx--Coexpression(rank=546)","102","rank=50; score=3.0426; p=0.0009066","rank=102; score=0.02208","rank=11; score=3.649; direction=Activated"
"7","MEIS1","DoRothEA;ChEA3;VIPER","5","DoRothEA;ChEA3;VIPER;ENRICHR;CollecTRI","60.33333333333334","30","5","Enrichr--Queries(rank=36); Literature--ChIP-seq(rank=49); GTEx--Coexpression(rank=210); ReMap--ChIP-seq(rank=241); ARCHS4--Coexpression(rank=776)","117","rank=30; score=4.2363; p=5.8036e-05","rank=117; score=0.02564","rank=34; score=2.7235; direction=Activated"
"8","ETS1","DoRothEA;ChEA3;VIPER","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","69.66666666666667","12","6","ENCODE--ChIP-seq(rank=7); Enrichr--Queries(rank=48); ARCHS4--Coexpression(rank=86); GTEx--Coexpression(rank=95); Literature--ChIP-seq(rank=164); ReMap--ChIP-seq(rank=200)","158","rank=39; score=3.5374; p=0.00029014","rank=158; score=0.03419","rank=12; score=3.6105; direction=Activated"
"9","ZNF263","DoRothEA;ChEA3;VIPER","5","DoRothEA;ChEA3;VIPER;ENRICHR;CollecTRI","70.33333333333333","1","6","ENCODE--ChIP-seq(rank=4); ReMap--ChIP-seq(rank=38); Literature--ChIP-seq(rank=130); Enrichr--Queries(rank=998); GTEx--Coexpression(rank=1439); ARCHS4--Coexpression(rank=1563)","157","rank=1; score=10.738; p=1.8288e-11","rank=157; score=0.0339","rank=53; score=2.2411; direction=Activated"
"10","PRDM14","DoRothEA;ChEA3;VIPER","4","DoRothEA;ChEA3;VIPER;ENRICHR","71.33333333333333","17","5","ReMap--ChIP-seq(rank=4); Literature--ChIP-seq(rank=20); ARCHS4--Coexpression(rank=537); Enrichr--Queries(rank=866); GTEx--Coexpression(rank=1330)","60","rank=17; score=4.8014; p=1.5799e-05","rank=60; score=0.01347","rank=137; score=1.1785; direction=Activated"
