"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","DoRothEA","TRRUST","CollecTRI"
"1","REST","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","12.00000000000000","3","6","ENCODE--ChIP-seq(rank=6); Literature--ChIP-seq(rank=29); ReMap--ChIP-seq(rank=78); ARCHS4--Coexpression(rank=338); GTEx--Coexpression(rank=502); Enrichr--Queries(rank=642)","209","rank=3; score=2.3998; p=0.0039825","rank=3; score=1.5692; p=0.026964","rank=30; score=2.3185; p=0.020424; direction=Activated"
"2","IRF2","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","14.00000000000000","13","4","ReMap--ChIP-seq(rank=257); ARCHS4--Coexpression(rank=320); Enrichr--Queries(rank=538); GTEx--Coexpression(rank=1289)","686","rank=16; score=1.6366; p=0.023087","rank=13; score=1.2059; p=0.062247","rank=13; score=2.6322; p=0.0084843; direction=Activated"
"3","USF1","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","36.66666666666666","8","5","ENCODE--ChIP-seq(rank=78); ReMap--ChIP-seq(rank=105); Enrichr--Queries(rank=1163); ARCHS4--Coexpression(rank=1208); GTEx--Coexpression(rank=1362)","1038","rank=81; score=0.42267; p=0.37786","rank=21; score=1.0201; p=0.095483","rank=8; score=2.9534; p=0.0031427; direction=Activated"
"4","VDR","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","38.66666666666666","25","5","Literature--ChIP-seq(rank=50); ReMap--ChIP-seq(rank=229); Enrichr--Queries(rank=518); ARCHS4--Coexpression(rank=1265); GTEx--Coexpression(rank=1397)","933","rank=48; score=0.75592; p=0.17542","rank=43; score=0.54274; p=0.28659","rank=25; score=2.4315; p=0.015038; direction=Activated"
"5","RARA","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","42.33333333333334","1","5","Literature--ChIP-seq(rank=3); ReMap--ChIP-seq(rank=173); GTEx--Coexpression(rank=771); ARCHS4--Coexpression(rank=806); Enrichr--Queries(rank=1100)","81","rank=1; score=2.4619; p=0.003452","rank=34; score=0.72451; p=0.18858","rank=92; score=1.8047; p=0.071116; direction=Activated"
"6","STAT1","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","42.33333333333334","20","6","ENCODE--ChIP-seq(rank=20); ReMap--ChIP-seq(rank=80); Literature--ChIP-seq(rank=116); Enrichr--Queries(rank=305); ARCHS4--Coexpression(rank=544); GTEx--Coexpression(rank=778)","604","rank=52; score=0.69222; p=0.20313","rank=55; score=0.30856; p=0.49141","rank=20; score=2.4918; p=0.012708; direction=Activated"
"7","CEBPA","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","44.33333333333334","12","5","Literature--ChIP-seq(rank=45); ReMap--ChIP-seq(rank=174); GTEx--Coexpression(rank=267); Enrichr--Queries(rank=516); ARCHS4--Coexpression(rank=681)","597","rank=74; score=0.48259; p=0.32916","rank=47; score=0.47308; p=0.33645","rank=12; score=2.6768; p=0.0074326; direction=Activated"
"8","IRF1","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","44.66666666666666","28","6","ENCODE--ChIP-seq(rank=88); Literature--ChIP-seq(rank=103); ReMap--ChIP-seq(rank=130); ARCHS4--Coexpression(rank=293); Enrichr--Queries(rank=408); GTEx--Coexpression(rank=1215)","637","rank=58; score=0.64434; p=0.22681","rank=48; score=0.47308; p=0.33645","rank=28; score=2.3283; p=0.019895; direction=Activated"
"9","MYC","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","46.33333333333334","1","6","Literature--ChIP-seq(rank=18); ENCODE--ChIP-seq(rank=57); ReMap--ChIP-seq(rank=227); GTEx--Coexpression(rank=739); Enrichr--Queries(rank=1263); ARCHS4--Coexpression(rank=1325)","420","rank=103; score=0.22222; p=0.59948","rank=35; score=0.71959; p=0.19073","rank=1; score=4.1226; p=3.7461e-05; direction=Repressed"
"10","MAX","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","50.66666666666667","7","5","ENCODE--ChIP-seq(rank=50); ReMap--ChIP-seq(rank=259); ARCHS4--Coexpression(rank=364); Enrichr--Queries(rank=1148); GTEx--Coexpression(rank=1399)","755","rank=7; score=2.0121; p=0.0097253","rank=7; score=1.4048; p=0.039369","rank=138; score=1.5725; p=0.11584; direction=Repressed"
